Method,median,mean,std,min,max,25th_pctl_DTW,75th_pctl_DTW
RBFI TPS,0.008738859521392937,0.010904115773277134,0.009021854594085487,0.0020108376591599707,0.05180173985802418,0.004371526582483215,0.01491890734846099
"Tikhonov(NNK(k=5),τ=0.01)",0.00878830385184922,0.011811008726565764,0.00927806903504829,0.0031511533943814063,0.05072672464774869,0.004914730414528621,0.015035533053627438
"Tikhonov(NNK(k=5),τ=0.1)",0.00884486919833268,0.011851120182438342,0.009245793240294148,0.003163687197901636,0.050241688804877775,0.005039284618384923,0.014474750287964327
"Tikhonov(Kaliofolias(a=0.34,b=0.4,γ=0.04),τ=0.01)",0.008904256806413142,0.011833439952916375,0.009075050429522417,0.0027702412852003123,0.04692586160006579,0.005201928381326117,0.015288694354386814
"Tikhonov(Kaliofolias(a=0.34,b=0.4,γ=0.04),τ=0.1)",0.009151324480081878,0.012080390890611066,0.009024823332971476,0.002933682128017429,0.04622551222251682,0.005347309499363252,0.015589414073015985
"Tikhonov(AEW(k=5,σ=0.10),τ=0.01)",0.00924870756361577,0.011727086104811216,0.009070879068164244,0.0026518773489313395,0.04768722425391812,0.004869599741372625,0.015334154392356792
"Tikhonov(AEW(k=5,σ=0.10),τ=0.1)",0.009453330396188264,0.01188725284754381,0.00902413753136368,0.002773305542824501,0.046876992725078,0.00503066394847609,0.01549558405599175
"Tikhonov(VKNN(k_min=2,k_max=10,β=0.01),τ=0.1)",0.009542581040936512,0.01230476826698065,0.008806044045419525,0.0031152388827460483,0.0470050024870283,0.006114931286966478,0.01648982700625343
"Tikhonov(VKNN(k_min=2,k_max=10,β=0.01),τ=0.01)",0.009547332071319357,0.012276272087905037,0.00881237000888477,0.0030722834192827564,0.04708343564722774,0.006133830788458973,0.016422541293196254
"Tikhonov(KNN(k=5,σ=0.10),τ=0.01)",0.009683330763945548,0.012325917222314211,0.009088552682086328,0.0026918852048714694,0.04548436202700818,0.0055058416548410235,0.015234728496785876
"Tikhonov(VKNN(k_min=2,k_max=10,β=0.01),τ=1)",0.009699284285111078,0.012726966716410774,0.008910407276254547,0.0034657024379462216,0.04619878076752854,0.006229580745934161,0.01711552729328298
"Tikhonov(NNK(k=5),τ=1)",0.01049786288974373,0.012873153155497976,0.009090885008492174,0.003076892760350135,0.046968768373563424,0.005621784516904319,0.01616883206407549
Spline Superficie(s=50.0),0.01076463182687461,0.01429027818338875,0.008828889047429444,0.004485232238327081,0.048548646424164656,0.007895436188626986,0.01655489756544976
"Tikhonov(KNN(k=5,σ=0.10),τ=0.1)",0.011074242221665018,0.012978778536024329,0.00894823322078325,0.0029917222819362656,0.04415670724839111,0.006069032244340906,0.01586183352893038
"Tikhonov(AEW(k=5,σ=0.10),τ=1)",0.011628687055576258,0.013590280395558159,0.008698823729046448,0.003581076677156291,0.04234095274781489,0.0065314350775860525,0.01695771885111751
"Tikhonov(Kaliofolias(a=0.34,b=0.4,γ=0.04),τ=1)",0.012715822624776782,0.014391732344559593,0.008673753434703065,0.0036302597549993094,0.04165072893516549,0.007670896982780602,0.01747652274029355
NNI,0.013221835379862604,0.015564721361522234,0.00936515115537939,0.0029941906310713717,0.04691116352182799,0.008415299874415378,0.020959824178771784
Spline Superficie(s=10.0),0.013587494034632955,0.019192219790487155,0.019981460381013654,0.00508153486024241,0.12213274537919125,0.00899735842897702,0.020577593245203963
Spline Superficie(s=100.0),0.01502607481533437,0.01743927275714569,0.008796739895317544,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(Radius(r=0.31,σ=0.10),τ=0.01)",0.015112706557682026,0.016208256777132828,0.007990215938982553,0.004208182966058023,0.03822494327262825,0.010030186192039998,0.01952157327099554
"Tikhonov(KNN(k=5,σ=0.10),τ=1)",0.01744451491299317,0.018332936558160328,0.008036137574010836,0.0052812342758503635,0.04135716936243499,0.01219407206648599,0.02299150295267027
"Tikhonov(Radius(r=0.31,σ=0.10),τ=0.1)",0.017892323528082232,0.018860132062160355,0.007532340727926263,0.005811826183162448,0.04030345899211484,0.013724240684681716,0.02329840494946897
"Tikhonov(Radius(r=0.31,σ=0.10),τ=1)",0.029828958117354053,0.029694102864807056,0.009198355876272738,0.011368056451556334,0.051754988433767316,0.02442704776628958,0.035103643230306195
RBFI MQ(ε=1.0),0.033983998436293794,0.056930905498126884,0.08089897665864995,0.007748465286939665,0.40004962232979413,0.019474451306083867,0.049249554896248625
RBFI MQ(ε=1.1),0.03526375139066805,0.060252383570914246,0.0848274111604153,0.006620425914814848,0.4322625865542506,0.02088444573551564,0.05136295421471068
RBFI MQ(ε=0.9),0.10810570657731697,0.3350782095803914,0.633878830618479,0.023689307985567117,3.153325174214397,0.061495491077060725,0.22233382317069808
