Method,median,mean,std,min,max,25th_percentile,75th_percentile
RBFI TPS,0.3870673777485715,0.4828263636638352,0.36074821622563624,0.08211625205258036,1.7292784199045543,0.17796159780294607,0.700952888928079
"Tikhonov(AEW(k=5,σ=0.10),τ=0.01)",0.41251287534549863,0.4992330013228157,0.3283446511215197,0.11236372240607344,1.673001853756675,0.21214379378203763,0.6687981834439529
"Tikhonov(KNN(k=5,σ=0.10),τ=0.01)",0.43306692123766455,0.50818612808959,0.3196063656162751,0.11500816851061935,1.5788765996843994,0.2510818372627381,0.6817822687123469
"Tikhonov(AEW(k=5,σ=0.10),τ=0.1)",0.43377229049928223,0.502850823312205,0.32391000400068515,0.12287886134473824,1.655913097393917,0.2212489364865748,0.6507187283245626
"Tikhonov(Kaliofolias(a=0.34,b=0.4,γ=0.04),τ=0.01)",0.4375420082351576,0.4936275066028409,0.32078996996997433,0.12202874309883355,1.6443666082894777,0.23611437005445957,0.6406568821376915
"Tikhonov(NNK(k=5),τ=0.01)",0.44065226380678635,0.5143581189680763,0.33830495447326,0.11112525284300967,1.7402460336106262,0.24529297046333337,0.7333809020325515
"Tikhonov(NNK(k=5),τ=0.1)",0.44300146771459625,0.5125475710942463,0.3330913918379309,0.11563026873147675,1.72755752195671,0.23892736809023365,0.7299719919534879
"Tikhonov(Kaliofolias(a=0.34,b=0.4,γ=0.04),τ=0.1)",0.44902877073447467,0.5000059628382614,0.3163635030835819,0.13021840495645667,1.628519374982968,0.24722353237242306,0.6501180991866283
"Tikhonov(VKNN(k_min=2,k_max=10,β=0.01),τ=0.01)",0.45841467498066835,0.5286843759941214,0.32236250618486695,0.12395891249292701,1.7012862817841725,0.27859372654429215,0.7164341340995766
"Tikhonov(VKNN(k_min=2,k_max=10,β=0.01),τ=0.1)",0.4596167798989309,0.5291398226857756,0.3218312647346169,0.12757723898709553,1.6985304285166911,0.2780549242388809,0.7168378403167863
"Tikhonov(KNN(k=5,σ=0.10),τ=0.1)",0.4648819235149023,0.525750186173836,0.31025662351676464,0.1265694436335842,1.5369622318468785,0.27420964194742564,0.7136750212012926
"Tikhonov(VKNN(k_min=2,k_max=10,β=0.01),τ=1)",0.4650755442004991,0.5362418352964033,0.31645377946260134,0.15494711394524938,1.669205547188115,0.2819309069401257,0.7198001574699446
"Tikhonov(NNK(k=5),τ=1)",0.47506805515793016,0.5303633018494435,0.3052716383596398,0.13268387213645613,1.6339915643773695,0.27921047692030326,0.7027277326637422
"Tikhonov(AEW(k=5,σ=0.10),τ=1)",0.4913031982712658,0.5474323274957641,0.2945206972146211,0.14625940768587858,1.5179167863138812,0.3192610836284325,0.713917600037856
"Tikhonov(Kaliofolias(a=0.34,b=0.4,γ=0.04),τ=1)",0.4992759568070763,0.5613474671096045,0.28544552646154037,0.1517000705308027,1.4879069235118463,0.33515039680718406,0.7138465243471526
Spline Superficie(s=10.0),0.5094335333417024,0.6421709392879709,0.45584746027810286,0.18799936917111754,2.3000105857133644,0.30988580363029783,0.7929420375013506
"Tikhonov(Radius(r=0.30,σ=0.10),τ=0.01)",0.5522469277510353,0.6098597218929755,0.2670022765922169,0.1636189767404554,1.3736566546104396,0.41602033520975756,0.776305215301519
Spline Superficie(s=50.0),0.6177602232321155,0.6688167139966434,0.26443765660175844,0.33498517982222664,1.561924704245661,0.47659830295142225,0.7884090167783075
"Tikhonov(KNN(k=5,σ=0.10),τ=1)",0.6305317088521862,0.6634427234465363,0.2628882212688161,0.21395409593856507,1.4754851559019715,0.45309864587012344,0.8336644305392793
NNI,0.653208421521438,0.7346488618815674,0.38091616058918304,0.18591964517935394,1.5343121637490487,0.46823891456204103,0.9294778016249025
"Tikhonov(Radius(r=0.30,σ=0.10),τ=0.1)",0.660022613041245,0.6732829033084033,0.24958180485413564,0.2196723664270484,1.4407476168372593,0.48005074141939474,0.8091467253036884
Spline Superficie(s=100.0),0.7359111163477314,0.796760853864696,0.2809491201826092,0.3694207283179745,1.715931730836299,0.6014184677022401,0.9322855288047998
"Tikhonov(Radius(r=0.30,σ=0.10),τ=1)",0.910396878341694,0.9285481446503849,0.2846549485423038,0.4495824574588698,1.7775039445149232,0.7412451410354147,1.0679081164246964
RBFI MQ(ε=1.1),1.3393740140686372,2.076226681794755,2.5919539345427243,0.29279189144774265,14.229610196219541,0.9481829928730258,1.9169162740798447
RBFI MQ(ε=1.0),1.3515557159322742,1.97756197540177,2.4671236717109215,0.3212719417563474,13.054858456545078,0.805728147143828,1.838828607447168
RBFI MQ(ε=0.9),2.9837797596910867,9.777573335227537,18.63586107413285,0.8284755832398298,92.60162011996425,1.7534084629928899,6.626230242237413
