Phase 2 summary: pairwise comparisons
temporal_laplacian vs visibility_nnk: n=388, p<0.001, Cliff's delta=-1.000, temporal_laplacian BETTER than visibility_nnk by 1.6373 (lower MAE)
trss vs visibility_nnk: n=388, p<0.001, Cliff's delta=-1.000, trss BETTER than visibility_nnk by 1.6241 (lower MAE)
sobolev vs spherical_spline: n=348, p<0.001, Cliff's delta=1.000, sobolev WORSE than spherical_spline by 0.4562 (higher MAE)
bgsrp vs sobolev: n=348, p<0.001, Cliff's delta=-1.000, bgsrp BETTER than sobolev by 0.4487 (lower MAE)
linear vs sobolev: n=348, p<0.001, Cliff's delta=-1.000, linear BETTER than sobolev by 0.4581 (lower MAE)
ica vs sobolev: n=348, p<0.001, Cliff's delta=-1.000, ica BETTER than sobolev by 0.3588 (lower MAE)
idw vs sobolev: n=348, p<0.001, Cliff's delta=-1.000, idw BETTER than sobolev by 0.4562 (lower MAE)
ica vs idw: n=348, p<0.001, Cliff's delta=0.887, ica WORSE than idw by 0.1001 (higher MAE)
ica vs spherical_spline: n=348, p<0.001, Cliff's delta=0.887, ica WORSE than spherical_spline by 0.1001 (higher MAE)
idw vs tikhonov: n=348, p<0.001, Cliff's delta=-0.683, idw BETTER than tikhonov by 0.0833 (lower MAE)
ica vs linear: n=348, p<0.001, Cliff's delta=0.866, ica WORSE than linear by 0.0998 (higher MAE)
spherical_spline vs tikhonov: n=348, p<0.001, Cliff's delta=-0.679, spherical_spline BETTER than tikhonov by 0.0833 (lower MAE)
bgsrp vs ica: n=348, p<0.001, Cliff's delta=-0.832, bgsrp BETTER than ica by 0.0863 (lower MAE)
linear vs tikhonov: n=348, p<0.001, Cliff's delta=-0.672, linear BETTER than tikhonov by 0.0854 (lower MAE)
tv vs visibility_nnk: n=388, p<0.001, Cliff's delta=-0.918, tv BETTER than visibility_nnk by 1.6100 (lower MAE)
bgsrp vs idw: n=348, p<0.001, Cliff's delta=0.370, bgsrp WORSE than idw by 0.0127 (higher MAE)
bgsrp vs spherical_spline: n=348, p<0.001, Cliff's delta=0.370, bgsrp WORSE than spherical_spline by 0.0127 (higher MAE)
sobolev vs tikhonov: n=348, p<0.001, Cliff's delta=0.888, sobolev WORSE than tikhonov by 0.3801 (higher MAE)
bgsrp vs tikhonov: n=348, p<0.001, Cliff's delta=-0.534, bgsrp BETTER than tikhonov by 0.0762 (lower MAE)
rbfi_tps vs sobolev: n=348, p<0.001, Cliff's delta=-0.874, rbfi_tps BETTER than sobolev by 0.4542 (lower MAE)
rbfi_tps vs tikhonov: n=348, p<0.001, Cliff's delta=-0.602, rbfi_tps BETTER than tikhonov by 0.0808 (lower MAE)
temporal_laplacian vs tv: n=388, p<0.001, Cliff's delta=-0.151, temporal_laplacian BETTER than tv by 0.0073 (lower MAE)
ica vs rbfi_tps: n=348, p<0.001, Cliff's delta=0.747, ica WORSE than rbfi_tps by 0.1001 (higher MAE)
trss vs tv: n=388, p<0.001, Cliff's delta=-0.157, trss BETTER than tv by 0.0114 (lower MAE)
idw vs spherical_spline: n=348, p<0.001, Cliff's delta=-0.048, idw BETTER than spherical_spline by 0.0001 (lower MAE)
bgsrp vs linear: n=348, p<0.001, Cliff's delta=0.419, bgsrp WORSE than linear by 0.0225 (higher MAE)
bgsrp vs rbfi_tps: n=348, p<0.001, Cliff's delta=0.367, bgsrp WORSE than rbfi_tps by 0.0120 (higher MAE)
temporal_laplacian vs trss: n=388, p<0.001, Cliff's delta=0.016, temporal_laplacian WORSE than trss by 0.0044 (higher MAE)
linear vs rbfi_tps: n=348, p<0.001, Cliff's delta=0.064, linear BETTER than rbfi_tps by 0.0175 (lower MAE)
rbfi_tps vs spherical_spline: n=348, p=0.0126, Cliff's delta=-0.056, no median difference
idw vs rbfi_tps: n=348, p=0.0126, Cliff's delta=0.056, no median difference
linear vs spherical_spline: n=348, p=0.0403, Cliff's delta=-0.016, linear WORSE than spherical_spline by 0.0040 (higher MAE)
idw vs linear: n=348, p=0.0403, Cliff's delta=-0.008, idw BETTER than linear by 0.0088 (lower MAE)
ica vs tikhonov: n=348, p=0.44, Cliff's delta=0.075, ica WORSE than tikhonov by 0.0119 (higher MAE)
