"graph","method","combo","mean_mae","std_mae","count","datasets_count","rank_metric"
"knn__k3","spline_temporal","knn__k3|spline_temporal",,,"0","4",
"vknng__alpha1_k4_k_max8_k_min2","spline_temporal","vknng__alpha1_k4_k_max8_k_min2|spline_temporal",,,"0","4",
"gaussian__sigma1","spline_temporal","gaussian__sigma1|spline_temporal",,,"0","4",
"aew__k4_sigma_corr0_5_sigma_dist1","spline_temporal","aew__k4_sigma_corr0_5_sigma_dist1|spline_temporal",,,"0","4",
"kalofolias","spline_temporal","kalofolias|spline_temporal",,,"0","4",
"nnk__k4","spline_temporal","nnk__k4|spline_temporal",,,"0","4",
"knng__k4_sigma1","spline_temporal","knng__k4_sigma1|spline_temporal",,,"0","4",
"knn__k5","spline_temporal","knn__k5|spline_temporal",,,"0","4",
"aew__k4_sigma_corr0_5_sigma_dist1","heat_diffusion_temporal","aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal","0,123104777997591","0,0970401733040885","16","4","0,171624864649636"
"aew__k4_sigma_corr0_5_sigma_dist1","trss","aew__k4_sigma_corr0_5_sigma_dist1|trss","0,123411828112045","0,0967717401945923","16","4","0,171797698209341"
"kalofolias","directed_tv","kalofolias|directed_tv","0,123530076134161","0,0975056558663406","16","4","0,172282904067331"
"gaussian__sigma1","heat_diffusion_temporal","gaussian__sigma1|heat_diffusion_temporal","0,123930401969866","0,0984020457263103","16","4","0,173131424833021"
"gaussian__sigma1","directed_tv","gaussian__sigma1|directed_tv","0,12447829902855","0,0977182498396307","16","4","0,173337423948365"
"nnk__k4","heat_diffusion_temporal","nnk__k4|heat_diffusion_temporal","0,124556473268854","0,0984330233599606","16","4","0,173772984948834"
"aew__k4_sigma_corr0_5_sigma_dist1","gsmooth","aew__k4_sigma_corr0_5_sigma_dist1|gsmooth","0,124297921861479","0,0990448978610702","16","4","0,173820370792014"
"knng__k4_sigma1","heat_diffusion_temporal","knng__k4_sigma1|heat_diffusion_temporal","0,124759402650729","0,0983543961183292","16","4","0,173936600709893"
"gaussian__sigma1","mean","gaussian__sigma1|mean","0,124422144071262","0,0993170106828096","16","4","0,174080649412667"
"knn__k5","mean","knn__k5|mean","0,124422144071262","0,0993170106828096","16","4","0,174080649412667"
"knn__k3","mean","knn__k3|mean","0,124422144071262","0,0993170106828096","16","4","0,174080649412667"
"knng__k4_sigma1","mean","knng__k4_sigma1|mean","0,124422144071262","0,0993170106828096","16","4","0,174080649412667"
"kalofolias","mean","kalofolias|mean","0,124422144071262","0,0993170106828096","16","4","0,174080649412667"
"vknng__alpha1_k4_k_max8_k_min2","mean","vknng__alpha1_k4_k_max8_k_min2|mean","0,124422144071262","0,0993170106828096","16","4","0,174080649412667"
"nnk__k4","mean","nnk__k4|mean","0,124422144071262","0,0993170106828096","16","4","0,174080649412667"
"aew__k4_sigma_corr0_5_sigma_dist1","mean","aew__k4_sigma_corr0_5_sigma_dist1|mean","0,124422144071262","0,0993170106828096","16","4","0,174080649412667"
"kalofolias","tv","kalofolias|tv","0,124443435073957","0,0993347765755028","16","4","0,174110823361708"
"knn__k5","tv","knn__k5|tv","0,124596584715118","0,0993198717746683","16","4","0,174256520602453"
"gaussian__sigma1","tv","gaussian__sigma1|tv","0,124533592808289","0,0996169537278171","16","4","0,174342069672197"
"gaussian__sigma1","gsmooth","gaussian__sigma1|gsmooth","0,124720155276203","0,0993428682568","16","4","0,174391589404603"
"vknng__alpha1_k4_k_max8_k_min2","tv","vknng__alpha1_k4_k_max8_k_min2|tv","0,124880616419991","0,0992827737257183","16","4","0,174522003282851"
"knn__k5","heat_diffusion_temporal","knn__k5|heat_diffusion_temporal","0,125145565602921","0,098800761396424","16","4","0,174545946301133"
"vknng__alpha1_k4_k_max8_k_min2","heat_diffusion_temporal","vknng__alpha1_k4_k_max8_k_min2|heat_diffusion_temporal","0,125368382742588","0,0988282328700873","16","4","0,174782499177632"
"knng__k4_sigma1","tv","knng__k4_sigma1|tv","0,125248603890859","0,0993799016878562","16","4","0,174938554734787"
"knn__k3","heat_diffusion_temporal","knn__k3|heat_diffusion_temporal","0,125445938758962","0,0990879312705947","16","4","0,17498990439426"
"gaussian__sigma1","trss","gaussian__sigma1|trss","0,12547420606887","0,0999569506690381","16","4","0,175452681403389"
"gaussian__sigma1","gsp","gaussian__sigma1|gsp","0,12550740263034","0,100003636917048","16","4","0,175509221088864"
"knn__k5","gsmooth","knn__k5|gsmooth","0,125790764521525","0,0997128053595714","16","4","0,175647167201311"
"knng__k4_sigma1","gsmooth","knng__k4_sigma1|gsmooth","0,125771973816122","0,100124460196316","16","4","0,17583420391428"
"vknng__alpha1_k4_k_max8_k_min2","gsmooth","vknng__alpha1_k4_k_max8_k_min2|gsmooth","0,125805113683551","0,100123450411466","16","4","0,175866838889284"
"knn__k5","directed_tv","knn__k5|directed_tv","0,126851225874079","0,0981547432903581","16","4","0,175928597519258"
"knn__k3","tv","knn__k3|tv","0,126030674480161","0,0999352959275388","16","4","0,17599832244393"
"aew__k4_sigma_corr0_5_sigma_dist1","tv","aew__k4_sigma_corr0_5_sigma_dist1|tv","0,1261171313381","0,0998963131845295","16","4","0,176065287930365"
"aew__k4_sigma_corr0_5_sigma_dist1","wavelet_temporal","aew__k4_sigma_corr0_5_sigma_dist1|wavelet_temporal","0,127505318639494","0,0986013373875874","16","4","0,176805987333288"
"nnk__k4","gsmooth","nnk__k4|gsmooth","0,126415704622592","0,100802412657886","16","4","0,176816910951535"
"knn__k3","gsmooth","knn__k3|gsmooth","0,126485921098828","0,100813627212601","16","4","0,176892734705129"
"vknng__alpha1_k4_k_max8_k_min2","directed_tv","vknng__alpha1_k4_k_max8_k_min2|directed_tv","0,128666048101384","0,0984274405017066","16","4","0,177879768352237"
"kalofolias","idw","kalofolias|idw","0,127143800795981","0,10168304860825","16","4","0,177985325100106"
"nnk__k4","idw","nnk__k4|idw","0,127143800795981","0,10168304860825","16","4","0,177985325100106"
"knn__k5","idw","knn__k5|idw","0,127143800795981","0,10168304860825","16","4","0,177985325100106"
"gaussian__sigma1","idw","gaussian__sigma1|idw","0,127143800795981","0,10168304860825","16","4","0,177985325100106"
"knn__k3","idw","knn__k3|idw","0,127143800795981","0,10168304860825","16","4","0,177985325100106"
