"graph","method","combo","mean_mae","median_mae","std_mae","min_mae","max_mae","cv_mae","count","datasets_count","real_datasets_count","real_obs_count","rank_metric_mean","rank_metric_median","rank_metric_stability","rank_metric_cv"
"knn__k3","spline_temporal","knn__k3|spline_temporal",,,,,,,"0","4","1","0",,,,
"nnk__k4","spline_temporal","nnk__k4|spline_temporal",,,,,,,"0","4","1","0",,,,
"gaussian__sigma1","spline_temporal","gaussian__sigma1|spline_temporal",,,,,,,"0","4","1","0",,,,
"aew__k4_sigma_corr0_5_sigma_dist1","spline_temporal","aew__k4_sigma_corr0_5_sigma_dist1|spline_temporal",,,,,,,"0","4","1","0",,,,
"kalofolias","spline_temporal","kalofolias|spline_temporal",,,,,,,"0","4","1","0",,,,
"knn__k5","spline_temporal","knn__k5|spline_temporal",,,,,,,"0","4","1","0",,,,
"vknng__alpha1_k4_k_max8_k_min2","spline_temporal","vknng__alpha1_k4_k_max8_k_min2|spline_temporal",,,,,,,"0","4","1","0",,,,
"knng__k4_sigma1","spline_temporal","knng__k4_sigma1|spline_temporal",,,,,,,"0","4","1","0",,,,
"aew__k4_sigma_corr0_5_sigma_dist1","heat_diffusion_temporal","aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal","0,135566689682746","0,1325882316443","0,0988087927240152","1,93887002863292E-06","0,2696058205974","0,728857457206106","18","4","1","4","0,184971086044753","0,1325882316443","0,234375482406761","0,728857457206106"
"kalofolias","directed_tv","kalofolias|directed_tv","0,135783637686722","0,133483949571419","0,0989511788039863","2,23458294413688E-06","0,271997059129785","0,728741551557815","18","4","1","4","0,185259227088716","0,133483949571419","0,234734816490709","0,728741551557815"
"aew__k4_sigma_corr0_5_sigma_dist1","trss","aew__k4_sigma_corr0_5_sigma_dist1|trss","0,136464347269463","0,129532810483259","0,0992394723119116","1,68904092246325E-06","0,275665704369842","0,727219045103065","18","4","1","4","0,186084083425418","0,129532810483259","0,235703819581374","0,727219045103065"
"gaussian__sigma1","directed_tv","gaussian__sigma1|directed_tv","0,136801018231796","0,138096698874418","0,0993150157540393","2,23427582107535E-06","0,27129843635867","0,725981553629664","18","4","1","4","0,186458526108816","0,138096698874418","0,236116033985835","0,725981553629664"
"gaussian__sigma1","heat_diffusion_temporal","gaussian__sigma1|heat_diffusion_temporal","0,136500203145853","0,131565985431117","0,099919218796513","2,39599866625565E-06","0,27690363667985","0,732007839502976","18","4","1","4","0,186459812544109","0,131565985431117","0,236419421942366","0,732007839502976"
"kalofolias","mean","kalofolias|mean","0,136906055370408","0,129791748850282","0,100463209221535","2,38072443181818E-06","0,282314869232293","0,733811290886483","18","4","1","4","0,187137659981176","0,129791748850282","0,237369264591943","0,733811290886483"
"knn__k5","mean","knn__k5|mean","0,136906055370408","0,129791748850282","0,100463209221535","2,38072443181818E-06","0,282314869232293","0,733811290886483","18","4","1","4","0,187137659981176","0,129791748850282","0,237369264591943","0,733811290886483"
"vknng__alpha1_k4_k_max8_k_min2","mean","vknng__alpha1_k4_k_max8_k_min2|mean","0,136906055370408","0,129791748850282","0,100463209221535","2,38072443181818E-06","0,282314869232293","0,733811290886483","18","4","1","4","0,187137659981176","0,129791748850282","0,237369264591943","0,733811290886483"
"knn__k3","mean","knn__k3|mean","0,136906055370408","0,129791748850282","0,100463209221535","2,38072443181818E-06","0,282314869232293","0,733811290886483","18","4","1","4","0,187137659981176","0,129791748850282","0,237369264591943","0,733811290886483"
"knng__k4_sigma1","mean","knng__k4_sigma1|mean","0,136906055370408","0,129791748850282","0,100463209221535","2,38072443181818E-06","0,282314869232293","0,733811290886483","18","4","1","4","0,187137659981176","0,129791748850282","0,237369264591943","0,733811290886483"
"gaussian__sigma1","mean","gaussian__sigma1|mean","0,136906055370408","0,129791748850282","0,100463209221535","2,38072443181818E-06","0,282314869232293","0,733811290886483","18","4","1","4","0,187137659981176","0,129791748850282","0,237369264591943","0,733811290886483"
"nnk__k4","mean","nnk__k4|mean","0,136906055370408","0,129791748850282","0,100463209221535","2,38072443181818E-06","0,282314869232293","0,733811290886483","18","4","1","4","0,187137659981176","0,129791748850282","0,237369264591943","0,733811290886483"
"aew__k4_sigma_corr0_5_sigma_dist1","mean","aew__k4_sigma_corr0_5_sigma_dist1|mean","0,136906055370408","0,129791748850282","0,100463209221535","2,38072443181818E-06","0,282314869232293","0,733811290886483","18","4","1","4","0,187137659981176","0,129791748850282","0,237369264591943","0,733811290886483"
