graph,method,mean_mae,median_mae,std_mae,count,dataset
aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.17059402671534768,0.1728892584443448,0.09141259980355136,4,synthetic_alpha
aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.16841900848270752,0.16778598002255146,0.0864469211397339,4,synthetic_alpha
aew__k4_sigma_corr0_5_sigma_dist1,linear,0.2069072286608685,0.21716253692713083,0.114200772287682,4,synthetic_alpha
aew__k4_sigma_corr0_5_sigma_dist1,mean,0.16333732965906853,0.1666752556701991,0.09067871553671522,4,synthetic_alpha
aew__k4_sigma_corr0_5_sigma_dist1,nearest,0.21614387220179646,0.2343658124430264,0.1196121130428215,4,synthetic_alpha
aew__k4_sigma_corr0_5_sigma_dist1,trss,0.17532254323085442,0.17245545179434305,0.08426229705399842,4,synthetic_alpha
gaussian__sigma1,mean,0.16333732965906853,0.1666752556701991,0.09067871553671522,4,synthetic_alpha
kalofolias,directed_tv,0.16647998253962665,0.16637437272811675,0.08669506466082974,4,synthetic_alpha
aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.16429067158658073,0.1580719510783361,0.09050918783491146,4,synthetic_beta
aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.16552545769732105,0.16436720794078347,0.08686704048130112,4,synthetic_beta
aew__k4_sigma_corr0_5_sigma_dist1,linear,0.1961739013122472,0.19937210292007515,0.09834477054419566,4,synthetic_beta
aew__k4_sigma_corr0_5_sigma_dist1,mean,0.17160598733382754,0.1691235486831304,0.09285049611082018,4,synthetic_beta
aew__k4_sigma_corr0_5_sigma_dist1,nearest,0.22134172033580568,0.22010612405870555,0.11789314186482966,4,synthetic_beta
aew__k4_sigma_corr0_5_sigma_dist1,trss,0.15923783025381116,0.1542147234517258,0.08545605577214965,4,synthetic_beta
gaussian__sigma1,mean,0.17160598733382754,0.1691235486831304,0.09285049611082018,4,synthetic_beta
kalofolias,directed_tv,0.16874953496959677,0.16855809963809232,0.08856802363639865,4,synthetic_beta
aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.16230027623293783,0.1635793981381955,0.07062321549860927,4,synthetic_broad
aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.15846699678009107,0.1582989948043318,0.0711100950191486,4,synthetic_broad
aew__k4_sigma_corr0_5_sigma_dist1,linear,0.18528242142598914,0.18379770866826128,0.08583786869707354,4,synthetic_broad
aew__k4_sigma_corr0_5_sigma_dist1,mean,0.16273796628446022,0.1635576889283669,0.06994054697776611,4,synthetic_broad
aew__k4_sigma_corr0_5_sigma_dist1,nearest,0.20235748867650688,0.20429094630622086,0.0894165513069698,4,synthetic_broad
aew__k4_sigma_corr0_5_sigma_dist1,trss,0.1590803908767373,0.1600489035769237,0.07152060727252928,4,synthetic_broad
gaussian__sigma1,mean,0.16273796628446022,0.1635576889283669,0.06994054697776611,4,synthetic_broad
kalofolias,directed_tv,0.1588822016989738,0.15886222651037224,0.07057385042056062,4,synthetic_broad
aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,6.71291105003911e-06,6.327359582949037e-06,4.6557159084061505e-06,4,physionet_eegmmidb
aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,7.649030245547624e-06,7.448738927778047e-06,5.208255641060659e-06,4,physionet_eegmmidb
aew__k4_sigma_corr0_5_sigma_dist1,linear,7.468022017045454e-06,6.2608664772727276e-06,6.024850593108813e-06,4,physionet_eegmmidb
aew__k4_sigma_corr0_5_sigma_dist1,mean,7.293007691093628e-06,7.024324494949493e-06,4.691686341115721e-06,4,physionet_eegmmidb
aew__k4_sigma_corr0_5_sigma_dist1,nearest,7.953302556818181e-06,6.880255681818182e-06,5.096732020105252e-06,4,physionet_eegmmidb
aew__k4_sigma_corr0_5_sigma_dist1,trss,6.548086776717099e-06,6.1146055787466456e-06,4.687468082369859e-06,4,physionet_eegmmidb
gaussian__sigma1,mean,7.293007691093628e-06,7.024324494949493e-06,4.691686341115721e-06,4,physionet_eegmmidb
kalofolias,directed_tv,8.585328447375671e-06,8.55139658669395e-06,5.63978183256616e-06,4,physionet_eegmmidb
