dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,combo
physionet_eegmmidb,gaussian__sigma1,mean,0.1,1,2.380724431818181e-06,1.0361000583755938e-05,-0.0447872376062381,,{},,gaussian__sigma1|mean
physionet_eegmmidb,gaussian__sigma1,mean,0.2,1,4.568497474747474e-06,1.3557323569810644e-05,3.876077926648549,,{},,gaussian__sigma1|mean
physionet_eegmmidb,gaussian__sigma1,mean,0.3,1,9.480151515151514e-06,2.249306338079643e-05,2.927450232333128,,{},,gaussian__sigma1|mean
physionet_eegmmidb,gaussian__sigma1,mean,0.4,1,1.2742657342657345e-05,2.644009049827082e-05,2.6768869163948708,,{},,gaussian__sigma1|mean
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,linear,0.1,0,2.128409090909091e-06,1.0067651137768838e-05,0.2859497981359471,,{},,aew__k4_sigma_corr0_5_sigma_dist1|linear
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,nearest,0.1,0,3.1977272727272724e-06,1.5867491065926985e-05,-2.724768928728057,,{},,aew__k4_sigma_corr0_5_sigma_dist1|nearest
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,mean,0.1,0,2.380724431818181e-06,1.0361000583755938e-05,-0.0447872376062381,,{},,aew__k4_sigma_corr0_5_sigma_dist1|mean
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.1,0,1.8358540862205184e-06,8.062745892268858e-06,2.294095695831393,,"{'lam': 0.7, 'n_iter': 30}",,aew__k4_sigma_corr0_5_sigma_dist1|gsmooth
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,trss,0.1,0,1.6890409224632534e-06,7.48657622851628e-06,3.0993158154043403,,"{'alpha': 0.7, 'beta': 0.2, 'n_iter': 60, 'lr': 0.03}",,aew__k4_sigma_corr0_5_sigma_dist1|trss
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.1,0,1.938870028632922e-06,8.605188083846877e-06,1.4656169825027734,,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",,aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,linear,0.2,0,3.3157670454545457e-06,1.1367476907827877e-05,6.794844424621461,,{},,aew__k4_sigma_corr0_5_sigma_dist1|linear
