dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,combo
synthetic_alpha,gaussian__sigma1,mean,0.1,1,0.0589478976695532,0.2085273501920232,0.9476396031020364,,{},,gaussian__sigma1|mean
synthetic_alpha,gaussian__sigma1,mean,0.2,1,0.1208467294395676,0.3009477438018674,0.7809578833742317,,{},,gaussian__sigma1|mean
synthetic_alpha,gaussian__sigma1,mean,0.3,1,0.2125037819008306,0.4355594603472861,-0.5475475552035312,,{},,gaussian__sigma1|mean
synthetic_alpha,gaussian__sigma1,mean,0.4,1,0.2610509096263227,0.4587113167545196,0.1506455701467817,,{},,gaussian__sigma1|mean
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,linear,0.1,0,0.0634270409346891,0.244209901265437,-0.0777226940065491,,{},,aew__k4_sigma_corr0_5_sigma_dist1|linear
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,nearest,0.1,0,0.0642770299551405,0.2523142036825606,-0.2761905701468088,,{},,aew__k4_sigma_corr0_5_sigma_dist1|nearest
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,mean,0.1,0,0.0589478976695532,0.2085273501920232,0.9476396031020364,,{},,aew__k4_sigma_corr0_5_sigma_dist1|mean
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.1,0,0.0654326345423263,0.2292021160145071,0.1687199035903924,,"{'lam': 0.3, 'n_iter': 30}",,aew__k4_sigma_corr0_5_sigma_dist1|gsmooth
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,trss,0.1,0,0.0807135649648896,0.2833789369972749,-1.5933223490412178,,"{'alpha': 0.9, 'beta': 0.3, 'n_iter': 80, 'lr': 0.03}",,aew__k4_sigma_corr0_5_sigma_dist1|trss
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.1,0,0.0684982532883274,0.2356680576660455,-0.1474189419005786,,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",,aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal
