dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,combo
synthetic_beta,gaussian__sigma1,mean,0.1,1,0.0658619827367564,0.2310340626127287,-0.0856866621374472,,{},,gaussian__sigma1|mean
synthetic_beta,gaussian__sigma1,mean,0.2,1,0.1343883515386373,0.3289381591555257,-0.0439228421786003,,{},,gaussian__sigma1|mean
synthetic_beta,gaussian__sigma1,mean,0.3,1,0.2038587458276235,0.408960899713588,-0.1645136811142566,,{},,gaussian__sigma1|mean
synthetic_beta,gaussian__sigma1,mean,0.4,1,0.2823148692322929,0.4959632155141859,-0.5725811625174931,,{},,gaussian__sigma1|mean
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,linear,0.1,0,0.0784418055359528,0.2949265284406414,-2.19182207727983,,{},,aew__k4_sigma_corr0_5_sigma_dist1|linear
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,nearest,0.1,0,0.0859116155366704,0.3279639310396917,-3.1300250864740704,,{},,aew__k4_sigma_corr0_5_sigma_dist1|nearest
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,mean,0.1,0,0.0658619827367564,0.2310340626127287,-0.0856866621374472,,{},,aew__k4_sigma_corr0_5_sigma_dist1|mean
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.1,0,0.0657591665358717,0.2319993087583531,-0.1241922574414866,,"{'lam': 0.3, 'n_iter': 30}",,aew__k4_sigma_corr0_5_sigma_dist1|gsmooth
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,trss,0.1,0,0.0657506991012469,0.230067137274653,-0.0505339106098051,,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",,aew__k4_sigma_corr0_5_sigma_dist1|trss
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.1,0,0.0658338843190566,0.2286518423140863,0.0037342986187882,,"{'alpha': 0.3, 'beta': 0.3, 'n_iter': 10}",,aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,linear,0.2,0,0.1623711442886609,0.4199936236966927,-2.1649653627217624,,{},,aew__k4_sigma_corr0_5_sigma_dist1|linear
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,nearest,0.2,0,0.1735483953645094,0.4632412597566516,-3.027617132778527,,{},,aew__k4_sigma_corr0_5_sigma_dist1|nearest
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,mean,0.2,0,0.1343883515386373,0.3289381591555257,-0.0439228421786003,,{},,aew__k4_sigma_corr0_5_sigma_dist1|mean
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.2,0,0.1228879362472805,0.3159538187505225,1.0129414041529108,,"{'lam': 0.7, 'n_iter': 30}",,aew__k4_sigma_corr0_5_sigma_dist1|gsmooth
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,trss,0.2,0,0.1195827148985518,0.3175250846715957,1.6028898058560723,,"{'alpha': 0.9, 'beta': 0.3, 'n_iter': 80, 'lr': 0.03}",,aew__k4_sigma_corr0_5_sigma_dist1|trss
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.2,0,0.1305226489740586,0.3173136009501798,0.313238914879397,,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",,aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,linear,0.3,0,0.2363730615514894,0.5122357057986044,-2.0197805464581764,,{},,aew__k4_sigma_corr0_5_sigma_dist1|linear
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,nearest,0.3,0,0.2666638527529017,0.5810284971063071,-3.2207419836279576,,{},,aew__k4_sigma_corr0_5_sigma_dist1|nearest
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,mean,0.3,0,0.2038587458276235,0.408960899713588,-0.1645136811142566,,{},,aew__k4_sigma_corr0_5_sigma_dist1|mean
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.3,0,0.1932559659093917,0.3989989242993736,0.4046696906670874,,"{'lam': 0.7, 'n_iter': 30}",,aew__k4_sigma_corr0_5_sigma_dist1|gsmooth
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,trss,0.3,0,0.1888467320048998,0.3922937977452957,0.8227465160153656,,"{'alpha': 0.7, 'beta': 0.2, 'n_iter': 60, 'lr': 0.03}",,aew__k4_sigma_corr0_5_sigma_dist1|trss
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.3,0,0.1982117669075083,0.3931432997673645,0.1813169883044786,,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",,aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,linear,0.4,0,0.3075095938728858,0.5695961462168219,-1.7280751190321866,,{},,aew__k4_sigma_corr0_5_sigma_dist1|linear
