"method","combos","mean_of_mean_mae","mean_of_median_mae","mean_of_std_mae","best_combo","best_combo_mean"
"spline_temporal","8",,,,,
"heat_diffusion_temporal","8","0,274836706969433","0,271147179956593","0,200379348356101","aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal","0,135566689682746"
"directed_tv","8","0,142791333675311","0,155084091330897","0,100319491591956","kalofolias|directed_tv","0,135783637686722"
"trss","8","0,146315706448835","0,143438065024978","0,107280890041049","aew__k4_sigma_corr0_5_sigma_dist1|trss","0,136464347269463"
"mean","8","0,136906055370408","0,129791748850282","0,100463209221535","gaussian__sigma1|mean","0,136906055370408"
"tv","8","0,138087621898884","0,131585247754869","0,100983366856496","kalofolias|tv","0,136940273164328"
"gsmooth","8","0,139430897746336","0,13141441976967","0,102301750127721","gaussian__sigma1|gsmooth","0,137314093996258"
"gsp","8","0,15180336744943","0,149064753010329","0,112336351294393","gaussian__sigma1|gsp","0,138463468072461"
"wavelet_temporal","8","0,149607268047165","0,153817964442483","0,102695005392723","aew__k4_sigma_corr0_5_sigma_dist1|wavelet_temporal","0,139445826816921"
"idw","8","0,140492867240786","0,131749665900742","0,103559603310516","knng__k4_sigma1|idw","0,140492867240786"
"tikhonov","8","0,228644493882313","0,259573765115895","0,140398437275358","aew__k4_sigma_corr0_5_sigma_dist1|tikhonov","0,155004206128137"
"linear","8","0,163364850427048","0,169744893997533","0,120618740316515","kalofolias|linear","0,163364850427048"
"puy","8","0,329713044788082","0,405511291462926","0,188745984331752","aew__k4_sigma_corr0_5_sigma_dist1|puy","0,170602099282217"
"nearest","8","0,176639860291209","0,176866753520729","0,129888000966192","nnk__k4|nearest","0,176639860291209"
"rbfi_tps","8","0,180890145249449","0,183393548660453","0,135855333182157","aew__k4_sigma_corr0_5_sigma_dist1|rbfi_tps","0,180890145249449"
"rbfi_mq","8","0,189866126247016","0,190120089820385","0,141525867341367","knn__k3|rbfi_mq","0,189866126247016"
"graph_time_tikhonov","8","0,323254231999065","0,396267524342575","0,182218194254641","aew__k4_sigma_corr0_5_sigma_dist1|graph_time_tikhonov","0,20169934068248"
"spherical_spline","8","0,205066602847755","0,211164995624314","0,165298921592595","knn__k5|spherical_spline","0,205066602847755"
"spline_surface","8","0,23670536352034","0,258585074465057","0,164931470132765","nnk__k4|spline_surface","0,23670536352034"
"temporal_laplacian","8","0,360514768714072","0,450368816734786","0,200468905686806","aew__k4_sigma_corr0_5_sigma_dist1|temporal_laplacian","0,28237669160833"
"sobolev","8","0,427154474161434","0,541995994139807","0,235652063593216","aew__k4_sigma_corr0_5_sigma_dist1|sobolev","0,320548503200351"
"bgsrp","8","0,399904920182329","0,495905112222096","0,222588191537479","knn__k3|bgsrp","0,384590581558975"
