method,combos,mean_of_mean_mae,mean_of_median_mae,mean_of_std_mae
mean,8,0.1658937610924521,0.1681542916167222,0.0771085823649144
tv,8,0.16723793750255384,0.16882956258273144,0.07702903684202128
gsmooth,8,0.16830894645206607,0.16843343409020406,0.0776486516023272
idw,8,0.1695226356632066,0.1698560992137773,0.0791346864484849
directed_tv,8,0.17447562863299937,0.18519043950983316,0.07167460904113494
trss,8,0.1758664159239117,0.1784249840903243,0.07996670517322829
gsp,8,0.18162075496085064,0.18377742171418032,0.08394097585399005
wavelet_temporal,8,0.1840686992406119,0.18318609773984665,0.07131828138782068
linear,8,0.1961211837997016,0.2054059564956012,0.0910445601248275
nearest,8,0.2132810270713696,0.2165596658119746,0.0997148150731134
rbfi_tps,8,0.216574639932742,0.2181581258845665,0.1037145586686708
rbfi_mq,8,0.2285962323387404,0.224958990393582,0.1084414146033026
spherical_spline,8,0.2397356686027287,0.2282046162855184,0.1317659322619215
tikhonov,8,0.2849611341399176,0.28689862018948753,0.06267537850280634
spline_surface,8,0.2888196434791303,0.2923882060817598,0.1146939222981824
heat_diffusion_temporal,8,0.3324816534985934,0.3361895485873437,0.1501750414838863
graph_time_tikhonov,8,0.4107992751094224,0.4112825237968767,0.03820436792757419
puy,8,0.4172977667013993,0.4195421294915914,0.041834534303904575
temporal_laplacian,8,0.459705364311952,0.4615222144083336,0.029895980041456986
bgsrp,8,0.5074803595451803,0.5026717931970348,0.0344148694194947
sobolev,8,0.547405789239863,0.547315625349984,0.016397522166291163
spline_temporal,8,,,0.0
