"combo","mean_mae","median_mae","z_score","graph","method"
"aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal","0,135566689682746","0,1325882316443","-0,671881915109385","aew__k4_sigma_corr0_5_sigma_dist1","heat_diffusion_temporal"
"kalofolias|directed_tv","0,135783637686722","0,133483949571419","-0,670176690376063","kalofolias","directed_tv"
"aew__k4_sigma_corr0_5_sigma_dist1|trss","0,136464347269463","0,129532810483259","-0,664826270941792","aew__k4_sigma_corr0_5_sigma_dist1","trss"
"gaussian__sigma1|heat_diffusion_temporal","0,136500203145853","0,131565985431117","-0,664544441535046","gaussian__sigma1","heat_diffusion_temporal"
"gaussian__sigma1|directed_tv","0,136801018231796","0,138096698874418","-0,662180016348801","gaussian__sigma1","directed_tv"
"gaussian__sigma1|mean","0,136906055370408","0,129791748850282","-0,661354417940905","gaussian__sigma1","mean"
"knng__k4_sigma1|mean","0,136906055370408","0,129791748850282","-0,661354417940905","knng__k4_sigma1","mean"
"aew__k4_sigma_corr0_5_sigma_dist1|mean","0,136906055370408","0,129791748850282","-0,661354417940905","aew__k4_sigma_corr0_5_sigma_dist1","mean"
"nnk__k4|mean","0,136906055370408","0,129791748850282","-0,661354417940905","nnk__k4","mean"
"knn__k5|mean","0,136906055370408","0,129791748850282","-0,661354417940905","knn__k5","mean"
