"combo","graph","method","mean_mae","median_mae","std_mae","datasets_count","real_datasets_count","real_obs_count","count"
"aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal","aew__k4_sigma_corr0_5_sigma_dist1","heat_diffusion_temporal","0,135566689682746","0,1325882316443","0,0988087927240152","4","1","4","18"
"kalofolias|directed_tv","kalofolias","directed_tv","0,135783637686722","0,133483949571419","0,0989511788039863","4","1","4","18"
"aew__k4_sigma_corr0_5_sigma_dist1|trss","aew__k4_sigma_corr0_5_sigma_dist1","trss","0,136464347269463","0,129532810483259","0,0992394723119116","4","1","4","18"
"gaussian__sigma1|heat_diffusion_temporal","gaussian__sigma1","heat_diffusion_temporal","0,136500203145853","0,131565985431117","0,099919218796513","4","1","4","18"
"gaussian__sigma1|directed_tv","gaussian__sigma1","directed_tv","0,136801018231796","0,138096698874418","0,0993150157540393","4","1","4","18"
"gaussian__sigma1|mean","gaussian__sigma1","mean","0,136906055370408","0,129791748850282","0,100463209221535","4","1","4","18"
"knng__k4_sigma1|mean","knng__k4_sigma1","mean","0,136906055370408","0,129791748850282","0,100463209221535","4","1","4","18"
"aew__k4_sigma_corr0_5_sigma_dist1|mean","aew__k4_sigma_corr0_5_sigma_dist1","mean","0,136906055370408","0,129791748850282","0,100463209221535","4","1","4","18"
"nnk__k4|mean","nnk__k4","mean","0,136906055370408","0,129791748850282","0,100463209221535","4","1","4","18"
"knn__k5|mean","knn__k5","mean","0,136906055370408","0,129791748850282","0,100463209221535","4","1","4","18"
