"combo","graph","method","mean_mae","median_mae","std_mae","datasets_count","real_datasets_count","real_obs_count","count"
"aew__k4_sigma_corr0_5_sigma_dist1|gsmooth","aew__k4_sigma_corr0_5_sigma_dist1","gsmooth","0,137605209257611","0,126404760110704","0,101203765052452","4","1","4","18"
"knn__k5|tv","knn__k5","tv","0,137128063422392","0,129473768186945","0,100514952577833","4","1","4","18"
"gaussian__sigma1|gsmooth","gaussian__sigma1","gsmooth","0,137314093996258","0,129492654488215","0,100607131661282","4","1","4","18"
"aew__k4_sigma_corr0_5_sigma_dist1|trss","aew__k4_sigma_corr0_5_sigma_dist1","trss","0,136464347269463","0,129532810483259","0,0992394723119116","4","1","4","18"
"gaussian__sigma1|tv","gaussian__sigma1","tv","0,137137017283464","0,129536959130518","0,100882876356578","4","1","4","18"
"kalofolias|tv","kalofolias","tv","0,136940273164328","0,129791736158223","0,100490506654046","4","1","4","18"
"nnk__k4|mean","nnk__k4","mean","0,136906055370408","0,129791748850282","0,100463209221535","4","1","4","18"
"gaussian__sigma1|mean","gaussian__sigma1","mean","0,136906055370408","0,129791748850282","0,100463209221535","4","1","4","18"
"knn__k3|mean","knn__k3","mean","0,136906055370408","0,129791748850282","0,100463209221535","4","1","4","18"
"aew__k4_sigma_corr0_5_sigma_dist1|mean","aew__k4_sigma_corr0_5_sigma_dist1","mean","0,136906055370408","0,129791748850282","0,100463209221535","4","1","4","18"
