"combo","graph","method","mean_mae","real_obs_count"
"aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal","aew__k4_sigma_corr0_5_sigma_dist1","heat_diffusion_temporal","0,135566689682746","4"
"kalofolias|directed_tv","kalofolias","directed_tv","0,135783637686722","4"
"aew__k4_sigma_corr0_5_sigma_dist1|trss","aew__k4_sigma_corr0_5_sigma_dist1","trss","0,136464347269463","4"
"gaussian__sigma1|directed_tv","gaussian__sigma1","directed_tv","0,136801018231796","4"
"gaussian__sigma1|heat_diffusion_temporal","gaussian__sigma1","heat_diffusion_temporal","0,136500203145853","4"
"kalofolias|mean","kalofolias","mean","0,136906055370408","4"
"knn__k5|mean","knn__k5","mean","0,136906055370408","4"
"vknng__alpha1_k4_k_max8_k_min2|mean","vknng__alpha1_k4_k_max8_k_min2","mean","0,136906055370408","4"
"knn__k3|mean","knn__k3","mean","0,136906055370408","4"
"knng__k4_sigma1|mean","knng__k4_sigma1","mean","0,136906055370408","4"
"gaussian__sigma1|mean","gaussian__sigma1","mean","0,136906055370408","4"
"nnk__k4|mean","nnk__k4","mean","0,136906055370408","4"
"aew__k4_sigma_corr0_5_sigma_dist1|mean","aew__k4_sigma_corr0_5_sigma_dist1","mean","0,136906055370408","4"
"kalofolias|tv","kalofolias","tv","0,136940273164328","4"
"nnk__k4|heat_diffusion_temporal","nnk__k4","heat_diffusion_temporal","0,137231130366137","4"
"knn__k5|tv","knn__k5","tv","0,137128063422392","4"
"gaussian__sigma1|tv","gaussian__sigma1","tv","0,137137017283464","4"
"knng__k4_sigma1|heat_diffusion_temporal","knng__k4_sigma1","heat_diffusion_temporal","0,137511257822787","4"
"gaussian__sigma1|gsmooth","gaussian__sigma1","gsmooth","0,137314093996258","4"
"vknng__alpha1_k4_k_max8_k_min2|tv","vknng__alpha1_k4_k_max8_k_min2","tv","0,137460345096377","4"
"knng__k4_sigma1|tv","knng__k4_sigma1","tv","0,137781196763958","4"
"aew__k4_sigma_corr0_5_sigma_dist1|gsmooth","aew__k4_sigma_corr0_5_sigma_dist1","gsmooth","0,137605209257611","4"
"knn__k5|heat_diffusion_temporal","knn__k5","heat_diffusion_temporal","0,138114673591652","4"
"vknng__alpha1_k4_k_max8_k_min2|heat_diffusion_temporal","vknng__alpha1_k4_k_max8_k_min2","heat_diffusion_temporal","0,138286342079379","4"
"knn__k3|heat_diffusion_temporal","knn__k3","heat_diffusion_temporal","0,138360977489416","4"
"knn__k5|directed_tv","knn__k5","directed_tv","0,139176046717035","4"
"knn__k3|tv","knn__k3","tv","0,138556458339624","4"
"knn__k5|gsmooth","knn__k5","gsmooth","0,13859100020485","4"
"gaussian__sigma1|trss","gaussian__sigma1","trss","0,138431323331222","4"
"gaussian__sigma1|gsp","gaussian__sigma1","gsp","0,138463468072461","4"
