graph,method,mean_mae,std_mae,median_mae,count,mean_rmse,mean_snr,datasets_count,rank_metric,temporal,baseline,experiment
aew__k4_sigma_corr0_5_sigma_dist1,directed_tv,0.1883763865188289,0.0615230108839918,0.2024415539563246,12,0.4562507161108354,-1.9055248626154968,3,0.2191378919608248,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.1657283248449554,0.0767270361462718,0.1610362106875651,12,0.364224064911925,-0.1110870461827527,3,0.2040918429180913,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,gsp,0.1759578859402034,0.0803150918346142,0.1752132118873399,12,0.3981585987985623,-0.7509600779976152,3,0.2161154318575106,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.1641371543200398,0.0741230211582667,0.1658630307899041,12,0.3511778796638427,0.0291147234256941,3,0.2011986648991732,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,idw,0.1695226356632066,0.0791346864484849,0.1698560992137773,12,0.3714690363700119,-0.3489149133012366,3,0.2090899788874491,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,linear,0.1961211837997016,0.0910445601248275,0.2054059564956012,12,0.4496401479366146,-1.9577692391721853,3,0.2416434638621153,False,True,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,mean,0.1658937610924521,0.0771085823649144,0.1681542916167222,12,0.3610497534940873,-0.1051982963419481,3,0.2044480522749093,False,True,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,tikhonov,0.1864512725086506,0.0781975427232345,0.1860946476714396,12,0.3974999332740252,24.020036298220266,3,0.2255500438702679,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,trss,0.1645469214538009,0.0733924333696779,0.1638271694529104,12,0.3603666196813321,0.0035241897080597,3,0.2012431381386399,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,tv,0.168153759611859,0.0767933183373522,0.1682521025059741,12,0.3745925660866914,-0.2761281066796562,3,0.2065504187805351,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,wavelet_temporal,0.1700039904307537,0.0733229313777697,0.1702364355540951,12,0.3533808538602019,24.81971008866904,3,0.2066654561196386,True,False,it05_no_physionet
gaussian__sigma1,directed_tv,0.1659682039624512,0.0742263485636665,0.1689227903102501,12,0.3562817143006989,-0.1099583845229954,3,0.2030813782442845,True,False,it05_no_physionet
gaussian__sigma1,gsmooth,0.1662911100141718,0.0769203582820419,0.1681848248388025,12,0.3621723980743985,-0.1427926000113222,3,0.2047512891551928,False,False,it05_no_physionet
gaussian__sigma1,gsp,0.1673407734118843,0.077465198730599,0.1690183874765431,12,0.3654574046125496,-0.222666255080027,3,0.2060733727771839,False,False,it05_no_physionet
gaussian__sigma1,heat_diffusion_temporal,0.1652381178059691,0.0758831184831294,0.1660905934626377,12,0.3553389426172536,-0.0313821680392587,3,0.2031796770475338,True,False,it05_no_physionet
gaussian__sigma1,idw,0.1695226356632066,0.0791346864484849,0.1698560992137773,12,0.3714690363700119,-0.3489149133012366,3,0.2090899788874491,False,False,it05_no_physionet
gaussian__sigma1,linear,0.1961211837997016,0.0910445601248275,0.2054059564956012,12,0.4496401479366146,-1.9577692391721853,3,0.2416434638621153,False,True,it05_no_physionet
gaussian__sigma1,mean,0.1658937610924521,0.0771085823649144,0.1681542916167222,12,0.3610497534940873,-0.1051982963419481,3,0.2044480522749093,False,True,it05_no_physionet
gaussian__sigma1,trss,0.1672965113305506,0.0774090840948728,0.1689443073960035,12,0.3652290732184389,-0.2188716656600176,3,0.206001053377987,True,False,it05_no_physionet
gaussian__sigma1,tv,0.1660423594100579,0.0775477167788314,0.16818227850357,12,0.3614915442699084,-0.1078100336052124,3,0.2048162177994736,True,False,it05_no_physionet
gaussian__sigma1,wavelet_temporal,0.1899690031431205,0.0708093368396599,0.188827467212802,12,0.3679765970107703,12.683953495767744,3,0.2253736715629505,True,False,it05_no_physionet
kalofolias,directed_tv,0.1647039064027324,0.0746121166385751,0.1659723543195345,12,0.3520398842603185,0.0100266210251006,3,0.2020099647220199,True,False,it05_no_physionet
kalofolias,gsmooth,0.174105253025587,0.0796211788794501,0.1743150434813637,12,0.3792694706884223,-0.586270494668123,3,0.2139158424653121,False,False,it05_no_physionet
kalofolias,idw,0.1695226356632066,0.0791346864484849,0.1698560992137773,12,0.3714690363700119,-0.3489149133012366,3,0.2090899788874491,False,False,it05_no_physionet
kalofolias,linear,0.1961211837997016,0.0910445601248275,0.2054059564956012,12,0.4496401479366146,-1.9577692391721853,3,0.2416434638621153,False,True,it05_no_physionet
kalofolias,mean,0.1658937610924521,0.0771085823649144,0.1681542916167222,12,0.3610497534940873,-0.1051982963419481,3,0.2044480522749093,False,True,it05_no_physionet
kalofolias,trss,0.1945196476910062,0.0891091435502293,0.2011011140103199,12,0.4340051595029733,-1.7202388630885013,3,0.2390742194661209,True,False,it05_no_physionet
kalofolias,tv,0.1659221490968649,0.0771231300511891,0.1681569258880729,12,0.3610976641645988,-0.1066317003665112,3,0.2044837141224595,True,False,it05_no_physionet
kalofolias,wavelet_temporal,0.1951129953910056,0.0702331746928712,0.1931671641236121,12,0.3746750572501773,11.512535663868531,3,0.2302295827374412,True,False,it05_no_physionet
knn__k3,directed_tv,0.1770904730025652,0.0736691215458695,0.1911063261221561,12,0.3949223135465691,-0.9170084790059376,3,0.2139250337754999,True,False,it05_no_physionet
knn__k3,gsmooth,0.1686452905205177,0.0781228721820261,0.1697530769280462,12,0.3681583516523405,-0.2974922854524007,3,0.2077067266115308,False,False,it05_no_physionet
knn__k3,gsp,0.1839793449107153,0.0846364230380002,0.1856692719279175,12,0.4136420226528781,-1.281707269487118,3,0.2262975564297154,False,False,it05_no_physionet
knn__k3,heat_diffusion_temporal,0.1672586123863949,0.0758933985158572,0.1678465641492887,12,0.3588910252508428,-0.1558106574218814,3,0.2052053116443235,True,False,it05_no_physionet
knn__k3,idw,0.1695226356632066,0.0791346864484849,0.1698560992137773,12,0.3714690363700119,-0.3489149133012366,3,0.2090899788874491,False,False,it05_no_physionet
knn__k3,linear,0.1961211837997016,0.0910445601248275,0.2054059564956012,12,0.4496401479366146,-1.9577692391721853,3,0.2416434638621153,False,True,it05_no_physionet
knn__k3,mean,0.1658937610924521,0.0771085823649144,0.1681542916167222,12,0.3610497534940873,-0.1051982963419481,3,0.2044480522749093,False,True,it05_no_physionet
knn__k3,trss,0.180027290616913,0.0820682773747114,0.1829957008861211,12,0.4020650802492687,-1.0596443390347323,3,0.2210614293042687,True,False,it05_no_physionet
knn__k3,tv,0.1680384778799837,0.0769311878383933,0.1704211610949983,12,0.3673829229443211,-0.2751918253418003,3,0.2065040717991804,True,False,it05_no_physionet
knn__k3,wavelet_temporal,0.1842390776639484,0.0710670723207272,0.1834307701431316,12,0.3610976522616516,15.083034431439534,3,0.219772613824312,True,False,it05_no_physionet
knn__k5,directed_tv,0.1691321063075531,0.0730547786685971,0.1770907467605278,12,0.3671467154786502,-0.3719247773037356,3,0.2056594956418517,True,False,it05_no_physionet
knn__k5,gsmooth,0.1677186100141464,0.0767275761054272,0.1697014345103325,12,0.3665111555883988,-0.2666707241158068,3,0.20608239806686,False,False,it05_no_physionet
knn__k5,gsp,0.1753458095833362,0.0804926641395648,0.1774518362122943,12,0.3897780011948595,-0.7768467058431471,3,0.2155921416531186,False,False,it05_no_physionet
knn__k5,heat_diffusion_temporal,0.1668582644119724,0.0756224432151521,0.1681503168815965,12,0.3594162154659414,-0.1524963714976133,3,0.2046694860195484,True,False,it05_no_physionet
knn__k5,idw,0.1695226356632066,0.0791346864484849,0.1698560992137773,12,0.3714690363700119,-0.3489149133012366,3,0.2090899788874491,False,False,it05_no_physionet
knn__k5,linear,0.1961211837997016,0.0910445601248275,0.2054059564956012,12,0.4496401479366146,-1.9577692391721853,3,0.2416434638621153,False,True,it05_no_physionet
knn__k5,mean,0.1658937610924521,0.0771085823649144,0.1681542916167222,12,0.3610497534940873,-0.1051982963419481,3,0.2044480522749093,False,True,it05_no_physionet
knn__k5,trss,0.1747083450982612,0.0799271723006951,0.176570906648124,12,0.3876813216805375,-0.7386193483442423,3,0.2146719312486087,True,False,it05_no_physionet
knn__k5,tv,0.1661263525773919,0.0769769246277497,0.1688217616581981,12,0.362428065366408,-0.1400629610005909,3,0.2046148148912668,True,False,it05_no_physionet
knn__k5,wavelet_temporal,0.1873873941079235,0.0707850330267168,0.1860546393177075,12,0.365163788354566,13.481602171984164,3,0.2227799106212819,True,False,it05_no_physionet
knng__k4_sigma1,directed_tv,0.1731029400826128,0.0718103782557556,0.1890343046718736,12,0.385083116236122,-0.7274368864072421,3,0.2090081292104906,True,False,it05_no_physionet
knng__k4_sigma1,gsmooth,0.1676935624194951,0.0774699193796873,0.167467079860992,12,0.3659273034285474,-0.2452406822219767,3,0.2064285221093388,False,False,it05_no_physionet
knng__k4_sigma1,gsp,0.1790895671199503,0.0814160106197085,0.1812869174892967,12,0.4012953854526717,-1.0307778471963256,3,0.2197975724298046,False,False,it05_no_physionet
knng__k4_sigma1,heat_diffusion_temporal,0.166343373076797,0.0751368036137583,0.1677871525297003,12,0.3574138796525545,-0.1165594403083805,3,0.2039117748836762,True,False,it05_no_physionet
