dataset,missing_ratio,variant,n,mae_mean,rmse_mean,dtw_mean,snr_mean,lsd_mean,coherence_mean
bci_iv2a_s1,0.1,Spatial-Only Spline,10,7.060171535326086e-07,3.7684567211800708e-06,6.417054687210131e-06,6.509912381331693,0.03969844150859779,0.9842565016982334
bci_iv2a_s1,0.1,TRSS-Full,10,7.283796027132448e-07,3.909820845783468e-06,7.1230024278967816e-06,6.208813809972023,0.04913145585337814,0.9868168722242375
bci_iv2a_s1,0.1,TRSS-NoTemporal,10,7.337768313860605e-07,3.94604457052916e-06,7.3395088795918765e-06,6.046853189932015,0.05162787816588782,0.9868171045069951
bci_iv2a_s1,0.2,Spatial-Only Spline,10,2.5170079218750003e-06,1.1311423337120485e-05,2.3441385972599837e-05,6.887415067640677,0.11018142533226935,0.9600223705748558
bci_iv2a_s1,0.2,TRSS-Full,10,2.7480764394701886e-06,1.2089091581714498e-05,2.7322832078624905e-05,5.510861026822412,0.14154398067489013,0.9616929682170137
bci_iv2a_s1,0.2,TRSS-NoTemporal,10,2.761396979113878e-06,1.2121676597239837e-05,2.8004247803426092e-05,5.362424661149926,0.1482401889442906,0.9616867011820667
bci_iv2a_s1,0.3,Spatial-Only Spline,10,3.239411414930555e-06,1.259440150293259e-05,2.9876301476299305e-05,6.6838082887821,0.152040315258317,0.9445945370291996
bci_iv2a_s1,0.3,TRSS-Full,10,3.5770116744306726e-06,1.3446218166868854e-05,3.621367304259985e-05,5.268937788295108,0.211327104609828,0.944975711115777
bci_iv2a_s1,0.3,TRSS-NoTemporal,10,3.597558300769831e-06,1.3489226273200205e-05,3.7180404536715995e-05,5.117470594088205,0.22185469770300278,0.9449651155854722
bci_iv2a_s1,0.4,Spatial-Only Spline,10,4.669982041666666e-06,1.5807941207129754e-05,4.251051906375825e-05,6.433146092918141,0.21679033425436872,0.9164422433256696
bci_iv2a_s1,0.4,TRSS-Full,10,5.260392000617251e-06,1.7011163323219163e-05,5.414987981111942e-05,4.626134722461435,0.3477888241931668,0.9189833343141343
bci_iv2a_s1,0.4,TRSS-NoTemporal,10,5.293345836623279e-06,1.7060789164861947e-05,5.560180355005093e-05,4.47037036937126,0.36606390789305593,0.918959005131972
eegbci_s1r1,0.1,Spatial-Only Spline,10,1.650298558728448e-06,6.841903145892975e-06,1.4663552707996436e-05,5.907951665437649,0.06773879313154911,0.9735950566250278
eegbci_s1r1,0.1,TRSS-Full,10,1.5850666084219102e-06,6.5380204847889994e-06,1.5139785425757027e-05,6.291225601123115,0.06691663416067528,0.98451668647914
eegbci_s1r1,0.1,TRSS-NoTemporal,10,1.5971442801296342e-06,6.589844448725243e-06,1.5299769647538068e-05,6.211256164721209,0.07259734079034245,0.98451591143956
eegbci_s1r1,0.2,Spatial-Only Spline,10,3.3620891676682693e-06,9.924998936567323e-06,2.9357902391830954e-05,5.72200471484846,0.13612090083705253,0.9445832329828121
eegbci_s1r1,0.2,TRSS-Full,10,3.383858276403854e-06,9.867275053041967e-06,3.2377289544239325e-05,5.620298101334006,0.14545221119101318,0.9656339011204167
eegbci_s1r1,0.2,TRSS-NoTemporal,10,3.4088041057867228e-06,9.942548689286583e-06,3.272537959935366e-05,5.54334845173454,0.15847669322081984,0.9656315691872296
eegbci_s1r1,0.3,Spatial-Only Spline,10,5.405662152777778e-06,1.2707198372968753e-05,4.7350336058321855e-05,5.642223484235696,0.21423230123695447,0.9105299803722753
eegbci_s1r1,0.3,TRSS-Full,10,5.75272490417105e-06,1.3373202563686062e-05,5.575470957582852e-05,5.055476009204707,0.25102780244924766,0.9434111707868669
eegbci_s1r1,0.3,TRSS-NoTemporal,10,5.793517520636483e-06,1.3471351806617062e-05,5.636290719118296e-05,4.981166898123637,0.2741801635849376,0.9433857183633696
eegbci_s1r1,0.4,Spatial-Only Spline,10,7.172347656249998e-06,1.4705756443998813e-05,6.267754917036516e-05,5.582728790734796,0.28466893940470267,0.8800991384952997
eegbci_s1r1,0.4,TRSS-Full,10,8.127333587972116e-06,1.6461046425689824e-05,7.918176772843483e-05,4.413778034577575,0.36790564705603457,0.9184108863281226
eegbci_s1r1,0.4,TRSS-NoTemporal,10,8.17970772619125e-06,1.6572426901452695e-05,8.005696756151154e-05,4.346496197124165,0.4022025262862341,0.9183442201853756
