iteration,dataset,missing_ratio,variant,mae,rmse,dtw,snr,lsd,coherence_mean,total_power,peak_freq,spectral_slope,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma
0,bci_iv2a_s1,0.1,TRSS-Full,1.0848967528838544e-06,5.912950949732054e-06,1.0753589191821148e-05,3.262203209858211,0.061546614615886466,0.9781593969483054,4.836571258288824e-08,1.0,-1.8526540404015075,2.5394649979557162e-08,1.0218452529878878e-08,5.192672049929162e-09,6.3624834806192885e-09,1.1974545429037543e-09
0,bci_iv2a_s1,0.1,TRSS-NoTemporal,1.0887056663679141e-06,5.9279493107123225e-06,1.0901322059453226e-05,3.200026920572873,0.0640371726265279,0.9781598462728529,4.834396504260679e-08,1.0,-1.855029596183459,2.539417022910978e-08,1.0217120549665403e-08,5.190293955006949e-09,6.351623073114816e-09,1.1907572357098381e-09
0,bci_iv2a_s1,0.1,Spatial-Only Spline,9.474554347826085e-07,5.470551673777283e-06,9.990869327577803e-06,5.659304010489885,0.048006084249060714,0.9778197515251575,4.8842799168279633e-08,1.0,-1.848445750661639,2.5526991641645574e-08,1.0190026319583842e-08,5.33895954657204e-09,6.563551606787807e-09,1.2232700536903731e-09
1,bci_iv2a_s1,0.1,TRSS-Full,4.015565735670491e-07,1.8225742091186056e-06,4.619128417271079e-06,8.633456161945658,0.03763100510876224,0.9951473214375761,4.871058171921541e-08,1.0,-1.8318900052908222,2.5684605972751838e-08,1.0076523143987917e-08,5.221039246143714e-09,6.484542037084878e-09,1.2438713192470635e-09
1,bci_iv2a_s1,0.1,TRSS-NoTemporal,4.073730328953404e-07,1.8724790238641882e-06,4.858435422789234e-06,8.398692439178975,0.039945520038303185,0.9951475966912037,4.869126942809027e-08,1.0,-1.833797806241,2.5684407641347693e-08,1.0076050002791731e-08,5.21870196892899e-09,6.473686538212363e-09,1.2384232768094942e-09
1,bci_iv2a_s1,0.1,Spatial-Only Spline,4.583095788043478e-07,2.1034894460790763e-06,4.157071809619406e-06,7.544476961893059,0.03441046049186794,0.9917963520113798,4.975672419889313e-08,1.0,-1.8318212399196672,2.6204869511833535e-08,1.0228195090352154e-08,5.361904790540481e-09,6.685788475755813e-09,1.2759663304111454e-09
2,bci_iv2a_s1,0.1,TRSS-Full,4.755770050675659e-07,2.2080795863477413e-06,5.360537499038936e-06,8.525831081510946,0.04033360107477451,0.9964063122311976,4.8407385594269467e-08,1.0,-1.830117492965452,2.5479235475815462e-08,1.0011725577581244e-08,5.199035693781481e-09,6.4782066691860265e-09,1.2391821779052553e-09
2,bci_iv2a_s1,0.1,TRSS-NoTemporal,4.815027468489478e-07,2.2494561498582242e-06,5.558366230117642e-06,8.354134264861964,0.04298896885423909,0.9964082316763506,4.838825657621698e-08,1.0,-1.8318176725598636,2.5478975830423073e-08,1.0011148219742596e-08,5.196619963248076e-09,6.4676133824465065e-09,1.2338991803567236e-09
2,bci_iv2a_s1,0.1,Spatial-Only Spline,3.776853260869565e-07,1.6894167069371328e-06,3.9092615830360185e-06,10.594731518708615,0.0321402800372344,0.9932001060051187,4.9289046598922955e-08,1.0,-1.8274300120796516,2.5868325153416452e-08,1.013998385605788e-08,5.328808182351104e-09,6.679955851342123e-09,1.271973555755394e-09
3,bci_iv2a_s1,0.1,TRSS-Full,9.889007590949876e-07,5.746741010306566e-06,9.90499575822222e-06,3.8056783950042647,0.05777914821777375,0.978974614497263,4.8670305109670246e-08,1.0,-1.8553015188953608,2.5589511987969733e-08,1.0259474129643758e-08,5.248866877964909e-09,6.370288292901846e-09,1.202163821189998e-09
3,bci_iv2a_s1,0.1,TRSS-NoTemporal,9.924972190423557e-07,5.761918667502365e-06,1.0060463097358145e-05,3.689258309896734,0.06034130132275884,0.978973053713038,4.8648583932375385e-08,1.0,-1.8577681018851893,2.558909451565504e-08,1.025819217404514e-08,5.246527140777492e-09,6.3593995692578855e-09,1.1953705326398287e-09
3,bci_iv2a_s1,0.1,Spatial-Only Spline,9.717595788043476e-07,5.539041176773883e-06,1.005694281345984e-05,3.8633901473638645,0.04387651880842488,0.9778186478720834,4.927743192153297e-08,1.0,-1.852901588011354,2.5829003823074885e-08,1.0243791148301847e-08,5.403836963031223e-09,6.573480146784177e-09,1.227319840340837e-09
4,bci_iv2a_s1,0.1,TRSS-Full,4.479198057530981e-07,2.114546282995849e-06,4.786254285419038e-06,7.017834309291656,0.041837144225054905,0.9937789784573785,4.862927988576135e-08,1.0,-1.8330634719100825,2.56346779472676e-08,1.0069606187146782e-08,5.21459752397491e-09,6.470748688118466e-09,1.239649539253591e-09
4,bci_iv2a_s1,0.1,TRSS-NoTemporal,4.556807274473787e-07,2.1749163903314835e-06,5.085392605240292e-06,6.767221953275277,0.04484328898139509,0.9937778503162827,4.861156250156092e-08,1.0,-1.8349314290084475,2.5634501347264047e-08,1.006922744389548e-08,5.212580797805564e-09,6.460612514884288e-09,1.2346403977115437e-09
4,bci_iv2a_s1,0.1,Spatial-Only Spline,5.794380434782609e-07,2.696377640700769e-06,5.342959720413661e-06,4.945952171036761,0.03750259367544935,0.9864506467071146,4.98836223781136e-08,1.0,-1.8326867808821694,2.624026652690422e-08,1.0255058765967914e-08,5.395881489067158e-09,6.7124620545862e-09,1.2799535415881082e-09
5,bci_iv2a_s1,0.1,TRSS-Full,4.2597964503019386e-07,1.9836816612063707e-06,4.714331449110062e-06,7.638276684507065,0.04091119652420771,0.9943763760357534,4.874845659329079e-08,1.0,-1.8327351720134986,2.566830496285483e-08,1.011686610513991e-08,5.249371756702097e-09,6.468499158408842e-09,1.2454146101851096e-09
5,bci_iv2a_s1,0.1,TRSS-NoTemporal,4.331681413924673e-07,2.0353480410641775e-06,4.975725356458467e-06,7.409597842691456,0.043671137087882055,0.9943761393894135,4.8729926623200696e-08,1.0,-1.8345925853758154,2.5668109325307315e-08,1.0116432364825665e-08,5.247174780900202e-09,6.45817733030916e-09,1.240032821858356e-09
5,bci_iv2a_s1,0.1,Spatial-Only Spline,5.015418478260869e-07,2.3401929127125467e-06,4.256190392610604e-06,6.641716521434962,0.033346824811357735,0.9884870224528499,4.9883464366220385e-08,1.0,-1.8321616114929964,2.620783019051696e-08,1.029205395901596e-08,5.413171300485788e-09,6.6893861293303e-09,1.2810227868713759e-09
6,bci_iv2a_s1,0.1,TRSS-Full,5.674524440785748e-07,2.8521854756924646e-06,5.042690993221391e-06,5.80799499285118,0.04596176276599967,0.9822124973400547,4.931500108971859e-08,1.0,-1.8343628317262648,2.6008704458032007e-08,1.0266330456875652e-08,5.276594604131598e-09,6.5098437592369355e-09,1.253527811442395e-09
6,bci_iv2a_s1,0.1,TRSS-NoTemporal,5.702273658251465e-07,2.876223791193777e-06,5.2849113760755e-06,5.7130860795904015,0.04740904899482578,0.9822122522899553,4.929267241291981e-08,1.0,-1.836491688679682,2.600821785969317e-08,1.0265091947895894e-08,5.273916478060079e-09,6.498566048423285e-09,1.2468800788473816e-09
6,bci_iv2a_s1,0.1,Spatial-Only Spline,5.044701766304347e-07,2.339786369843071e-06,4.516048901246613e-06,7.368569114782193,0.03508422338191125,0.9879392921062893,4.9605932204764914e-08,1.0,-1.8294987658352664,2.601665296988456e-08,1.0226069681300218e-08,5.3951610149645804e-09,6.691566620371644e-09,1.276481918243913e-09
7,bci_iv2a_s1,0.1,TRSS-Full,5.201907296867971e-07,2.429117821636034e-06,5.890553900324876e-06,7.001647539373239,0.04984999121120946,0.9954210366030649,4.833669131251576e-08,1.0,-1.8306002638713956,2.5498879876985402e-08,1.0012828383088847e-08,5.1758815996955345e-09,6.413989652028173e-09,1.235111800717802e-09
7,bci_iv2a_s1,0.1,TRSS-NoTemporal,5.277133901358615e-07,2.481254076430679e-06,6.152520170558972e-06,6.815019744610453,0.05260167743016864,0.9954231985372379,4.831955020274371e-08,1.0,-1.8322752814745065,2.5498693668568952e-08,1.0012384168755822e-08,5.173813246220322e-09,6.404514184731773e-09,1.2301449344668389e-09
7,bci_iv2a_s1,0.1,Spatial-Only Spline,3.704816576086956e-07,1.7192543655889403e-06,3.5586655703803197e-06,9.905386484514207,0.03270160055322432,0.9921219329285617,4.9498469415760006e-08,1.0,-1.8284064786599092,2.6037078450542127e-08,1.0178974457318304e-08,5.3450354620179795e-09,6.662707037813431e-09,1.2746740080681664e-09
8,bci_iv2a_s1,0.1,TRSS-Full,5.095737584294147e-07,2.350306770998075e-06,5.3041807265625185e-06,6.208801911266444,0.04912019646229901,0.9902693062919734,4.8700953686416636e-08,1.0,-1.8351778740025215,2.5667077754105147e-08,1.0094821107982339e-08,5.223880476874145e-09,6.4758344450469125e-09,1.2393399024080925e-09
8,bci_iv2a_s1,0.1,TRSS-NoTemporal,5.153104847938359e-07,2.3954102135048465e-06,5.527295416843236e-06,6.037261653963411,0.051552210237407144,0.990270559453709,4.868229806366688e-08,1.0,-1.837113935181366,2.566691440742839e-08,1.0094409504053846e-08,5.221761306091552e-09,6.465324948025044e-09,1.2338878980680526e-09
8,bci_iv2a_s1,0.1,Spatial-Only Spline,6.279788043478261e-07,2.822754858058101e-06,5.074365285176754e-06,4.509924561243097,0.03962644837674016,0.9858763652856539,4.9893426416170414e-08,1.0,-1.8356024193742815,2.625731378443425e-08,1.0273210938636713e-08,5.391788864199061e-09,6.696701774498643e-09,1.2744110544017445e-09
9,bci_iv2a_s1,0.1,TRSS-Full,1.8617485535409133e-06,1.1678024689800918e-05,1.4853762057976542e-05,4.186413814111576,0.06634389832781366,0.9634228823998072,4.0866121902012386e-08,1.0,-1.830308610892201,2.0322784214460414e-08,8.69943959528448e-09,4.6337842430310565e-09,6.169424675253721e-09,1.0406891739827143e-09
9,bci_iv2a_s1,0.1,TRSS-NoTemporal,1.8655895391113563e-06,1.1685490040829535e-05,1.4990657061024053e-05,4.084232690678604,0.06888845608537043,0.9634223167299083,4.0844216945437424e-08,1.0,-1.8327176773775689,2.032225667574811e-08,8.698235829546425e-09,4.630999692736307e-09,6.158095333637927e-09,1.0346294137686554e-09
9,bci_iv2a_s1,0.1,Spatial-Only Spline,1.7210510869565218e-06,1.0963702061329907e-05,1.3308171468580298e-05,4.065672321850305,0.0602893807007072,0.9610549000881262,4.1296272737916656e-08,1.0,-1.8258604326246684,2.0426797972912108e-08,8.701457208073299e-09,4.752511898238825e-09,6.351314220133732e-09,1.0641914385586932e-09
0,bci_iv2a_s1,0.2,TRSS-Full,3.231091380645596e-06,1.2877121368740674e-05,2.8748434514949093e-05,3.777160385261973,0.18055769553085818,0.936199178701499,3.845430099602581e-08,1.0,-1.87666737568474,1.923712692132475e-08,8.556580604171411e-09,4.247262562235641e-09,5.511344470194814e-09,9.019864380991943e-10
0,bci_iv2a_s1,0.2,TRSS-NoTemporal,3.244675997673242e-06,1.2903098239397343e-05,2.9322991719156704e-05,3.669757350465672,0.18924831391725014,0.9361846022546729,3.840999919037611e-08,1.0,-1.8820356385308052,1.9235853700595953e-08,8.553769960867865e-09,4.2414322376196285e-09,5.488723073930978e-09,8.902202173616843e-10
0,bci_iv2a_s1,0.2,Spatial-Only Spline,2.94898375e-06,1.2278048094219508e-05,2.5507032979854943e-05,5.203048801955901,0.13360758872733267,0.9300395776482453,4.049073037333134e-08,1.0,-1.8545314114011724,1.988745478081795e-08,8.726193365351886e-09,4.6940931108835996e-09,6.180012519360982e-09,1.0029765969169237e-09
1,bci_iv2a_s1,0.2,TRSS-Full,3.775146162401349e-06,1.8698085588230452e-05,3.930756405130936e-05,5.509955173595105,0.15163976423955505,0.9684760362053336,3.001317427952001e-08,1.0,-1.6301185592538123,1.4917988193534324e-08,4.285551513440063e-09,4.180191490465251e-09,5.51649510486684e-09,1.1129479772135262e-09
1,bci_iv2a_s1,0.2,TRSS-NoTemporal,3.7885261183095616e-06,1.8714829256767598e-05,4.014113604483065e-05,5.345699834286359,0.158498554399809,0.968464994451029,2.996799237427208e-08,1.0,-1.6356908915975863,1.4917542788501407e-08,4.284528129361352e-09,4.175070328374157e-09,5.491923299571423e-09,1.0989278284637404e-09
1,bci_iv2a_s1,0.2,Spatial-Only Spline,3.4110932812499996e-06,1.7807231951892837e-05,3.289234474102823e-05,8.07576978044532,0.12493559260988107,0.964823615253055,3.2289834924440264e-08,1.0,-1.6323480268394919,1.585622486931351e-08,4.55080623185198e-09,4.591747597120531e-09,6.092340710508923e-09,1.1987155156453212e-09
2,bci_iv2a_s1,0.2,TRSS-Full,3.686399458466309e-06,1.866080430720269e-05,3.865499853405709e-05,6.389369075355713,0.14392427951862463,0.9738643554749098,2.9977236765743176e-08,1.0,-1.6297223259581954,1.4863402024384154e-08,4.282289421246267e-09,4.189311051043602e-09,5.53344363187389e-09,1.1087906371952646e-09
2,bci_iv2a_s1,0.2,TRSS-NoTemporal,3.7010612135653477e-06,1.8677563563873724e-05,3.950243347869069e-05,6.1906890896847795,0.15119774707519512,0.973863396101475,2.993152135534769e-08,1.0,-1.635175951134469,1.4862857537641533e-08,4.281147240706614e-09,4.183929360850386e-09,5.508548487860828e-09,1.0950387282883275e-09
