method_a,method_b,missing_mode,missing_value,n_pairs,a_win_rate_mae,median_rel_improve_mae,mean_rel_improve_mae
trss_default,mne_interpolate_bads_spline,edge,0.1,15,0.7333333333333333,0.23212233438240756,0.17413112833239877
trss_default,mne_interpolate_bads_spline,edge,0.3,15,0.5333333333333333,0.19305912708537326,0.17472657538934164
trss_default,mne_interpolate_bads_spline,edge,0.4,15,0.8,0.3158446156231169,0.25536100925009164
trss_default,mne_interpolate_bads_spline,edge,1.0,15,0.7333333333333333,0.17306276018058722,0.08669967298652054
trss_default,mne_interpolate_bads_spline,edge,2.0,15,0.7333333333333333,0.1877238370717551,0.1956895376199216
trss_default,mne_interpolate_bads_spline,high_variance,0.1,15,0.8,0.1611174091057536,0.10159013234975688
trss_default,mne_interpolate_bads_spline,high_variance,0.3,15,0.7333333333333333,0.12859796234421794,0.09236340196219603
trss_default,mne_interpolate_bads_spline,high_variance,0.4,15,0.8,0.10060219701015069,0.09241242154026556
trss_default,mne_interpolate_bads_spline,high_variance,1.0,15,0.6666666666666666,0.09748452297192865,0.0472942942249845
trss_default,mne_interpolate_bads_spline,high_variance,2.0,15,0.6666666666666666,0.10834602153472629,0.10763093268683423
trss_default,mne_interpolate_bads_spline,nearby,0.1,15,0.8,0.19546903623989453,0.14629533961742286
trss_default,mne_interpolate_bads_spline,nearby,0.3,15,0.8,0.41193924780073876,0.262651781604229
trss_default,mne_interpolate_bads_spline,nearby,0.4,15,0.8666666666666667,0.4081382557442353,0.33511826295356045
trss_default,mne_interpolate_bads_spline,nearby,1.0,15,0.6666666666666666,0.11771067816647533,-0.00514923504257021
trss_default,mne_interpolate_bads_spline,nearby,2.0,15,0.4666666666666667,-0.00012531246114492832,-0.002810115116706061
trss_default,mne_interpolate_bads_spline,random,0.1,15,0.6666666666666666,0.05711481996728506,0.03834130967059086
trss_default,mne_interpolate_bads_spline,random,0.3,15,0.7333333333333333,0.07330740879772435,0.07453644337500595
trss_default,mne_interpolate_bads_spline,random,0.4,15,0.8,0.12952463733688077,0.11603498912832041
trss_default,mne_interpolate_bads_spline,random,1.0,15,0.6666666666666666,0.11771067816647533,-0.00514923504257021
trss_default,mne_interpolate_bads_spline,random,2.0,15,0.7333333333333333,0.04809244351139963,0.06762520206599966
trss_cv_tuned_seed0,mne_interpolate_bads_spline,edge,0.1,15,0.7333333333333333,0.24382120576806843,0.18221621350701817
trss_cv_tuned_seed0,mne_interpolate_bads_spline,edge,0.3,15,0.5333333333333333,0.1815691570547652,0.17942180640791255
trss_cv_tuned_seed0,mne_interpolate_bads_spline,edge,0.4,15,0.8,0.3175125500792529,0.25899090122222074
trss_cv_tuned_seed0,mne_interpolate_bads_spline,edge,1.0,15,0.7333333333333333,0.1982968582492671,0.1478743467202129
trss_cv_tuned_seed0,mne_interpolate_bads_spline,edge,2.0,15,0.7333333333333333,0.19252205732613872,0.21356503303707045
trss_cv_tuned_seed0,mne_interpolate_bads_spline,high_variance,0.1,15,0.8,0.16111741191687048,0.10657649811176621
