method,missing_mode,missing_value,metric,n,win_rate,median_improvement,mne_median,trss_median
trss_default,edge,0.1,mae,15,0.7333333333333333,0.23212233438240756,1.734584541016086e-05,1.1899993311401352e-05
trss_default,edge,0.1,nrmse,15,0.7333333333333333,0.25741325919958097,1.036760457301825,0.7698845689785142
trss_default,edge,0.1,lsd,15,0.13333333333333333,-0.03416460707646072,0.8197320135467816,0.8822668112849517
trss_default,edge,0.1,runtime_s,15,0.0,-9.289356685909022,0.0082883979994221,0.1116467230003763
trss_default,edge,0.3,mae,15,0.5333333333333333,0.19305912708537326,1.4246258136968448e-05,1.4441246319055664e-05
trss_default,edge,0.3,nrmse,15,0.5333333333333333,0.14675986852935147,0.7049557202872767,0.6851752954920536
trss_default,edge,0.3,lsd,15,0.5333333333333333,0.01298605138369396,0.821252636775892,0.7940901695498419
trss_default,edge,0.3,runtime_s,15,0.0,-10.376454051022334,0.0090253420003136,0.1271143730009498
trss_default,edge,0.4,mae,15,0.8,0.3158446156231169,2.106256112233391e-05,1.3225890817935566e-05
trss_default,edge,0.4,nrmse,15,0.8,0.35770140034363723,1.2754720399585575,0.8013745010944271
trss_default,edge,0.4,lsd,15,0.8,0.11788661093593682,0.8899802005725412,0.8187354644722449
trss_default,edge,0.4,runtime_s,15,0.0,-11.46564274658947,0.0088325879987678,0.1000814929993794
trss_default,edge,1.0,mae,15,0.7333333333333333,0.17306276018058722,6.923492009251502e-06,7.889299747624198e-06
trss_default,edge,1.0,nrmse,15,0.7333333333333333,0.1933245251569604,0.9587393785902318,0.7923720741677218
trss_default,edge,1.0,lsd,15,0.4666666666666667,-0.03818814601280377,0.920851173467974,0.9802066707067416
trss_default,edge,1.0,runtime_s,15,0.0,-9.18282075784624,0.009965857001589,0.1120434290005505
trss_default,edge,2.0,mae,15,0.7333333333333333,0.1877238370717551,1.1330450438219826e-05,5.856249085086787e-06
trss_default,edge,2.0,nrmse,15,0.7333333333333333,0.21600127446777645,0.9487292956787338,0.4806871492862212
trss_default,edge,2.0,lsd,15,0.4666666666666667,-0.03593334881977418,0.7872607153021576,0.7490651293849007
trss_default,edge,2.0,runtime_s,15,0.0,-6.381824202760521,0.0100823310003761,0.1371761899990815
trss_default,high_variance,0.1,mae,15,0.8,0.1611174091057536,1.2038607886818096e-05,1.02521465774258e-05
trss_default,high_variance,0.1,nrmse,15,0.8,0.06189803400301996,0.5378880386437105,0.5131452507994181
trss_default,high_variance,0.1,lsd,15,0.26666666666666666,-0.09655962698791888,0.6517385241893529,0.6702033048245317
