comparison,method_a,method_b,metric,direction,n_pairs,n_scenarios,a_mean,b_mean,a_median,b_median,median_improvement,mean_improvement,win_rate,median_benefit_diff,mean_benefit_diff,wilcoxon_p,paired_rank_biserial,cohen_dz,boot_median_improvement_ci_low,boot_median_improvement_ci_high,boot_mean_improvement_ci_low,boot_mean_improvement_ci_high,boot_median_benefit_diff_ci_low,boot_median_benefit_diff_ci_high,boot_win_rate_ci_low,boot_win_rate_ci_high,p_fdr_bh,significant_fdr05
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,mae,lower,300,100,1.107753167426876e-05,1.4443114170161939e-05,8.461615450269208e-06,1.1330450438219826e-05,0.12382926015920269,0.1177696924777797,0.72,1.259571940167807e-06,3.3655824958931795e-06,3.4342485995019153e-23,0.6607308970099668,0.4534515883385029,0.07838431013191587,0.1737556833141494,0.07363259381893947,0.15863342075182318,7.896212236952307e-07,1.593451666057042e-06,0.6366666666666667,0.7933333333333333,1.0302745798505745e-22,True
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,rmse,lower,300,100,1.4002373054339004e-05,1.8276450330386556e-05,1.0554876396906268e-05,1.4742810649373977e-05,0.13868463969177908,0.1238773439792062,0.7033333333333334,1.7562206858432283e-06,4.274077276047548e-06,1.645141664479992e-22,0.6502325581395348,0.44632450781930183,0.06432894456715853,0.19274866679574623,0.08237632010664252,0.16711439863075686,1.1031713341176049e-06,2.1878129302550206e-06,0.62325,0.78,4.11285416119998e-22,True
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,nrmse,lower,300,100,0.6042884215511259,0.8041377699800044,0.6340705928552426,0.7248160304525755,0.13868463969177897,0.12387734397920755,0.7033333333333334,0.06823573617406514,0.1998493484288784,9.221949612250362e-23,0.6541306755260243,0.5556796924880286,0.06427178717002478,0.19328928782190916,0.08070135613631414,0.16815287989387437,0.03048068037441145,0.1755409969940721,0.6233333333333333,0.78,2.5150771669773714e-22,True
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,dtw,lower,300,100,0.0007146746912996085,0.0009150464556071584,0.0005598947179665499,0.00067320927634905,0.09796515523843614,0.10460416591625102,0.71,5.9708567857300006e-05,0.00020037176430755003,5.429558311050067e-21,0.6261794019933555,0.40430593303944357,0.05526449898457671,0.12693638847516292,0.06378505554279128,0.14791446408692416,3.6469152325400035e-05,8.051923484959998e-05,0.6333333333333333,0.7866666666666666,9.581573490088352e-21,True
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,snr,higher,300,100,9.336815294676164,8.41740402569409,10.029218830426508,9.465564582980676,0.036645225855919075,25.342144281906027,0.61,0.4058914367206228,0.9194112689820758,2.8998628196767024e-09,0.3954817275747508,0.4301194911302339,0.009210266765206612,0.0960577921843969,1.3402049133504113,112.43873277933167,0.07802556297831148,0.7828244160235034,0.5333333333333333,0.6833333333333333,3.6248285245958777e-09,True
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,lsd,lower,300,100,0.8110721876389542,0.7885624538821648,0.767018585323024,0.7507594432805448,-0.022801064051619233,-0.03487523233671889,0.4066666666666667,-0.01336714104314446,-0.0225097337567893,0.0025350611977849095,-0.20110741971207088,-0.15144330822407803,-0.04013430978537241,-0.0018797457933575365,-0.0640688004616694,-0.004650554864372626,-0.02990681553857988,-0.0016776122076425093,0.3233333333333333,0.49,0.0025350611977849095,True
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,coherence_mean,higher,300,100,0.8096810439546583,0.7850163098985412,0.887963910169462,0.8874917310360311,0.002012826173841315,0.066386965381132,0.5833333333333334,0.001933093081287418,0.024664734056116994,6.329223721463864e-07,0.33178294573643413,0.4250337696988688,3.17231690216874e-05,0.004620336733269807,0.03666959897351463,0.10184831458235319,3.0602169372562216e-05,0.004141168328462452,0.5033333333333333,0.66,7.595068465756638e-07,True
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,corr_mean,higher,300,100,0.8596804681051715,0.8076747770874269,0.9419500745662132,0.927297364672469,0.008018708875736451,0.19469772585362735,0.6866666666666666,0.007449279999081682,0.052005691017744875,3.068626154725596e-21,0.6301661129568107,0.5862179944418267,0.003409588178210139,0.020036900492373347,0.08319676565283768,0.4011817223424289,0.0033666994976273568,0.018691100223733936,0.6066666666666667,0.7600833333333329,5.753674040110492e-21,True
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,r2,higher,300,100,0.5078953267144293,0.010114773147451597,0.5979512431871787,0.4746417219989711,0.16935114628277048,3.8597120448663578,0.7033333333333334,0.08602185032964366,0.4977805535669777,1.539095422600504e-23,0.666046511627907,0.4171644884145285,0.03350481998805199,0.5279548919795541,1.5158481938596184,8.214619264620824,0.02776068347379229,0.27861927992440644,0.6266666666666667,0.7833333333333333,5.1303180753350127e-23,True
trss_default vs MNE,trss_default,mne_interpolate_bads_spline,runtime_s,lower,300,100,0.15631973688999398,0.017785981056658736,0.12139736350036401,0.009014414999910451,-10.040968262193594,-12.948670654553668,0.0033333333333333335,-0.09837758300000135,-0.13853375583333521,3.3243657500670144e-50,-0.992469545957918,-1.0024023020919461,-10.727987766144198,-9.339918983952666,-15.31757463340072,-10.82843513245711,-0.1094133199994758,-0.0886724382259218,0.0,0.013333333333333334,8.973893289408064e-49,True
