dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file
synthetic_alpha,linear,knn__k3,0.1,0.0634270409346891,0.244209901265437,,-0.0777226940065491,synthetic_alpha__0.1_0,it05_all_datasets_raw.csv
synthetic_alpha,nearest,knn__k3,0.1,0.0642770299551405,0.2523142036825606,,-0.2761905701468088,synthetic_alpha__0.1_1,it05_all_datasets_raw.csv
synthetic_alpha,mean,knn__k3,0.1,0.0589478976695532,0.2085273501920232,,0.9476396031020364,synthetic_alpha__0.1_2,it05_all_datasets_raw.csv
synthetic_alpha,idw,knn__k3,0.1,0.0625841043918718,0.2198587343426586,,0.5658803059686505,synthetic_alpha__0.1_3,it05_all_datasets_raw.csv
synthetic_alpha,spherical_spline,knn__k3,0.1,0.1109596651986618,0.4071882526204173,,-4.5856010357981205,synthetic_alpha__0.1_4,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_tps,knn__k3,0.1,0.088427217921455,0.3314997645390123,,-2.570316269427729,synthetic_alpha__0.1_5,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_mq,knn__k3,0.1,0.0895496117788872,0.3334451921211877,,-2.776695396371658,synthetic_alpha__0.1_6,it05_all_datasets_raw.csv
synthetic_alpha,spline_surface,knn__k3,0.1,0.363683314967057,1.7420712241529503,,-12.999275934669356,synthetic_alpha__0.1_7,it05_all_datasets_raw.csv
synthetic_alpha,gsp,knn__k3,0.1,0.0822079231535946,0.2916704128883218,,-1.9283352141086585,synthetic_alpha__0.1_8,it05_all_datasets_raw.csv
synthetic_alpha,tikhonov,knn__k3,0.1,0.1591433756090172,0.3004579812261948,,14.867157932756408,synthetic_alpha__0.1_9,it05_all_datasets_raw.csv
synthetic_alpha,bgsrp,knn__k3,0.1,0.4908906755512606,0.595185106484896,,2.0073950672896586,synthetic_alpha__0.1_10,it05_all_datasets_raw.csv
synthetic_alpha,gsmooth,knn__k3,0.1,0.0652929243435412,0.2294132438070028,,0.134684363878,synthetic_alpha__0.1_11,it05_all_datasets_raw.csv
synthetic_alpha,puy,knn__k3,0.1,0.3572444732768113,0.4544403865643254,,5.119704106447948,synthetic_alpha__0.1_12,it05_all_datasets_raw.csv
synthetic_alpha,sobolev,knn__k3,0.1,0.5397752126969099,0.6104957151261354,,1.3605913953827815,synthetic_alpha__0.1_13,it05_all_datasets_raw.csv
synthetic_alpha,graph_time_tikhonov,knn__k3,0.1,0.3364728535512873,0.4138655388256524,,5.709156988005283,synthetic_alpha__0.1_14,it05_all_datasets_raw.csv
synthetic_alpha,trss,knn__k3,0.1,0.0814344471122789,0.2883082730230945,,-1.823615743876108,synthetic_alpha__0.1_15,it05_all_datasets_raw.csv
synthetic_alpha,tv,knn__k3,0.1,0.0662602564319172,0.2326701616608735,,0.0968502943935819,synthetic_alpha__0.1_16,it05_all_datasets_raw.csv
synthetic_alpha,temporal_laplacian,knn__k3,0.1,0.3897465473899423,0.4490691027574665,,4.348884006100569,synthetic_alpha__0.1_17,it05_all_datasets_raw.csv
synthetic_alpha,heat_diffusion_temporal,knn__k3,0.1,0.073764903622347,0.2564202065885604,,-0.8444033522402712,synthetic_alpha__0.1_18,it05_all_datasets_raw.csv
synthetic_alpha,wavelet_temporal,knn__k3,0.1,0.0820090537154269,0.2385739897041278,,20.725527146378926,synthetic_alpha__0.1_20,it05_all_datasets_raw.csv
synthetic_alpha,directed_tv,knn__k3,0.1,0.1004905173880715,0.3492907678264803,,-3.5691121496962643,synthetic_alpha__0.1_21,it05_all_datasets_raw.csv
synthetic_alpha,linear,knn__k3,0.2,0.1771186437064046,0.4703932777932093,,-3.080086717047249,synthetic_alpha__0.2_22,it05_all_datasets_raw.csv
synthetic_alpha,nearest,knn__k3,0.2,0.1801851116769489,0.4795732212019263,,-3.2924019221232665,synthetic_alpha__0.2_23,it05_all_datasets_raw.csv
synthetic_alpha,mean,knn__k3,0.2,0.1208467294395676,0.3009477438018674,,0.7809578833742317,synthetic_alpha__0.2_24,it05_all_datasets_raw.csv
synthetic_alpha,idw,knn__k3,0.2,0.1289385495070781,0.3229735834621562,,0.2143593625954422,synthetic_alpha__0.2_25,it05_all_datasets_raw.csv
synthetic_alpha,spherical_spline,knn__k3,0.2,0.2359994730172166,0.620458405288514,,-5.408366276674806,synthetic_alpha__0.2_26,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_tps,knn__k3,0.2,0.1869920693665572,0.4833347969304404,,-3.278142546892567,synthetic_alpha__0.2_27,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_mq,knn__k3,0.2,0.1937602928304707,0.5036916253144323,,-3.6877667176084064,synthetic_alpha__0.2_28,it05_all_datasets_raw.csv
synthetic_alpha,spline_surface,knn__k3,0.2,0.2116542553159593,0.5801754853045783,,-4.71292687801629,synthetic_alpha__0.2_29,it05_all_datasets_raw.csv
synthetic_alpha,gsp,knn__k3,0.2,0.1554397425813455,0.3984886043223213,,-1.539300685640563,synthetic_alpha__0.2_30,it05_all_datasets_raw.csv
synthetic_alpha,tikhonov,knn__k3,0.2,0.2234333622851582,0.3990822089726856,,12.989836722941764,synthetic_alpha__0.2_31,it05_all_datasets_raw.csv
synthetic_alpha,bgsrp,knn__k3,0.2,0.5207834024854843,0.6369527083444106,,1.6951104120321496,synthetic_alpha__0.2_32,it05_all_datasets_raw.csv
synthetic_alpha,gsmooth,knn__k3,0.2,0.1284949143511165,0.3211408714101044,,0.2182891859862108,synthetic_alpha__0.2_33,it05_all_datasets_raw.csv
synthetic_alpha,puy,knn__k3,0.2,0.4074672723744951,0.5273162842276126,,4.395797891612577,synthetic_alpha__0.2_34,it05_all_datasets_raw.csv
synthetic_alpha,sobolev,knn__k3,0.2,0.5557915326588396,0.628365922792075,,1.126397492591793,synthetic_alpha__0.2_35,it05_all_datasets_raw.csv
