method,count,mean,std
bgsrp,264,0.5026304555906064,0.10436952287655277
directed_tv,264,0.16991299678800956,0.07092114466437899
graph_time_tikhonov,264,0.41348807443787605,0.13604960388903964
gsmooth,264,0.16443601261588303,0.07588031923017358
gsp,264,0.17981593193973822,0.08451280148415216
heat_diffusion_temporal,264,0.41492341850387593,0.5960146090595035
idw,264,0.1650504431443585,0.07680220036591832
linear,264,0.19221758685778842,0.08815259825935433
mean,264,0.16135100473955075,0.07506031355547323
nearest,264,0.20928898313599265,0.09710827198759538
puy,264,0.4193140483763524,0.15399881572758267
rbfi_mq,264,0.22124314825296423,0.10260250839426205
rbfi_tps,264,0.2114980636269223,0.09926868688380895
sobolev,264,0.5369550751205984,0.1157898763361657
spherical_spline,264,0.24150352522287383,0.12644605766582265
spline_surface,264,0.2808089728344531,0.11297588547124185
temporal_laplacian,264,0.4591007559242463,0.12001031631986704
tikhonov,264,0.3013727471542926,0.16153686547052645
trss,264,0.17334889037735116,0.07938559862803314
tv,264,0.16279457654025442,0.07506910668550282
wavelet_temporal,264,0.1794326781031693,0.07142462546515926
