dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file,dtw
synthetic_alpha,linear,instant,knn__k3,0.1,0.0634270409346891,0.244209901265437,-0.0777226940065491,synthetic_alpha__0.1_0,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,nearest,instant,knn__k3,0.1,0.0642770299551405,0.2523142036825606,-0.2761905701468088,synthetic_alpha__0.1_1,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,mean,instant,knn__k3,0.1,0.0589478976695532,0.2085273501920232,0.9476396031020364,synthetic_alpha__0.1_2,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,idw,instant,knn__k3,0.1,0.0625841043918718,0.2198587343426586,0.5658803059686505,synthetic_alpha__0.1_3,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spherical_spline,instant,knn__k3,0.1,0.1109596651986618,0.4071882526204173,-4.5856010357981205,synthetic_alpha__0.1_4,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_tps,instant,knn__k3,0.1,0.088427217921455,0.3314997645390123,-2.570316269427729,synthetic_alpha__0.1_5,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_mq,instant,knn__k3,0.1,0.0895496117788872,0.3334451921211877,-2.776695396371658,synthetic_alpha__0.1_6,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spline_surface,instant,knn__k3,0.1,0.363683314967057,1.7420712241529503,-12.999275934669356,synthetic_alpha__0.1_7,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsp,instant,knn__k3,0.1,0.0822079231535946,0.2916704128883218,-1.9283352141086585,synthetic_alpha__0.1_8,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tikhonov,instant,knn__k3,0.1,0.1591433756090172,0.3004579812261948,14.867157932756408,synthetic_alpha__0.1_9,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,bgsrp,instant,knn__k3,0.1,0.4908906755512606,0.595185106484896,2.0073950672896586,synthetic_alpha__0.1_10,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsmooth,instant,knn__k3,0.1,0.0652929243435412,0.2294132438070028,0.134684363878,synthetic_alpha__0.1_11,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,puy,instant,knn__k3,0.1,0.3572444732768113,0.4544403865643254,5.119704106447948,synthetic_alpha__0.1_12,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,sobolev,instant,knn__k3,0.1,0.5397752126969099,0.6104957151261354,1.3605913953827815,synthetic_alpha__0.1_13,it56_3syn_mr10_only_raw.csv,
