graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
gaussian__sigma1,bci_competition_iv_2a_proxy,0.1,directed_tv,3.563090400667801e-07,10,4.4065000949911456e-08,3.31788721555257e-07,3.8394703480138156e-07,tv,3.645554775773037e-07,10,2.575618405578256e-08,8.246437510523622e-09,0.4273553138978077,1.0,False,0.2199999999999999
gaussian__sigma1,bci_competition_iv_2a_proxy,0.3,directed_tv,4.889472568011536e-07,10,5.23412764978857e-08,4.572566630156319e-07,5.189283965280409e-07,tv,4.906117596035603e-07,10,3.866419732093263e-08,1.6645028024067007e-09,0.9698499769931556,1.0,False,-0.02
knn__k3,bci_competition_iv_2a_proxy,0.1,directed_tv,3.63583023747273e-07,13,5.1635148281324265e-08,3.383959774591207e-07,3.9339899429436964e-07,trss,3.636245128425187e-07,13,4.7727488334926004e-08,4.148909524567247e-11,0.9591007702858604,1.0,False,0.0177514792899408
knn__k3,mne_sample_proxy,0.1,directed_tv,1.2268993918150853e-07,4,6.3022013587846875e-09,1.1765708425852122e-07,1.277303256709729e-07,heat_diffusion_temporal,1.3354704124313293e-07,4,1.5420841894247042e-08,1.0857102061624402e-08,0.4857142857142857,1.0,False,0.375
knn__k3,mne_sample_proxy,0.2,directed_tv,1.4797358100319365e-07,4,1.530347668330769e-08,1.3515762023809582e-07,1.596518759598557e-07,heat_diffusion_temporal,1.5271498351782318e-07,4,2.2102799728188e-08,4.741402514629536e-09,1.0,1.0,False,0.0
knn__k3,mne_sample_proxy,0.4,directed_tv,2.007882049976141e-07,5,3.670429831272797e-08,1.7432362496247153e-07,2.3285788281726294e-07,heat_diffusion_temporal,2.1327586630008985e-07,5,2.6515076925866152e-08,1.2487661302475744e-08,0.4206349206349206,1.0,False,0.36
gaussian__sigma1,synthetic_alpha,0.3,directed_tv,0.1994671073568642,18,2.856025168737767e-17,0.1994671073568642,0.1994671073568642,heat_diffusion_temporal,0.2076559769100092,18,0.0,0.0081888695531449,3.683348423440707e-09,9.613539385180246e-07,True,1.0
kalofolias,synthetic_alpha,0.3,directed_tv,0.2004891087783412,18,0.0,0.2004891087783412,0.2004891087783412,mean,0.2125037819008306,18,0.0,0.0120146731224894,3.683348423440707e-09,9.503038932477024e-07,True,1.0
knn__k5,synthetic_alpha,0.3,directed_tv,0.2028538791238082,19,2.8516143164241187e-17,0.2028538791238082,0.2028538791238082,heat_diffusion_temporal,0.2091375515491966,19,0.0,0.0062836724253883,1.3120632979510227e-09,3.529450271488252e-07,True,1.0
knng__k4_sigma1,synthetic_alpha,0.3,directed_tv,0.2008868795633493,17,0.0,0.2008868795633493,0.2008868795633493,heat_diffusion_temporal,0.2071682000862726,17,0.0,0.0062813205229232,1.036256682624278e-08,2.362665236383353e-06,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_alpha,0.3,directed_tv,0.2004054421418921,17,0.0,0.2004054421418921,0.2004054421418921,wavelet_temporal,0.2087747138008539,17,0.0,0.0083692716589618,1.036256682624278e-08,2.300489835425897e-06,True,1.0
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_beta,0.4,directed_tv,0.2555062283071105,15,0.0,0.2555062283071105,0.2555062283071105,trss,0.2627711750105462,15,5.745950043620392e-17,0.0072649467034357,8.265685662204697e-08,1.603543018467711e-05,True,1.0
gaussian__sigma1,synthetic_beta,0.3,directed_tv,0.2023526997048401,17,0.0,0.2023526997048401,0.2023526997048401,heat_diffusion_temporal,0.2033669952909275,17,0.0,0.0010142955860873,1.036256682624278e-08,2.414478070514568e-06,True,1.0
gaussian__sigma1,synthetic_beta,0.4,directed_tv,0.2698957683430505,17,0.0,0.2698957683430505,0.2698957683430505,heat_diffusion_temporal,0.2769036366798497,17,0.0,0.0070078683367991,1.036256682624278e-08,2.404115503688325e-06,True,1.0
kalofolias,synthetic_beta,0.3,directed_tv,0.2024079368112397,18,0.0,0.2024079368112397,0.2024079368112397,mean,0.2038587458276235,18,0.0,0.0014508090163838,3.683348423440707e-09,9.392538479773804e-07,True,1.0
kalofolias,synthetic_beta,0.4,directed_tv,0.2719970591297853,18,0.0,0.2719970591297853,0.2719970591297853,idw,0.2811073987258139,18,0.0,0.0091103395960286,3.683348423440707e-09,9.355704995539396e-07,True,1.0
knn__k5,synthetic_beta,0.4,directed_tv,0.2697176072094371,18,5.712050337475532e-17,0.2697176072094371,0.2697176072094371,heat_diffusion_temporal,0.2728527863804488,18,5.712050337475532e-17,0.0031351791710116,3.683348423440707e-09,9.17153757436736e-07,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_beta,0.4,directed_tv,0.2747914146846357,16,0.0,0.2747914146846357,0.2747914146846357,heat_diffusion_temporal,0.2755665143118055,16,0.0,0.0007750996271698,2.9225329082331762e-08,5.903516474631016e-06,True,1.0
