combination,best_method,best_mean_mae,best_n
# Placeholder CSV created to satisfy documentation links. Replace with real data as needed.
graph,dataset,missing_ratio,best_method,best_mean_mae,best_median_mae,best_count,n_methods,second_mean_mae,delta_to_second,second_method
aew,mne_sample,0.1,gsmooth,2.8076627950797427e-06,2.837849581334684e-06,60,12,2.8245522429751617e-06,1.688944789541901e-08,gsp
aew,mne_sample,0.2,tv,4.759809884757866e-06,4.257291502008455e-06,60,12,4.86015270146842e-06,1.0034281671055392e-07,gsmooth
aew,mne_sample,0.3,tv,6.396025221433882e-06,5.867414929888625e-06,60,12,6.491488016915209e-06,9.546279548132733e-08,gsmooth
aew,mne_sample,0.4,tv,8.718770365549108e-06,9.041466762282224e-06,60,12,8.810308460867155e-06,9.153809531804701e-08,gsmooth
aew,physionet_eegmmidb,0.4,trss,4.997833767062484e-06,4.984770557518646e-06,4,22,5.691620032471166e-06,6.93786265408682e-07,rbfi_tps
aew,synthetic,0.1,spherical_spline,0.0511001113806807,0.0482787587066522,20,12,0.0519682184728606,0.0008681070921799025,gsmooth
aew,synthetic,0.2,spherical_spline,0.1035852892347199,0.1050430986566703,20,12,0.1047172523803323,0.0011319631456124107,gsmooth
aew,synthetic,0.3,spherical_spline,0.1823133437159367,0.1816939824997896,20,12,0.1847777718797872,0.0024644281638505072,gsmooth
aew,synthetic,0.4,spherical_spline,0.2331404775257789,0.2307824215776189,20,12,0.2335303218930827,0.0003898443673037988,gsmooth
aew__k4_sigma_corr0_5_sigma_dist1,physionet_eegmmidb,0.1,trss,1.6890409224632534e-06,1.6890409224632534e-06,6,21,1.690809775232402e-06,1.7688527691487045e-09,gsp
aew__k4_sigma_corr0_5_sigma_dist1,physionet_eegmmidb,0.2,linear,3.3157670454545457e-06,3.3157670454545457e-06,6,21,3.976409835055152e-06,6.606427896006063e-07,trss
aew__k4_sigma_corr0_5_sigma_dist1,physionet_eegmmidb,0.3,trss,8.252801322438139e-06,8.252801322438139e-06,6,21,8.281169585246762e-06,2.8368262808623263e-08,gsp
aew__k4_sigma_corr0_5_sigma_dist1,physionet_eegmmidb,0.4,trss,1.2274095026911852e-05,1.2274095026911852e-05,7,21,1.2361070948037847e-05,8.697592112599486e-08,gsmooth
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_alpha,0.1,mean,0.0589478976695532,0.0589478976695532,16,21,0.0625841043918718,0.0036362067223186037,idw
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_alpha,0.2,mean,0.1208467294395676,0.1208467294395676,16,21,0.1288164554657387,0.00796972602617109,gsmooth
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_alpha,0.3,wavelet_temporal,0.2005137115322973,0.2005137115322973,16,21,0.2009181457305617,0.0004044341982643862,heat_diffusion_temporal
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_alpha,0.4,mean,0.2610509096263227,0.2610509096263227,15,21,0.2694260729403783,0.008375163314055578,wavelet_temporal
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_beta,0.1,tv,0.0645346647704065,0.0645346647704065,15,21,0.0657506991012469,0.0012160343308404015,trss
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_beta,0.2,tv,0.1156136258256726,0.1156136258256727,15,21,0.1195827148985518,0.003969089072879198,trss
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_beta,0.3,trss,0.1888467320048998,0.1888467320048998,15,21,0.1932232824435812,0.004376550438681404,gsp
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_beta,0.4,directed_tv,0.2555062283071105,0.2555062283071105,15,21,0.2627711750105462,0.007264946703435693,trss
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_broad,0.1,trss,0.0800887727837021,0.0800887727837021,15,21,0.0806507255674608,0.0005619527837586874,heat_diffusion_temporal
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_broad,0.2,heat_diffusion_temporal,0.1195257423433965,0.1195257423433965,15,21,0.120258014065597,0.0007322717222005004,trss
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_broad,0.3,heat_diffusion_temporal,0.1970722472652671,0.1970722472652671,16,21,0.1998397930882504,0.0027675458229833028,trss
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_broad,0.4,trss,0.2361349835693998,0.2361349835693998,16,21,0.2366192719442399,0.0004842883748401028,heat_diffusion_temporal
gaussian,bci_competition_proxy,0.1,trss,6.995450566701876e-06,7.09577641162156e-06,19,7,7.061588775960006e-06,6.613820925813e-08,tv
gaussian,bci_competition_proxy,0.2,trss,7.46480026043547e-06,7.383053161909604e-06,30,7,7.544791997691665e-06,7.99917372561945e-08,tv
gaussian,bci_competition_proxy,0.3,trss,7.778292020418196e-06,7.678094399071898e-06,33,7,7.8312626091584e-06,5.297058874020324e-08,tv
gaussian,bci_competition_proxy,0.4,trss,7.835031811653784e-06,7.853832909629297e-06,13,7,8.099007617805441e-06,2.6397580615165706e-07,tv
gaussian,mne_sample,0.1,tv,2.83276851070635e-06,2.8277395154314938e-06,45,12,2.832914405970828e-06,1.4589526447835797e-10,gsmooth
gaussian,mne_sample,0.2,tv,4.744208024543774e-06,4.233517511767042e-06,45,12,4.744618341448674e-06,4.1031690490030246e-10,gsmooth
gaussian,mne_sample,0.3,tv,6.38419721112842e-06,5.8534972975593295e-06,45,12,6.384567524796147e-06,3.703136677264682e-10,gsmooth
gaussian,mne_sample,0.4,tv,8.714721785153639e-06,9.033578614056468e-06,45,12,8.71500479114567e-06,2.830059920321714e-10,gsmooth
gaussian,mne_sample_proxy,0.1,trss,1.7451637600493643e-06,1.7395311495604214e-06,28,7,1.779886941181069e-06,3.472318113170471e-08,tv
