dataset,graph,missing_ratio,best_method,best_mean,best_n,second_method,second_mean,second_n
bci_competition_iv_2a_proxy,gaussian__sigma1,0.1,directed_tv,3.5630904006678003e-07,10,tv,3.6455547757730365e-07,10
bci_competition_iv_2a_proxy,gaussian__sigma1,0.2,trss,4.180709465331646e-07,10,directed_tv,4.200382305772833e-07,10
bci_competition_iv_2a_proxy,gaussian__sigma1,0.3,directed_tv,4.889472568011536e-07,10,tv,4.906117596035603e-07,10
bci_competition_iv_2a_proxy,gaussian__sigma1,0.4,trss,5.404791035207778e-07,10,directed_tv,5.431883017624513e-07,10
bci_competition_iv_2a_proxy,kalofolias,0.1,heat_diffusion_temporal,3.069541893373624e-07,1,trss,3.254412053207441e-07,1
bci_competition_iv_2a_proxy,kalofolias,0.2,trss,3.414203342271202e-07,1,tv,3.525299377087686e-07,1
bci_competition_iv_2a_proxy,kalofolias,0.3,heat_diffusion_temporal,4.125249381220975e-07,1,trss,4.179892701376381e-07,1
bci_competition_iv_2a_proxy,kalofolias,0.4,heat_diffusion_temporal,5.21382835026876e-07,1,directed_tv,5.344575612254668e-07,1
bci_competition_iv_2a_proxy,knn__k3,0.1,directed_tv,3.6358302374727304e-07,13,trss,3.636245128425187e-07,13
bci_competition_iv_2a_proxy,knn__k3,0.2,trss,4.2487997901919457e-07,13,temporal_laplacian,4.26372556764383e-07,13
bci_competition_iv_2a_proxy,knn__k3,0.3,trss,4.764813902153285e-07,14,temporal_laplacian,4.852191042854709e-07,14
bci_competition_iv_2a_proxy,knn__k3,0.4,tv,5.239939002440042e-07,14,directed_tv,5.371672482702643e-07,14
bci_competition_proxy,gaussian,0.1,trss,6.995450566701874e-06,19,tv,7.061588775960006e-06,19
bci_competition_proxy,gaussian,0.2,trss,7.464800260435471e-06,30,tv,7.544791997691666e-06,30
bci_competition_proxy,gaussian,0.3,trss,7.778292020418195e-06,33,tv,7.831262609158398e-06,33
bci_competition_proxy,gaussian,0.4,trss,7.835031811653786e-06,13,tv,8.099007617805441e-06,13
bci_competition_proxy,gaussian,1ch,mean,6.596077386568797e-06,1,tv,6.5963629257034144e-06,1
bci_competition_proxy,gaussian,2ch,tikhonov,6.579450136749587e-06,1,tv,6.591957823812002e-06,1
