combo,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|physionet_eegmmidb|0.1,5,2.224691850921116e-05,0.0,2.224691850921116e-05,2.9278947472444736e-05,,5.9554807184416765
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|physionet_eegmmidb|0.2,5,2.376342997280964e-05,0.0,2.376342997280964e-05,3.310435388036448e-05,,5.477551539252932
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|physionet_eegmmidb|0.3,5,2.426715318054114e-05,0.0,2.426715318054114e-05,3.60433423380701e-05,,6.106450424666575
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|physionet_eegmmidb|0.4,6,2.5699728261656992e-05,0.0,2.5699728261656992e-05,3.567103795340125e-05,,5.080972506388607
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_alpha|0.1,15,0.502190693386631,0.0,0.502190693386631,0.611157790037775,,1.840124135215682
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_alpha|0.2,15,0.529163255114571,0.0,0.529163255114571,0.6808743533575007,,1.9139831254471216
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_alpha|0.3,15,0.5520120841813762,0.0,0.5520120841813762,0.7327945229881689,,1.720533902310192
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_alpha|0.4,14,0.6145757969633076,0.0,0.6145757969633076,0.8858381689822539,,2.235659765042526
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_beta|0.1,14,0.4422342860698885,0.0,0.4422342860698885,0.562365435284094,,3.022613817182421
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_beta|0.2,14,0.4591740734432169,0.0,0.4591740734432169,0.5959335445657096,,2.910772555982636
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_beta|0.3,14,0.4780501908653378,0.0,0.4780501908653378,0.6370426035263551,,2.8618775649001256
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_beta|0.4,14,0.5277628916086661,0.0,0.5277628916086661,0.699188273615343,,1.9566515412705023
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_broad|0.1,14,0.44082819556626723,0.0,0.4408281955662672,0.5813682988494924,,2.939673944993509
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_broad|0.2,14,0.4478315472698914,0.0,0.4478315472698914,0.5771598074486406,,2.6769834046068057
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_broad|0.3,15,0.483462606894211,0.0,0.483462606894211,0.6809232875217268,,3.2784845420840227
bgsrp|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_broad|0.4,15,0.515939835790965,0.0,0.515939835790965,0.6770322435690908,,1.8299502394183167
bgsrp|aew|mne_sample|0.1,60,1.7873701488788884e-05,5.358884274338949e-07,1.771304385778968e-05,2.541413724676715e-05,0.000124762437706375,8.769900410923112
bgsrp|aew|mne_sample|0.2,60,1.8678724275651714e-05,9.337984266267755e-07,1.8710243501352154e-05,2.646094283312071e-05,0.00013211002040147666,8.577765809831897
bgsrp|aew|mne_sample|0.3,60,1.8711634791336172e-05,9.449277193939064e-07,1.8572076756133483e-05,2.6549584444737675e-05,0.00013226695945852833,8.109931317378651
bgsrp|aew|mne_sample|0.4,60,1.834672094345857e-05,7.804357156692101e-07,1.820483810987047e-05,2.6231466317685024e-05,0.00012907244032503833,7.865286612993738
bgsrp|aew|physionet_eegmmidb|0.4,4,1.2764525741391697e-05,4.350690339710482e-08,1.2775001981772348e-05,1.704225669540888e-05,0.0001191688585663,11.024696024975384
bgsrp|aew|synthetic|0.1,60,0.47961364830031844,0.034095703440734704,0.49045432159516056,0.5965730979081383,3.3472364571396844,2.1474015156812456
bgsrp|aew|synthetic|0.2,60,0.5070874164883469,0.03603822559022563,0.5143021873696534,0.6613711792808642,3.397907715181174,1.8978046186842972
bgsrp|aew|synthetic|0.3,60,0.60299952070236,0.07438258385146987,0.5973534902306681,0.8522237170792619,3.8632421312962295,1.0219987285004797
bgsrp|aew|synthetic|0.4,60,0.6001133263079487,0.07278510528025518,0.595193959187821,0.8427954323774942,3.699437458467841,1.0250129656685492
bgsrp|gaussian__sigma1|bci_competition_iv_2a_proxy|0.1,10,5.308327983603254e-07,4.420871804923512e-08,5.410717044755997e-07,1.808853195483585e-06,,11.79528256928706
