method,graph,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
bgsrp,aew,484,0.27147376531597384,0.2796369135361469,2.1216521641467687e-05,0.3660829610240141,1.7737623865950485,4.977282857189297
bgsrp,aew__k4_sigma_corr0_5_sigma_dist1,194,0.44581665186291886,0.16255341879394508,0.483462606894211,0.589108169965807,,2.7700445563555
bgsrp,gaussian,364,0.25641625186880934,0.2598838625319414,2.0864407982486264e-05,0.30677428300394977,1.9274284754611377,3.369492059510646
bgsrp,gaussian__sigma1,348,0.29662580556156337,0.24891397572469803,0.4641908798654723,0.35316808229821145,,3.624353345376152
bgsrp,kalofolias,799,0.32399662055638945,0.2871257230269951,0.5464700631164089,0.3759218819864138,2.095200690549015,2.7260217404945104
bgsrp,knn,248,0.2518595942314054,0.26138012721147047,2.032403849381102e-05,0.3105304444958004,1.6981091819714138,5.376900741542033
bgsrp,knn__k3,612,0.16995156346840012,0.233106753605388,2.9125960938535307e-05,0.21604362916306175,,4.789850589006344
bgsrp,knn__k5,230,0.45007104914605717,0.14619136187842874,0.4870950780025365,0.5522775748922901,,2.3701258146352155
bgsrp,knng,484,0.25754826032215006,0.26074821784332286,2.2304057499951485e-05,0.31914379253740455,1.7227390494949764,5.258729750737735
bgsrp,knng__k4_sigma1,210,0.4394405298915005,0.15067953939202194,0.4765760037781097,0.5569879090529826,,2.644964324757063
bgsrp,nnk,244,0.28192782424809776,0.2932916433221475,2.6113302858256877e-05,0.37781996458091643,1.8367036951335713,5.063649067900653
bgsrp,nnk__k4,235,0.4323211655045552,0.1577263351897184,0.4798334833687857,0.5765743754410914,,3.0485684422167827
bgsrp,vknng,484,0.2581037849425802,0.26126726408949774,2.2101641824874095e-05,0.3182291736578001,1.7402084584765538,5.129248914226248
bgsrp,vknng__alpha1_k4_k_max8_k_min2,210,0.44074490379018144,0.15067304267801612,0.4771043610251758,0.5531865545211184,,2.569096205316794
directed_tv,aew,4,1.5253866545905216e-05,2.0840784924294917e-08,1.5262688746274657e-05,3.08052949106755e-05,0.000167870267168975,4.428778780111194
directed_tv,aew__k4_sigma_corr0_5_sigma_dist1,210,0.16640726159336366,0.08239625019192691,0.1933194957248536,0.4029935535035282,,-1.61599825363896
directed_tv,gaussian,4,1.5253353869265285e-05,2.0869181070056306e-08,1.5262386064062145e-05,3.080834447077661e-05,0.000167889785695625,4.428824842210899
directed_tv,gaussian__sigma1,364,0.09882863086070366,0.09801371806032165,0.0763184405797508,0.21236810742480242,,1.6414592443535412
directed_tv,kalofolias,335,0.10859396849175516,0.09712259450563777,0.0814527029580689,0.23226861429710755,0.00016790528436275,0.5344697887932115
directed_tv,knn,8,1.5252707773745335e-05,1.9322290583263614e-08,1.5261312234199726e-05,3.080149360245264e-05,0.00016785538148315,4.4297268902279665
directed_tv,knn__k3,674,0.07966480443400098,0.28845915548552875,1.2799320877202024e-05,0.15913795735060557,1.3767248327936439,1.6671890601612607
directed_tv,knn__k5,246,0.15208548907353472,0.08365333702870828,0.1557796667114349,0.3302078970392998,,-0.2696911308113043
directed_tv,knng,4,1.5253699133476517e-05,2.0847235860850887e-08,1.526256145130227e-05,3.080592303478764e-05,0.0001678754929322,4.4288481570628715
directed_tv,knng__k4_sigma1,226,0.1539313977286069,0.0843861984441384,0.177181729780398,0.34269464043161885,,-0.5732208997773164
directed_tv,nnk,4,1.5255864063614272e-05,2.066341564542049e-08,1.526385566896504e-05,3.0795261478168455e-05,0.000167810447186275,4.428786781420955
directed_tv,nnk__k4,251,0.16371239239384483,0.08890927425338348,0.196058295241133,0.37777681147400116,,-1.3313937535534983
directed_tv,vknng,4,1.5253603358680739e-05,2.0838560116161196e-08,1.5262451900264026e-05,3.080513583679319e-05,0.00016787140707865,4.428968827925488
directed_tv,vknng__alpha1_k4_k_max8_k_min2,226,0.15254652129761534,0.08420872939455379,0.1712321005966466,0.3372029700806616,,-0.4642861221779528
graph_time_tikhonov,aew,644,0.13296901163623698,0.14242946792199523,1.6467456772037244e-05,0.19604060275800156,1.0092250073082383,10.687244216051994
graph_time_tikhonov,aew__k4_sigma_corr0_5_sigma_dist1,210,0.2202159070216504,0.1002670900650249,0.2253485555285508,0.35704590281952076,,11.215560831145005
graph_time_tikhonov,gaussian,865,0.21207805244104538,0.23871115272615218,1.8503657261623544e-05,0.2550682646496784,1.1847649557827626,17.372577089058968
graph_time_tikhonov,gaussian__sigma1,364,0.28460231178632944,0.23536848618284442,0.4455862765592365,0.3300258520432018,,3.9180540489805384
graph_time_tikhonov,gaussian__sigma1.0,232,63.17793081248799,96.15517874989493,0.1790498950742468,83.68103261268283,399.6300572665028,-inf
graph_time_tikhonov,kalofolias,1119,0.30259882655351794,0.2843930310293131,0.5268713518128342,0.35288900941298884,1.7579645253125205,6.7412931195157
graph_time_tikhonov,knn,328,0.20869069997973308,0.2163708297619607,1.6797828646757374e-05,0.2544270561859012,1.7157933344657468,7.086024139554131
graph_time_tikhonov,knn__k3,2027,12.706761363733223,46.33392941693299,2.300863620108272e-05,16.934380950323433,135.34638118442902,-inf
graph_time_tikhonov,knn__k5,286,7.111092713639149,35.46937518395609,0.4264570105541619,9.327202900077866,304.7081658069897,-inf
