method,count,mean,std
spline_temporal,32,1.1654829380302845e-05,2.7209503884245993e-06
gsmooth,5274,0.09259058115502374,0.09648843752920808
idw,5406,0.09545196817289028,0.0991223097162261
gsp,3173,0.11583293477015401,0.10817258236108003
directed_tv,2560,0.12060995383095234,0.17043577359727477
linear,3512,0.120845823006665,0.11800635226800493
wavelet_temporal,2550,0.12231655323920902,0.10331373770962676
spherical_spline,3306,0.13465792977927354,0.14202871587133703
rbfi_tps,3306,0.14401542249789828,0.14919248365159427
rbfi_mq,3306,0.1607660111084691,0.1705946737790419
spline_surface,2386,0.19214229930478935,0.16187494905722272
heat_diffusion_temporal,2550,0.22548579307480227,0.4444797100297236
puy,2386,0.2821058390219842,0.2253037173056903
bgsrp,5146,0.30083649440761656,0.2599250027348665
sobolev,2386,0.36782188680392786,0.26434507706307225
trss,8596,1.212366293844958,7.19219807393979
tv,7605,1.5128549313899038,8.518741762887402
mean,4691,2.395236220537958,11.109602680103492
nearest,4462,3.4542397363572,16.52377336768253
tikhonov,7511,3.8202509263942193,21.39470553673435
graph_time_tikhonov,8390,5.223320828344108,30.65481654130657
temporal_laplacian,4743,11.279959441454485,49.97276811055363
