dataset,graph,method,missing_ratio,n,mean,median,std,ci95_lo,ci95_hi
bci_iv2a_real_s1,gaussian__sigma0.6,heat_diffusion_temporal,0.2,9,2.6020311477047105e-06,2.5624468649759115e-06,6.346814352931618e-08,2.564575744699626e-06,2.6439144160604968e-06
bci_iv2a_real_s1,gaussian__sigma0.6,heat_diffusion_temporal,0.3,9,4.697654353907712e-06,4.726985635340421e-06,1.0441073518963609e-07,4.635338448853467e-06,4.7613086170125e-06
bci_iv2a_real_s1,gaussian__sigma0.6,trss,0.2,4,1.6878337537233425e-06,1.6785277441974103e-06,4.1213168889636336e-08,1.6567690934042507e-06,1.721626000794328e-06
bci_iv2a_real_s1,gaussian__sigma0.6,trss,0.3,4,3.3006902989307916e-06,3.318036268311815e-06,8.925304890482401e-08,3.2169384606600795e-06,3.36709616782048e-06
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.1,12,1.6979097452848186e-06,1.6917053267134083e-06,5.300248835650206e-08,1.6698152403021467e-06,1.7277636546975146e-06
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.2,12,3.2208691799601157e-06,3.214988930076326e-06,8.826160783475555e-08,3.172626842805416e-06,3.2696468324799975e-06
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.3,12,5.893127847063105e-06,5.881118688989284e-06,6.813026583075497e-08,5.8562711048885235e-06,5.9288695236748555e-06
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.4,6,7.5839284626011796e-06,7.583615029927904e-06,6.500276907658301e-08,7.537969838302823e-06,7.630621406727622e-06
bci_iv2a_real_s1,gaussian__sigma1.0,heat_diffusion_temporal,0.1,11,1.368446769447552e-06,1.3501685907869603e-06,5.47039538628161e-08,1.3397720100817058e-06,1.4007536322961066e-06
bci_iv2a_real_s1,gaussian__sigma1.0,heat_diffusion_temporal,0.2,20,2.5845970239911273e-06,2.5624468649759115e-06,8.496163413867605e-08,2.5481395982024134e-06,2.619575973829813e-06
bci_iv2a_real_s1,gaussian__sigma1.0,heat_diffusion_temporal,0.3,15,4.688144848201764e-06,4.726985635340421e-06,1.0114650318880749e-07,4.638481303463615e-06,4.736540458410491e-06
bci_iv2a_real_s1,gaussian__sigma1.0,mean,0.1,11,1.261492800121465e-06,1.2371831951719345e-06,4.801336880364766e-08,1.2347448259674157e-06,1.28891304767493e-06
bci_iv2a_real_s1,gaussian__sigma1.0,mean,0.2,11,2.3910079724860912e-06,2.3885714213053383e-06,9.024917285240836e-08,2.3364040663748073e-06,2.434312358047023e-06
bci_iv2a_real_s1,gaussian__sigma1.0,mean,0.3,6,4.392506343866486e-06,4.3861280703077125e-06,1.1006285688279557e-07,4.3138491561989385e-06,4.475195027644338e-06
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.1,11,8.518313162963133e-07,8.385514767995134e-07,3.535177891858884e-08,8.329073020017722e-07,8.717693827456281e-07
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.2,15,1.6687814226507612e-06,1.6754930442974734e-06,5.8201516868477504e-08,1.6392018592748111e-06,1.6951451276624778e-06
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.3,10,3.274526927618505e-06,3.302289933061732e-06,9.145429991232769e-08,3.220066125432546e-06,3.326948716001788e-06
bci_iv2a_real_s1,gaussian__sigma1.0,tv,0.1,11,1.2614927517143617e-06,1.2371831510705508e-06,4.801336878374879e-08,1.2359542678019536e-06,1.289936469248668e-06
bci_iv2a_real_s1,gaussian__sigma1.0,tv,0.2,11,2.391007870738151e-06,2.3885713236248945e-06,9.024917202444944e-08,2.336918411817746e-06,2.4364698135972183e-06
bci_iv2a_real_s1,gaussian__sigma1.0,tv,0.3,6,4.392506189842366e-06,4.386127917270633e-06,1.100628546771792e-07,4.314098334994778e-06,4.475590593705897e-06
