combo_key,n_new,mean_new,n_old,mean_old,delta_mean,mw_p,r_rb
bci_iv2a_real_s1|gaussian__sigma1.0|mean|mr=0.2,11,2.3910079724860912e-06,2,2.4689467748006183e-06,-7.793880231452712e-08,0.19262849346383948,0.6363636363636364
bci_iv2a_real_s1|gaussian__sigma1.0|trss|mr=0.2,15,1.6687814226507612e-06,2,1.7136686637113388e-06,-4.488724106057765e-08,0.19696746538712417,0.6
bci_iv2a_real_s1|gaussian__sigma1.0|tv|mr=0.2,11,2.391007870738151e-06,2,2.4689466721536222e-06,-7.79388014154711e-08,0.19262849346383948,0.6363636363636364
bci_iv2a_real_s1|knn__k3|mean|mr=0.2,33,2.405128979923749e-06,2,2.4689467748006183e-06,-6.381779487686936e-08,0.18304464864162473,0.5757575757575757
bci_iv2a_real_s1|knn__k3|tikhonov|mr=0.2,14,5.399088604248266e-06,2,5.444766964952991e-06,-4.567836070472517e-08,0.17394467200515518,0.6428571428571428
bci_iv2a_real_s1|knn__k3|trss|mr=0.2,67,1.5007710740583726e-06,2,1.7013233618170159e-06,-2.0055228775864322e-07,0.2283489399457308,0.5074626865671642
bci_iv2a_real_s1|knn__k3|trss|mr=0.4,6,4.227884996452509e-06,2,4.253041601282743e-06,-2.5156604830234495e-08,0.6128139489903802,0.33333333333333337
bci_iv2a_real_s1|knn__k3|tv|mr=0.2,49,2.411966311016063e-06,2,2.4687519160674853e-06,-5.6785605051422324e-08,0.17937024912849886,0.5714285714285714
bci_iv2a_real_s2|gaussian__sigma1.0|mean|mr=0.2,6,6.860613293117947e-07,2,7.094821929931641e-07,-2.342086368136933e-08,0.23767876802242727,0.6666666666666667
bci_iv2a_real_s2|gaussian__sigma1.0|trss|mr=0.2,10,5.058432147923511e-07,2,5.189835395589195e-07,-1.3140324766568399e-08,0.22905190815659238,0.6
bci_iv2a_real_s2|gaussian__sigma1.0|tv|mr=0.2,6,6.86061328883523e-07,2,7.094821925844775e-07,-2.3420863700954533e-08,0.23767876802242727,0.6666666666666667
bci_iv2a_real_s2|knn__k3|mean|mr=0.2,18,6.908741703739873e-07,2,7.094821929931641e-07,-1.8608022619176747e-08,0.22154499723539534,0.5555555555555556
bci_iv2a_real_s2|knn__k3|tikhonov|mr=0.2,4,1.6522512057592593e-06,2,1.666003414590662e-06,-1.3752208831402691e-08,0.474549143449401,0.5
bci_iv2a_real_s2|knn__k3|trss|mr=0.2,36,5.897645830784356e-07,2,6.058006854639058e-07,-1.6036102385470214e-08,0.19558527165403794,0.5555555555555556
bci_iv2a_real_s2|knn__k3|trss|mr=0.4,6,1.406226930330228e-06,2,1.3944221101425227e-06,1.1804820187705202e-08,0.6128139489903802,-0.33333333333333326
bci_iv2a_real_s2|knn__k3|tv|mr=0.2,18,6.908811032373926e-07,2,7.094915627476626e-07,-1.8610459510269962e-08,0.22154499723539534,0.5555555555555556
iv100hz_mat|gaussian__sigma1.0|mean|mr=0.2,6,41.79147786458333,2,41.691334635416666,0.10014322916666174,0.6128139489903802,-0.33333333333333326
iv100hz_mat|gaussian__sigma1.0|trss|mr=0.2,10,29.882325655164873,2,29.830847753252314,0.051477901912559076,0.742883200483436,-0.19999999999999996
iv100hz_mat|gaussian__sigma1.0|tv|mr=0.2,6,26.764623188259776,2,25.45905405447595,1.3055691337838269,0.6128139489903802,-0.33333333333333326
iv100hz_mat|knn__k3|mean|mr=0.2,24,41.59725531684028,2,41.691334635416666,-0.09407931857638374,0.7336783701100151,-0.16666666666666674
iv100hz_mat|knn__k3|tikhonov|mr=0.2,10,100.71209690174098,2,100.72636052594258,-0.014263624201603875,0.7464041486857516,0.19999999999999996
iv100hz_mat|knn__k3|trss|mr=0.2,70,39.052844663948726,2,34.009982258516715,5.042862405432011,0.8772766243191793,-0.0714285714285714
iv100hz_mat|knn__k3|trss|mr=0.4,6,88.24397276966123,2,88.19302543176971,0.05094733789151462,0.8660428900069672,0.16666666666666663
iv100hz_mat|knn__k3|tv|mr=0.2,60,50.025665431969486,2,40.555681513438714,9.469983918530772,0.8263263846879296,-0.10000000000000009
physionet_eegmmidb_real|gaussian__sigma1.0|mean|mr=0.2,11,4.084734848484849e-06,2,4.078294270833333e-06,6.440577651515481e-09,0.616305448421606,0.2727272727272727
physionet_eegmmidb_real|gaussian__sigma1.0|trss|mr=0.2,15,3.0254816540658253e-06,2,3.007181199001688e-06,1.830045506413729e-08,0.8198877532481588,0.1333333333333333
physionet_eegmmidb_real|gaussian__sigma1.0|tv|mr=0.2,11,4.084729903180508e-06,2,4.078289352247832e-06,6.440550932675158e-09,0.616305448421606,0.2727272727272727
physionet_eegmmidb_real|knn__k3|mean|mr=0.2,33,4.077934816919192e-06,2,4.078294270833333e-06,-3.594539141410505e-10,0.5893539256335041,0.24242424242424243
physionet_eegmmidb_real|knn__k3|tikhonov|mr=0.2,14,5.544197150955958e-06,2,5.5406411300553475e-06,3.5560209006107213e-09,1.0,0.0
physionet_eegmmidb_real|knn__k3|trss|mr=0.2,101,2.793846208691762e-06,2,1.962615601665134e-06,8.312306070266277e-07,0.857338854870141,-0.07920792079207928
physionet_eegmmidb_real|knn__k3|trss|mr=0.4,6,5.088313091503878e-06,2,5.130726004563459e-06,-4.241291305958067e-08,0.6128139489903802,0.33333333333333337
physionet_eegmmidb_real|knn__k3|tv|mr=0.2,81,4.763435699411409e-06,2,3.982037261434462e-06,7.813984379769466e-07,0.940693151175599,-0.03703703703703698
