method,count,mean,std,median
spline_temporal,32,1.1654829380302845e-05,2.7209503884245993e-06,1.1134885641167803e-05
gsmooth,5274,0.09259058115502374,0.09648843752920808,0.0652929243435412
idw,5406,0.09545196817289028,0.0991223097162261,0.0660994520829936
gsp,3173,0.11583293477015401,0.10817258236108003,0.088259445073733
directed_tv,2560,0.12060995383095234,0.17043577359727477,0.1181534984305608
linear,3512,0.120845823006665,0.11800635226800493,0.0942564113430665
wavelet_temporal,2550,0.12231655323920902,0.10331373770962676,0.123798954736391
spherical_spline,3306,0.13465792977927354,0.14202871587133703,0.1021720677531056
rbfi_tps,3306,0.14401542249789828,0.14919248365159427,0.0950698397827097
rbfi_mq,3306,0.1607660111084691,0.1705946737790419,0.1076814030559054
spline_surface,2386,0.19214229930478935,0.16187494905722272,0.2116542553159593
heat_diffusion_temporal,2550,0.22548579307480227,0.4444797100297236,0.1197785135886225
puy,2386,0.2821058390219842,0.2253037173056903,0.3567271674551002
bgsrp,5146,0.30083649440761656,0.2599250027348665,0.4633219988920629
sobolev,2386,0.36782188680392786,0.26434507706307225,0.5353753461834097
trss,8596,1.212366293844958,7.19219807393979,0.0613347896024915
tv,7605,1.5128549313899038,8.518741762887402,0.0562768492494662
mean,4691,2.395236220537958,11.109602680103492,0.0658619827367564
nearest,4462,3.4542397363572,16.52377336768253,0.0859116155366704
tikhonov,7511,3.8202509263942193,21.39470553673435,0.1578714303141752
graph_time_tikhonov,8390,5.223320828344108,30.65481654130657,0.2207713678310353
temporal_laplacian,4743,11.279959441454485,49.97276811055363,0.3682610083188228
