dataset,graph,method,missing_ratio,n,mean,median,std
bci_competition_iv_2a_proxy,gaussian__sigma1,bgsrp,0.1,10,5.308327983603254e-07,5.410717044755997e-07,4.42087180492351e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,bgsrp,0.2,10,6.524632472361485e-07,6.583151839897233e-07,8.141356778000324e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,bgsrp,0.3,10,7.096916080481664e-07,7.040586784908372e-07,9.508742923327474e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,bgsrp,0.4,10,8.144416387826708e-07,8.100477222274702e-07,1.0282673926910077e-07
bci_competition_iv_2a_proxy,gaussian__sigma1,directed_tv,0.1,10,3.5630904006678003e-07,3.5054607542325826e-07,4.4065000949911456e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,directed_tv,0.2,10,4.200382305772833e-07,4.186548761295501e-07,4.58789736762842e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,directed_tv,0.3,10,4.889472568011536e-07,5.001288585874889e-07,5.23412764978857e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,directed_tv,0.4,10,5.431883017624513e-07,5.497749649575046e-07,8.716587575038564e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,graph_time_tikhonov,0.1,10,3.762362180189465e-07,3.8448080288868194e-07,4.945848460494669e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,graph_time_tikhonov,0.2,10,4.6777613335497613e-07,4.5611220954384597e-07,6.600051976750608e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,graph_time_tikhonov,0.3,10,5.255637622260083e-07,5.29679982355458e-07,7.534747197128422e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,graph_time_tikhonov,0.4,10,6.003314923036861e-07,5.969032039803687e-07,7.98272052681758e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,gsmooth,0.1,10,5.193037956201687e-07,5.104993975239498e-07,5.224371909060926e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,gsmooth,0.2,10,5.991928802399929e-07,5.935868575280726e-07,7.955637867018868e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,gsmooth,0.3,10,7.127505063272694e-07,6.767435590594138e-07,1.1963319223247211e-07
bci_competition_iv_2a_proxy,gaussian__sigma1,gsmooth,0.4,10,7.835157153778075e-07,8.039127213330901e-07,1.1928571092068122e-07
