best_method,aew,aew__k4_sigma_corr0_5_sigma_dist1,gaussian,gaussian__sigma1,gaussian__sigma1.0,kalofolias,knn,knn__k3,knn__k5,knng,knng__k4_sigma1,nnk,nnk__k4,vknng,vknng__alpha1_k4_k_max8_k_min2
directed_tv,0,1,0,8,0,7,0,5,5,0,2,0,0,0,3
graph_time_tikhonov,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gsmooth,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
gsp,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
heat_diffusion_temporal,0,2,0,2,0,6,0,8,1,0,6,0,6,0,3
idw,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
linear,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
mean,0,3,0,2,1,4,0,5,5,0,2,0,3,0,3
nearest,0,0,0,1,0,0,0,3,1,0,1,0,1,0,1
rbfi_tps,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
spherical_spline,4,0,4,0,0,4,0,0,0,4,0,4,0,4,0
temporal_laplacian,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
trss,1,6,16,4,16,16,4,34,6,1,0,1,1,1,0
tv,3,2,7,2,7,2,3,5,5,3,2,4,2,4,3
wavelet_temporal,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
