graph,bgsrp,directed_tv,graph_time_tikhonov,gsmooth,gsp,heat_diffusion_temporal,idw,linear,mean,nearest,puy,rbfi_mq,rbfi_tps,sobolev,spherical_spline,spline_surface,spline_temporal,temporal_laplacian,tikhonov,trss,tv,wavelet_temporal
aew,0.27147376531597384,1.5253866545905216e-05,0.13296901163623698,0.07128310357381012,0.07445495948884882,1.4162460097647208e-05,0.07851060189239896,0.08961236129672717,9.263663194444444e-06,1.046318359375e-05,1.416194841124364e-05,0.1760763265930735,0.13849098255687056,3.027926832004744e-05,0.06953405819993747,6.143188754502473e-06,1.0490312348675234e-05,3.205999454000681e-05,0.12919105122273172,0.0748008011499219,0.07308581739963271,1.5171841471840601e-05
aew__k4_sigma_corr0_5_sigma_dist1,0.44581665186291886,0.16640726159336366,0.2202159070216504,0.14611216051957468,0.15718501146845262,0.1446792706983291,0.14941871312702887,0.17291776561675637,0.1461608648781884,0.1879773129567272,0.18240340911802594,0.20420023307207172,0.1933075060399584,0.3625439294368907,0.21341501490545903,0.2576928465150359,,0.3134785683257512,0.16450790840288992,0.1451438787384432,0.14834136073508938,0.1497949007389258
gaussian,0.25641625186880934,1.5253353869265285e-05,0.21207805244104538,0.07107680419561346,0.07051064483847944,9.988749259252068e-06,0.0782949311789364,0.0888897554102455,0.2026703633013659,0.2576216464841864,2.379564292286638e-05,0.17465640460624132,0.13737416569447672,3.207906997900095e-05,0.0689733633366409,6.143188754502473e-06,1.632277253753079e-05,0.19357913516497985,0.22264277169186344,0.12092531550366913,0.127574046863936,1.556861142758537e-05
gaussian__sigma1,0.29662580556156337,0.09882863086070366,0.28460231178632944,0.09906471346829351,0.11236832946963685,0.09839251615427061,0.10101539244555545,0.11676517282744196,0.0988399929846929,0.12696018135639933,0.316058424496454,0.13487530049467225,0.12735244696111514,0.35600058705401283,0.1392505768471695,0.16822903266568517,,0.30037520072052404,0.1701471559481135,0.09964526203692162,0.09892312675470108,0.11318767222385291
gaussian__sigma1.0,,,63.17793081248799,,,,,,13.901898774696834,22.175771281455603,,,,,,,,82.22883367329041,42.836944343886444,10.303470746516421,9.00124088828397,
kalofolias,0.32399662055638945,0.10859396849175516,0.30259882655351794,0.09302737678232137,0.12188067497255355,0.9866501312909067,0.09258359269909293,0.11713861519667634,0.14286007873735673,0.18143400953220698,0.3998175622185345,0.1600861082751536,0.1417292239964332,0.40478452341047494,0.1271969936896163,0.18755529321442052,1.5036703943031426e-05,0.3503197328084564,0.3117887223452893,0.11346726856247955,0.10317437543924975,0.12878898098865602
knn,0.2518595942314054,1.5252707773745335e-05,0.20869069997973308,0.07086203887119083,0.0722312146673153,1.3517697135226299e-05,0.08596436909931883,0.09692911268660133,9.263663194444444e-06,1.046318359375e-05,1.5094188342622163e-05,0.16407153161349225,0.12904880362935886,3.0418871718017532e-05,0.06479363799206661,6.143188754502473e-06,1.0882408174462986e-05,3.3260269297020633e-05,0.21861082000892337,0.08647460746395845,0.07019659283320123,1.5213790339405186e-05
knn__k3,0.16995156346840012,0.07966480443400098,12.706761363733223,0.060589797219518425,0.07983733761655615,0.05677503081461176,0.05761820795525117,0.07128481179327266,3.4147722262051436,4.919824780445172,0.13894985553797706,0.07989770749543036,0.07553742406003744,0.19259548540934684,0.08301731501210158,0.10021439441638501,,15.283592237719477,7.87864521732526,3.19107326460298,3.837458878644808,0.06253887453928512
knn__k5,0.45007104914605717,0.15208548907353472,7.111092713639149,0.15070828361820274,0.15938628767622123,0.1499503491313858,0.1523607505713476,0.17631338778987032,2.1409162918057016,3.2981280487750726,0.43302858674009803,0.20801873730511553,0.19694931830143753,0.5328091759322989,0.2175347693972056,0.2625648669094159,,8.316652805091932,4.794148309082905,1.819083871463959,1.8164896597632476,0.16829315084865015
knng,0.25754826032215006,1.5253699133476517e-05,0.2062145889940652,0.07264405174788174,0.07788102677309533,1.2711713889343867e-05,0.07851060189239896,0.08961236129672717,9.263663194444444e-06,1.046318359375e-05,1.54891760947556e-05,0.1760763265930735,0.13849098255687056,3.057914751824448e-05,0.06953405819993747,6.143188754502473e-06,1.1235819937964645e-05,3.3603228846087164e-05,0.1942051493030007,0.07886829966371706,0.07218286628813175,1.5240772098100235e-05
