method,aew,aew__k4_sigma_corr0_5_sigma_dist1,gaussian,gaussian__sigma1,gaussian__sigma1.0,kalofolias,knn,knn__k3,knn__k5,knng,knng__k3,knng__k4_sigma1,nnk,nnk__k4,vknng,vknng__alpha1_k4_k_max8_k_min2
spline_temporal,1.0490312348675234e-05,,1.632277253753079e-05,,,1.5036703943031426e-05,1.0882408174462986e-05,,,1.1235819937964643e-05,,,7.323691495539561e-06,,1.1064518430755127e-05,
directed_tv,1.5253866545905216e-05,0.1664072615933636,1.5253353869265284e-05,0.0988286308607036,,0.1085939684917551,1.5252707773745335e-05,0.0796648044340009,0.1520854890735347,1.5253699133476516e-05,,0.1539313977286069,1.5255864063614272e-05,0.1637123923938448,1.525360335868074e-05,0.1525465212976153
wavelet_temporal,1.51718414718406e-05,0.1497949007389258,1.556861142758537e-05,0.1131876722238529,,0.128788980988656,1.5213790339405186e-05,0.0625388745392851,0.1682931508486501,1.5240772098100235e-05,,0.1638010979050423,1.4860478163394898e-05,0.1546207894015304,1.5235498512158586e-05,0.1652674344947788
gsmooth,0.0712831035738101,0.1461121605195746,0.0710768041956134,0.0990647134682935,,0.0930273767823213,0.0708620388711908,0.0605897972195184,0.1507082836182027,0.0726440517478817,,0.1491054089050366,0.0727387615407734,0.1483310349130383,0.0726187924473752,0.1491439027404938
idw,0.0785106018923989,0.1494187131270288,0.0782949311789364,0.1010153924455554,,0.0925835926990929,0.0859643690993188,0.0576182079552511,0.1523607505713476,0.0785106018923989,,0.1507675243887578,0.0778671253374778,0.1492269047412852,0.0785106018923989,0.1507675243887578
gsp,0.0744549594888488,0.1571850114684526,0.0705106448384794,0.1123683294696368,,0.1218806749725535,0.0722312146673153,0.0798373376165561,0.1593862876762212,0.0778810267730953,,0.1611440991283316,0.0849302239199957,0.1649391022572796,0.077516033749795,0.1610509817692134
linear,0.0896123612967271,0.1729177656167563,0.0888897554102455,0.1167651728274419,,0.1171386151966763,0.0969291126866013,0.0712848117932726,0.1763133877898703,0.0896123612967271,,0.1743686489859257,0.0874789534414003,0.1724567301251102,0.0896123612967271,0.1743686489859257
spline_surface,6.143188754502473e-06,0.2576928465150359,6.143188754502473e-06,0.1682290326656851,,0.1875552932144205,6.143188754502473e-06,0.100214394416385,0.2625648669094159,6.143188754502473e-06,,0.2584164370228931,6.143188754502473e-06,0.2545917773759931,6.143188754502473e-06,0.2584164370228931
spherical_spline,0.0695340581999374,0.213415014905459,0.0689733633366409,0.1392505768471695,,0.1271969936896163,0.0647936379920666,0.0830173150121015,0.2175347693972056,0.0695340581999374,,0.2139537751429983,0.0678786733654428,0.2107351512150794,0.0695340581999374,0.2139537751429983
heat_diffusion_temporal,1.4162460097647208e-05,0.1446792706983291,9.988749259252068e-06,0.0983925161542706,,0.9866501312909068,1.35176971352263e-05,0.0567750308146117,0.1499503491313858,1.2711713889343869e-05,,0.1478915754247614,2.337729629961548e-05,0.146084881217407,1.2905631162988725e-05,0.1486099439279653
rbfi_tps,0.1384909825568705,0.1933075060399584,0.1373741656944767,0.1273524469611151,,0.1417292239964332,0.1290488036293588,0.0755374240600374,0.1969493183014375,0.1384909825568705,,0.1948083603813611,0.1351937137250411,0.1922344512294149,0.1384909825568705,0.1948083603813611
rbfi_mq,0.1760763265930735,0.2042002330720717,0.1746564046062413,0.1348753004946722,,0.1600861082751536,0.1640715316134922,0.0798977074954303,0.2080187373051155,0.1760763265930735,,0.2060727719629918,0.1718841759652832,0.2034210802672283,0.1760763265930735,0.2060727719629918
puy,1.416194841124364e-05,0.1824034091180259,2.379564292286638e-05,0.316058424496454,,0.3998175622185345,1.5094188342622163e-05,0.138949855537977,0.433028586740098,1.54891760947556e-05,,0.3570465495973967,8.660999623354283e-06,0.2422785843308989,1.5429070120688306e-05,0.3982789347216397
