graph,dataset,missing_ratio,best_method,second_method,delta_mean,sd_diff,n_current,req_n_paired_80,req_n_paired_90,req_n_unpaired_80,req_n_unpaired_90,p_adj
gaussian__sigma1.0,iv100hz_mat,0.4,tv,trss,,,0,inf,inf,inf,inf,
knn__k3,iv100hz_mat,0.2,trss,tv,17.99570560332291,13.555082889119397,20,5.0,6.0,inf,inf,8.520798883411378e-15
knn__k3,iv100hz_mat,0.3,trss,mean,,,0,inf,inf,inf,inf,3.60106463973717e-07
gaussian__sigma1.0,iv100hz_mat,0.3,tv,trss,,,0,inf,inf,inf,inf,3.614111975388391e-07
knn__k3,iv100hz_mat,0.4,trss,mean,,,0,inf,inf,inf,inf,
gaussian__sigma1.0,iv100hz_mat,0.2,tv,trss,,,0,inf,inf,inf,inf,3.1457637522864304e-06
gaussian__sigma1.0,iv100hz_mat,0.1,tv,trss,,,0,inf,inf,inf,inf,1.6666429767986e-05
knn__k3,iv100hz_mat,0.1,trss,tv,,,0,inf,inf,inf,inf,0.0014609603211439
knn__k5,iv100hz_mat,0.3,trss,tv,,,0,inf,inf,inf,inf,1.0
knn__k5,iv100hz_mat,0.2,tv,trss,,,0,inf,inf,inf,inf,1.0
gaussian__sigma1.0,iris_graph_signal,0.4,trss,tv,,,0,inf,inf,inf,inf,
knn__k3,iris_graph_signal,0.2,trss,tv,0.042012223575305846,0.023885605086006605,16,3.0,4.0,inf,inf,1.837768683956296e-18
knn__k5,iris_graph_signal,0.3,trss,tv,,,0,inf,inf,inf,inf,1.0
knn__k5,iris_graph_signal,0.2,trss,tv,,,0,inf,inf,inf,inf,1.0
gaussian__sigma1.0,iris_graph_signal,0.2,trss,tv,,,0,inf,inf,inf,inf,0.0042715758049283
knn__k3,iris_graph_signal,0.3,trss,tv,,,0,inf,inf,inf,inf,0.0015478446104406
gaussian__sigma1.0,iris_graph_signal,0.3,trss,tv,,,0,inf,inf,inf,inf,0.0255764093673043
knn__k3,iris_graph_signal,0.1,trss,tv,,,0,inf,inf,inf,inf,2.220603145492489e-05
gaussian__sigma1.0,iris_graph_signal,0.1,trss,tv,,,0,inf,inf,inf,inf,0.3870430208818876
kalofolias,synthetic_16ch,0.1,trss,graph_time_tikhonov,,,0,inf,inf,inf,inf,1.0
