combo_key,dataset,graph,missing_ratio,best_method,second_method,n_best,n_second,mean_best,mean_second,cohens_d,achieved_power,required_n_per_group_for_80pct
mne_sample_proxy|knn__k3|directed_tv|mr=0.1,mne_sample_proxy,knn__k3,0.1,directed_tv,heat_diffusion_temporal,4,4,1.2268993918150853e-07,1.3354704124313293e-07,-0.9216832422141408,,19
mne_sample_proxy|gaussian__sigma1|temporal_laplacian|mr=0.1,mne_sample_proxy,gaussian__sigma1,0.1,temporal_laplacian,heat_diffusion_temporal,1,1,1.2986988495039565e-07,1.3135720400568118e-07,,,
bci_iv2a_real_s3|knn__k3|trss|mr=0.05,bci_iv2a_real_s3,knn__k3,0.05,trss,directed_tv,6,6,1.3030788288723665e-07,2.645105494905346e-07,-18.184005668740934,,1
mne_sample_proxy|kalofolias|heat_diffusion_temporal|mr=0.1,mne_sample_proxy,kalofolias,0.1,heat_diffusion_temporal,directed_tv,1,1,1.3490296083348374e-07,1.5846363404799784e-07,,,
bci_iv2a_real_s2|knn__k3|trss|mr=0.05,bci_iv2a_real_s2,knn__k3,0.05,trss,heat_diffusion_temporal,6,6,1.4598935177926846e-07,3.79905350236785e-07,-13.432166303200068,,1
mne_sample_proxy|knn__k3|directed_tv|mr=0.2,mne_sample_proxy,knn__k3,0.2,directed_tv,heat_diffusion_temporal,4,4,1.4797358100319365e-07,1.5271498351782318e-07,-0.24942141342392202,,253
mne_sample_proxy|gaussian__sigma1|tv|mr=0.2,mne_sample_proxy,gaussian__sigma1,0.2,tv,heat_diffusion_temporal,1,1,1.4943580615213736e-07,1.5139328725254146e-07,,,
mne_sample_proxy|kalofolias|heat_diffusion_temporal|mr=0.2,mne_sample_proxy,kalofolias,0.2,heat_diffusion_temporal,wavelet_temporal,1,1,1.6253508897859757e-07,1.7662207274275104e-07,,,
mne_sample_proxy|gaussian__sigma1|temporal_laplacian|mr=0.3,mne_sample_proxy,gaussian__sigma1,0.3,temporal_laplacian,tv,1,1,1.707007133913716e-07,1.814932506663923e-07,,,
mne_sample_proxy|knn__k3|heat_diffusion_temporal|mr=0.3,mne_sample_proxy,knn__k3,0.3,heat_diffusion_temporal,directed_tv,6,6,1.77646977063599e-07,1.8655322009146566e-07,-0.3396351351768285,,137
mne_sample_proxy|kalofolias|heat_diffusion_temporal|mr=0.3,mne_sample_proxy,kalofolias,0.3,heat_diffusion_temporal,wavelet_temporal,1,1,1.8506380365366077e-07,1.8692446876421654e-07,,,
mne_sample_proxy|knn__k3|directed_tv|mr=0.4,mne_sample_proxy,knn__k3,0.4,directed_tv,heat_diffusion_temporal,5,5,2.007882049976141e-07,2.1327586630008985e-07,-0.39002476889165616,,104
bci_iv2a_real_s3|kalofolias|trss|mr=0.1,bci_iv2a_real_s3,kalofolias,0.1,trss,tv,6,6,2.1325629262703886e-07,2.962327241910596e-07,-10.701423931038285,,1
bci_iv2a_real_s3|gaussian__sigma1.0|trss|mr=0.1,bci_iv2a_real_s3,gaussian__sigma1.0,0.1,trss,tv,6,6,2.1325629437398725e-07,2.962327243614711e-07,-10.701423722266018,,1
bci_iv2a_real_s3|knn__k3|sobolev_temporal|mr=0.1,bci_iv2a_real_s3,knn__k3,0.1,sobolev_temporal,nearest,8,11,2.44826473581285e-07,2.533999356356534e-07,-1.085386935900794,,14
bci_iv2a_real_s2|gaussian__sigma1.0|trss|mr=0.1,bci_iv2a_real_s2,gaussian__sigma1.0,0.1,trss,nearest,10,4,2.470928226718505e-07,3.2824198404947914e-07,-7.039556919692352,,1
bci_iv2a_real_s2|kalofolias|trss|mr=0.1,bci_iv2a_real_s2,kalofolias,0.1,trss,tv,6,6,2.4736014428202317e-07,3.47457172014891e-07,-9.238931217171505,,1
bci_iv2a_real_s2|knn__k3|sobolev_temporal|mr=0.1,bci_iv2a_real_s2,knn__k3,0.1,sobolev_temporal,trss,8,41,2.667546028479057e-07,2.921857494533082e-07,-2.341384772293121,,3
bci_competition_iv_2a_proxy|kalofolias|heat_diffusion_temporal|mr=0.1,bci_competition_iv_2a_proxy,kalofolias,0.1,heat_diffusion_temporal,trss,1,1,3.069541893373624e-07,3.254412053207441e-07,,,
bci_competition_iv_2a_proxy|kalofolias|trss|mr=0.2,bci_competition_iv_2a_proxy,kalofolias,0.2,trss,tv,1,1,3.414203342271202e-07,3.525299377087686e-07,,,
