graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
gaussian__sigma1,synthetic_alpha,0.3,directed_tv,0.1994671073568642,18,2.856025168737767e-17,0.1994671073568642,0.1994671073568642,heat_diffusion_temporal,0.2076559769100092,18,0.0,0.0081888695531449,3.683348423440707e-09,9.613539385180246e-07,True,1.0
kalofolias,synthetic_alpha,0.3,directed_tv,0.2004891087783412,18,0.0,0.2004891087783412,0.2004891087783412,mean,0.2125037819008306,18,0.0,0.0120146731224894,3.683348423440707e-09,9.503038932477024e-07,True,1.0
knn__k5,synthetic_alpha,0.3,directed_tv,0.2028538791238082,19,2.8516143164241187e-17,0.2028538791238082,0.2028538791238082,heat_diffusion_temporal,0.2091375515491966,19,0.0,0.0062836724253883,1.3120632979510227e-09,3.529450271488252e-07,True,1.0
knng__k4_sigma1,synthetic_alpha,0.3,directed_tv,0.2008868795633493,17,0.0,0.2008868795633493,0.2008868795633493,heat_diffusion_temporal,0.2071682000862726,17,0.0,0.0062813205229232,1.036256682624278e-08,2.362665236383353e-06,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_alpha,0.3,directed_tv,0.2004054421418921,17,0.0,0.2004054421418921,0.2004054421418921,wavelet_temporal,0.2087747138008539,17,0.0,0.0083692716589618,1.036256682624278e-08,2.300489835425897e-06,True,1.0
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_beta,0.4,directed_tv,0.2555062283071105,15,0.0,0.2555062283071105,0.2555062283071105,trss,0.2627711750105462,15,5.745950043620392e-17,0.0072649467034357,8.265685662204697e-08,1.603543018467711e-05,True,1.0
gaussian__sigma1,synthetic_beta,0.3,directed_tv,0.2023526997048401,17,0.0,0.2023526997048401,0.2023526997048401,heat_diffusion_temporal,0.2033669952909275,17,0.0,0.0010142955860873,1.036256682624278e-08,2.414478070514568e-06,True,1.0
gaussian__sigma1,synthetic_beta,0.4,directed_tv,0.2698957683430505,17,0.0,0.2698957683430505,0.2698957683430505,heat_diffusion_temporal,0.2769036366798497,17,0.0,0.0070078683367991,1.036256682624278e-08,2.404115503688325e-06,True,1.0
kalofolias,synthetic_beta,0.3,directed_tv,0.2024079368112397,18,0.0,0.2024079368112397,0.2024079368112397,mean,0.2038587458276235,18,0.0,0.0014508090163838,3.683348423440707e-09,9.392538479773804e-07,True,1.0
kalofolias,synthetic_beta,0.4,directed_tv,0.2719970591297853,18,0.0,0.2719970591297853,0.2719970591297853,idw,0.2811073987258139,18,0.0,0.0091103395960286,3.683348423440707e-09,9.355704995539396e-07,True,1.0
