graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial,combo_key
gaussian__sigma1.0,iv100hz_mat,0.4,tv,61.66867708902964,2,1.188948120255105,60.82796381071826,62.50939036734103,trss,74.06976739298713,2,1.0036339582995015,12.401090303957488,,,False,,iv100hz_mat|gaussian__sigma1.0|mr=0.4
knn__k3,iv100hz_mat,0.2,trss,36.772452121510064,118,15.143608634025682,33.97189967322246,39.558050281607855,tv,46.32172198936225,118,12.073693926750492,9.549269867852187,2.9483733160593003e-17,8.520798883411378e-15,True,0.6363114047687446,iv100hz_mat|knn__k3|mr=0.2
knn__k3,iv100hz_mat,0.3,trss,65.71811190820087,25,0.9178673841453514,65.36976156243239,66.07265084339203,mean,73.18838664215687,25,0.7083733210514569,7.470274733956003,1.304733565122163e-09,3.60106463973717e-07,True,1.0,iv100hz_mat|knn__k3|mr=0.3
gaussian__sigma1.0,iv100hz_mat,0.3,tv,48.52686047875172,25,2.1692337714685763,47.72132862615875,49.29726946755714,trss,55.702284270264926,25,0.7353775248292564,7.175423791513204,1.304733565122163e-09,3.614111975388391e-07,True,1.0,iv100hz_mat|gaussian__sigma1.0|mr=0.3
knn__k3,iv100hz_mat,0.4,trss,88.19302543176971,2,0.291314339293926,87.98703508699809,88.39901577654132,mean,94.15993055555556,2,1.0175462999824771,5.966905123785836,,,False,,iv100hz_mat|knn__k3|mr=0.4
gaussian__sigma1.0,iv100hz_mat,0.2,tv,26.357635048970543,27,1.9796754697586123,25.66819815168241,27.14422820506962,trss,29.82432648434558,27,0.5842671695075646,3.4666914353750364,1.4364218046970002e-08,3.1457637522864304e-06,True,0.8984910836762688,iv100hz_mat|gaussian__sigma1.0|mr=0.2
gaussian__sigma1.0,iv100hz_mat,0.1,tv,12.428301691034042,20,0.7358131802494242,12.13305311063196,12.737919915139964,trss,14.233287807422922,20,0.4496589083325622,1.8049861163888803,8.725879459678534e-08,1.6666429767986e-05,True,0.99,iv100hz_mat|gaussian__sigma1.0|mr=0.1
knn__k3,iv100hz_mat,0.1,trss,16.151723527872637,20,0.3855146522669918,15.993409652503487,16.327584705419866,tv,17.512297391727664,20,1.0438120875934969,1.360573863855027,8.300910915590587e-06,0.0014609603211439,True,0.825,iv100hz_mat|knn__k3|mr=0.1
knn__k5,iv100hz_mat,0.3,trss,62.75406059442507,5,1.007384728340177,61.98467495955156,63.5234462292986,tv,63.54614312338688,5,5.371395395226236,0.7920825289618065,0.8412698412698413,1.0,False,0.12,iv100hz_mat|knn__k5|mr=0.3
knn__k5,iv100hz_mat,0.2,tv,32.659586256248815,5,3.3851987072870457,30.402759884693864,35.47807201137004,trss,33.24062315474561,5,0.619219861608963,0.581036898496798,0.3095238095238095,1.0,False,0.4399999999999999,iv100hz_mat|knn__k5|mr=0.2
