graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
gaussian__sigma1.0,iv100hz_mat,0.4,tv,61.66867708902964,2,1.188948120255105,60.82796381071826,62.50939036734103,trss,74.06976739298713,2,1.0036339582995015,12.401090303957488,,,False,
knn__k3,iv100hz_mat,0.2,trss,36.772452121510064,118,15.143608634025682,33.97189967322246,39.558050281607855,tv,46.32172198936225,118,12.073693926750492,9.549269867852187,2.9483733160593003e-17,8.520798883411378e-15,True,0.6363114047687446
knn__k3,iv100hz_mat,0.3,trss,65.71811190820087,25,0.9178673841453514,65.36976156243239,66.07265084339203,mean,73.18838664215687,25,0.7083733210514569,7.470274733956003,1.304733565122163e-09,3.60106463973717e-07,True,1.0
gaussian__sigma1.0,iv100hz_mat,0.3,tv,48.52686047875172,25,2.1692337714685763,47.72132862615875,49.29726946755714,trss,55.702284270264926,25,0.7353775248292564,7.175423791513204,1.304733565122163e-09,3.614111975388391e-07,True,1.0
knn__k3,iv100hz_mat,0.4,trss,88.19302543176971,2,0.291314339293926,87.98703508699809,88.39901577654132,mean,94.15993055555556,2,1.0175462999824771,5.966905123785836,,,False,
gaussian__sigma1.0,iv100hz_mat,0.2,tv,26.357635048970543,27,1.9796754697586123,25.66819815168241,27.14422820506962,trss,29.82432648434558,27,0.5842671695075646,3.4666914353750364,1.4364218046970002e-08,3.1457637522864304e-06,True,0.8984910836762688
gaussian__sigma1.0,iv100hz_mat,0.1,tv,12.428301691034042,20,0.7358131802494242,12.13305311063196,12.737919915139964,trss,14.233287807422922,20,0.4496589083325622,1.8049861163888803,8.725879459678534e-08,1.6666429767986e-05,True,0.99
knn__k3,iv100hz_mat,0.1,trss,16.151723527872637,20,0.3855146522669918,15.993409652503487,16.327584705419866,tv,17.512297391727664,20,1.0438120875934969,1.360573863855027,8.300910915590586e-06,0.0014609603211439,True,0.825
knn__k5,iv100hz_mat,0.3,trss,62.75406059442507,5,1.007384728340177,61.98467495955156,63.5234462292986,tv,63.54614312338688,5,5.371395395226236,0.7920825289618065,0.8412698412698413,1.0,False,0.12
knn__k5,iv100hz_mat,0.2,tv,32.659586256248815,5,3.3851987072870457,30.402759884693864,35.47807201137004,trss,33.24062315474561,5,0.619219861608963,0.581036898496798,0.3095238095238095,1.0,False,0.4399999999999999
gaussian__sigma1.0,iris_graph_signal,0.4,trss,0.2284023158456198,2,0.0072087067893028,0.2233049903913183,0.2334996412999214,tv,0.2668380612503577,2,0.0084161396998597,0.0384357454047378,,,False,
knn__k3,iris_graph_signal,0.2,trss,0.1076542132828412,114,0.0292040879716687,0.1027667442019329,0.1133654681887153,tv,0.1347834542076349,114,0.0235320330915018,0.0271292409247936,6.337133392952743e-21,1.837768683956296e-18,True,0.719144352108341
knn__k5,iris_graph_signal,0.2,trss,0.1039238082898083,5,0.0097532751584156,0.0965106775101037,0.1116072926373493,tv,0.1271634074249073,5,0.0116633415493833,0.0232395991350989,0.0158730158730158,1.0,False,0.92
knn__k5,iris_graph_signal,0.3,trss,0.1039238082898083,5,0.0097532751584156,0.0965106775101037,0.1116072926373493,tv,0.1271634074249073,5,0.0116633415493833,0.0232395991350989,0.0158730158730158,1.0,False,0.92
gaussian__sigma1.0,iris_graph_signal,0.2,trss,0.1021656848863886,17,0.0084887704746907,0.0985660221954676,0.1060381377833678,tv,0.1231158041730728,17,0.0114749789281405,0.0209501192866841,2.454928623522024e-05,0.0042715758049283,True,0.8477508650519031
knn__k3,iris_graph_signal,0.3,trss,0.1057336955113899,21,0.0090500837419389,0.101930499495038,0.1095203908273009,tv,0.1265532966378819,21,0.0115025129760599,0.0208196011264919,8.844826345374955e-06,0.0015478446104406,True,0.800453514739229
gaussian__sigma1.0,iris_graph_signal,0.3,trss,0.1020075157303968,15,0.008885763702448,0.0979872279936003,0.106432163943625,tv,0.1227793474117179,15,0.0119220940816064,0.0207718316813211,0.0001513397003982,0.0255764093673043,True,0.8133333333333334
knn__k3,iris_graph_signal,0.1,trss,0.1055107467762883,28,0.0086986317233996,0.1022703726148101,0.1088054384505373,tv,0.1260868599902125,28,0.0111631261301209,0.0205761132139241,1.200326024590535e-07,2.220603145492489e-05,True,0.8239795918367347
gaussian__sigma1.0,iris_graph_signal,0.1,trss,0.1022827179258913,10,0.0088344218984422,0.0971192955377364,0.1074067589517534,tv,0.1225651548613663,10,0.012388167218024,0.020282436935475,0.0027449859637013,0.3870430208818876,False,0.8
kalofolias,synthetic_16ch,0.1,trss,0.4765685260087021,9,0.0226869936779565,0.4620541570166351,0.4898853268569094,graph_time_tikhonov,0.4912693744250906,9,0.0288117728700053,0.0147008484163885,0.1853263041985794,1.0,False,0.3827160493827161
