method,count,mean,std,median
spline_temporal,32,1.1654829380302845e-05,2.7209503884245997e-06,1.1134885641167805e-05
gsmooth,5274,0.0925905811550237,0.096488437529208,0.0652929243435412
idw,5406,0.0954519681728902,0.0991223097162261,0.0660994520829936
gsp,3173,0.115832934770154,0.10817258236108,0.088259445073733
directed_tv,2560,0.1206099538309523,0.1704357735972747,0.1181534984305608
linear,3512,0.120845823006665,0.1180063522680049,0.0942564113430665
wavelet_temporal,2550,0.122316553239209,0.1033137377096267,0.123798954736391
spherical_spline,3306,0.1346579297792735,0.142028715871337,0.1021720677531056
rbfi_tps,3306,0.1440154224978982,0.1491924836515942,0.0950698397827097
rbfi_mq,3306,0.1607660111084691,0.1705946737790419,0.1076814030559054
spline_surface,2386,0.1921422993047893,0.1618749490572227,0.2116542553159593
heat_diffusion_temporal,2550,0.2254857930748022,0.4444797100297236,0.1197785135886225
puy,2386,0.2821058390219842,0.2253037173056903,0.3567271674551002
bgsrp,5146,0.3008364944076165,0.2599250027348665,0.4633219988920629
sobolev,2386,0.3678218868039278,0.2643450770630722,0.5353753461834097
trss,8596,1.212366293844958,7.19219807393979,0.0613347896024915
tv,7605,1.5128549313899038,8.518741762887402,0.0562768492494662
mean,4691,2.395236220537958,11.109602680103492,0.0658619827367564
nearest,4462,3.4542397363572,16.52377336768253,0.0859116155366704
tikhonov,7511,3.8202509263942193,21.39470553673435,0.1578714303141752
