dataset,scenario,missing_ratio,method,family,runs,mae_mean,mae_std,rmse_mean,rmse_std,dtw_mean,dtw_std,snr_mean,snr_std,mae_ci95,rmse_ci95,dtw_ci95,snr_ci95
mne_sample,occipital_band,0.1,idw,instant,69,1.5826995229766716e-06,5.121840256061786e-08,5.708743886070256e-06,1.958266949821297e-08,1.059405462848188e-05,1.6703701101849653e-07,8.278442244686435,1.1009619791123515,1.208530332846264e-08,4.620653691548519e-09,3.941343041398312e-08,0.259778884258057
mne_sample,occipital_band,0.1,gsp,instant,23,1.5828208094466916e-06,1.1530501904062164e-07,5.718558928362836e-06,4.303483799993016e-07,1.04273388531239e-05,1.0286651155547799e-06,8.66816819031081,2.8244906056654338,4.712380662686634e-08,1.7587832698009282e-07,4.2040334750848176e-07,1.1543361271540786
mne_sample,occipital_band,0.1,trss,tv_time,92,1.5886285350778167e-06,1.2056302453727046e-07,5.7406522584651695e-06,4.6510626078567563e-07,1.0483674127932429e-05,1.1103632755463757e-06,8.64010742107507,2.7672714734457324,2.4636345849970925e-08,9.504173225316213e-08,2.2689621283522586e-07,0.565475670025947
mne_sample,occipital_band,0.1,gsmooth,instant,69,1.6329132814365683e-06,6.193759520174332e-08,5.729501468555095e-06,2.0482283857117782e-07,1.0724736321544387e-05,5.267615434481914e-07,6.51927238524072,1.6129979562844396,1.4614564063428114e-08,4.832923341956647e-08,1.242926900503425e-07,0.38059698458609287
mne_sample,occipital_band,0.1,tv,tv_time,69,1.6816856871240287e-06,2.7494158620030315e-09,5.829635756392674e-06,9.093026376697173e-09,1.0980184315851435e-05,4.630344810058658e-08,4.6909071504526665,0.22251056296113797,6.487419171081696e-10,2.145556605480577e-09,1.092558899678744e-08,0.05250276292763585
mne_sample,right_lateral_temporal,0.1,gsmooth,instant,69,1.7643530867246884e-06,4.7223710831859874e-08,6.552372490682487e-06,2.0392051168745815e-07,1.234873708694448e-05,5.665862664841033e-07,2.6409356976824987,0.3411858787257971,1.1142730760163496e-08,4.811632373191519e-08,1.336895832332447e-07,0.08050494801959684
mne_sample,right_lateral_temporal,0.1,tv,tv_time,69,1.8024720764422652e-06,5.8608644182672475e-09,6.759299209207695e-06,2.0606907559256187e-08,1.2966076452977227e-05,6.784329303642325e-08,2.2650849709900616,0.06261632885409947,1.3829077191137406e-09,4.862329086122058e-09,1.600805050834177e-08,0.014774715525751665
mne_sample,right_lateral_temporal,0.1,gsp,instant,23,1.8488609494048863e-06,9.379080292450143e-08,6.991448369058456e-06,4.860455913834328e-07,1.2917180344935905e-05,1.098652637276329e-06,2.90987978541196,0.4933473860439391,3.8331199258860185e-08,1.9864112291698816e-07,4.4900642539131e-07,0.2016252806099812
mne_sample,right_lateral_temporal,0.1,idw,instant,69,1.8609716316070484e-06,7.319282314094588e-08,6.794881353011519e-06,2.698593911074127e-07,1.260604354325653e-05,3.3803423770227023e-07,3.110391003467585,0.21011004734894784,1.7270305689014054e-08,6.367501590287735e-08,7.976129855285155e-08,0.049576783492309116
mne_sample,right_lateral_temporal,0.1,trss,tv_time,92,1.8766002401010406e-06,1.1630961478403654e-07,7.191336342946465e-06,6.146398423985331e-07,1.3502347741199358e-05,1.4251241849566057e-06,2.8970851097518704,0.4858558279283371,2.376718655237951e-08,1.2559804126198565e-07,2.9121575569709704e-07,0.09928178441115831
