dataset,scenario,missing_ratio,grupo,method,family,runs,mae_mean,mae_std,rmse_mean,rmse_std,dtw_mean,dtw_std,snr_mean,snr_std,mae_ci95,rmse_ci95,dtw_ci95,snr_ci95
mne_sample,frontal_band,0.1,Baseline,linear,instant,23,4.200294430323472e-06,0.0,2.064164691728467e-05,0.0,3.364081757712184e-05,0.0,-1.379401399903639,0.0,0.0,0.0,0.0,0.0
mne_sample,frontal_band,0.1,GSP,gsp,instant,23,4.091360743901643e-06,1.9797356812101858e-07,1.8923903666298148e-05,6.815523341819157e-07,3.349881742112199e-05,1.5834189413159638e-06,2.5126187990628632,0.3010965114578806,8.090947140886344e-08,2.7854243179790057e-07,6.471247186005289e-07,0.1230546068160877
mne_sample,frontal_band,0.1,TV/Tiempo,trss,tv_time,92,4.124287949111246e-06,1.672284801308761e-07,1.901279015192311e-05,6.809443520462762e-07,3.379799346952401e-05,1.2352666701163949e-06,2.5498483092039623,0.3210614147881228,3.4172157577181906e-08,1.3914697832095565e-07,2.524194878050829e-07,0.0656070141252632
mne_sample,frontal_band,0.2,Baseline,idw,instant,69,7.020206934865778e-06,1.962581205832787e-07,2.1045487290499536e-05,1.9056862290459738e-07,5.6560700854400727e-05,1.0760626685919848e-06,3.4034861771947,0.3261469990152605,4.6308334491998426e-08,4.496586182991043e-08,2.53903735771103e-07,0.0769564300273187
mne_sample,frontal_band,0.2,GSP,gsmooth,instant,69,6.803114123645599e-06,1.3867775164623316e-07,2.086601553278373e-05,1.900224807083813e-07,5.501407158855044e-05,1.1772257265303814e-06,2.741950020619073,0.3677257591098182,3.27218852944585e-08,4.4836996153283104e-08,2.777737937912339e-07,0.0867671992556131
mne_sample,frontal_band,0.2,TV/Tiempo,tv,tv_time,69,6.694679088178088e-06,1.4364960654473168e-08,2.0777727900069688e-05,1.5100917335800872e-08,5.40625025209798e-05,1.944632607668031e-07,2.362455953931375,0.0692170307748213,3.3895025641472323e-09,3.563156159062214e-09,4.588482606085389e-08,0.0163321925438659
mne_sample,frontal_band,0.3,Baseline,idw,instant,69,8.873532149546721e-06,8.897709704218958e-09,2.2301844682845725e-05,1.220803123120685e-08,6.911209584633945e-05,1.9499642992740825e-07,3.2836548020761787,0.2675529837098886,2.099470411573776e-09,2.8805615383624372e-09,4.6010630668361295e-08,0.0631308046115333
mne_sample,frontal_band,0.3,GSP,gsmooth,instant,69,8.899438798449769e-06,4.911427643767202e-08,2.2333231433310556e-05,6.391834610524518e-08,6.953864830700703e-05,5.718234676072753e-07,2.6597817471195757,0.2635249499746215,1.15888215725733e-08,1.5081934662474332e-08,1.349253336862345e-07,0.0621803647876757
mne_sample,frontal_band,0.3,TV/Tiempo,trss,tv_time,92,8.70021921112387e-06,3.379051806224587e-07,2.2477725108321302e-05,6.470927194198068e-07,6.922038125371086e-05,3.662985649380683e-06,3.2659694687661096,0.7758067252449821,6.904893872945515e-08,1.322295960458117e-07,7.48509600252485e-07,0.1585315470412755
mne_sample,frontal_band,0.4,Baseline,idw,instant,69,9.96228346075677e-06,4.190096123970742e-08,2.27451562099251e-05,2.0578687262845187e-08,7.644632560093386e-05,4.125033227819493e-07,4.428954364122933,0.3547933510401034,9.886794609353618e-09,4.855670330184826e-09,9.7332746251086e-08,0.0837157164588783
mne_sample,frontal_band,0.4,GSP,gsmooth,instant,69,9.996563423971866e-06,5.1377890193771926e-08,2.2733766625562125e-05,4.9810957485787065e-08,7.673159098768992e-05,4.447635793125628e-07,3.5930996074598105,0.4168393331797188,1.2122935435819448e-08,1.1753207835493097e-08,1.0494475611736517e-07,0.0983558551001055
mne_sample,frontal_band,0.4,TV/Tiempo,trss,tv_time,92,9.995146534416396e-06,4.277377374104946e-07,2.312841112572257e-05,9.727812838795046e-07,7.898724334561388e-05,6.203920744260443e-06,4.1204109014004775,0.7880051939005166,8.740569401252323e-08,1.9878214102554738e-07,1.2677347608690774e-06,0.1610242324544958
mne_sample,left_lateral_temporal,0.1,Baseline,idw,instant,69,3.8935905881086655e-06,2.3021085936462178e-07,1.890615337718701e-05,6.793102610782767e-07,3.3607234186203373e-05,2.102802036176734e-06,2.226849135474233,0.0884885990358746,5.431969616066734e-08,1.602875167680569e-07,4.961693293114321e-07,0.0208794399472647
