seed,method,params,mae,rmse,snr,reference_family
1,gsp,{},0.045919680412929376,0.13736013719187207,10.554935795172783,Narang
1,tikhonov,{'alpha': 0.5},0.19690162541847367,0.2554006899682728,5.087189548890282,Narang
1,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.04971880937189833,0.14773291852323517,9.965320589720848,Narang
1,bgsrp,"{'bandwidth': 8, 'gamma': 0.1}",0.1000524402967851,0.12974562062570677,10.94466793133816,Zhang_RKHS
7,gsp,{},0.04400664414713543,0.1309211366666078,10.961295219523638,Narang
7,tikhonov,{'alpha': 0.5},0.1951889617146417,0.2529869159171565,5.167115952507422,Narang
7,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.04722361112471759,0.14144003508426076,10.311564854584184,Narang
7,bgsrp,"{'bandwidth': 8, 'gamma': 0.1}",0.09883565722350238,0.12708624914709682,11.119243530864587,Zhang_RKHS
13,gsp,{},0.045716590951245244,0.1363843424418686,10.501768192288585,Narang
13,tikhonov,{'alpha': 0.5},0.19568097310351834,0.25423776128575115,5.113085987500753,Narang
13,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.04847633503956347,0.1444275975512323,10.04966039391111,Narang
13,bgsrp,"{'bandwidth': 8, 'gamma': 0.1}",0.09950771858929171,0.12884060189289903,10.985969720059577,Zhang_RKHS
21,gsp,{},0.046125077383328786,0.13690049387278602,10.635127664114263,Narang
21,tikhonov,{'alpha': 0.5},0.1958916770824494,0.2541977079456451,5.1359370255622645,Narang
21,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.048447715989285295,0.1449764168934269,10.157771572562662,Narang
21,bgsrp,"{'bandwidth': 8, 'gamma': 0.1}",0.10006287556423743,0.12902412301300753,11.000911838927982,Zhang_RKHS
42,gsp,{},0.04504651131969027,0.1361225624079347,10.550242317151588,Narang
42,tikhonov,{'alpha': 0.5},0.19534608981476329,0.2532739280720992,5.14103153248534,Narang
42,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.04703968481400338,0.14240414182810762,10.212323138680553,Narang
42,bgsrp,"{'bandwidth': 8, 'gamma': 0.1}",0.09928253162434762,0.12882848676424014,10.979335452767888,Zhang_RKHS
