dataset,data_source,graph,graph_method,method,best_params,family,scenario_label,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr
synthetic_alpha,synthetic,knn__k3,knn,linear,{},instant,10pct,0.10526315789473684,2,"1,5",64,0.08515177226579325,0.3037738278868093,-2.30386954734965
synthetic_alpha,synthetic,knn__k3,knn,nearest,{},instant,10pct,0.10526315789473684,2,"1,5",64,0.11471157173480712,0.4002611217925776,-4.838035947843867
synthetic_alpha,synthetic,knn__k3,knn,mean,{},instant,10pct,0.10526315789473684,2,"1,5",64,0.06177090358180083,0.21528389170351653,0.5859071389220664
synthetic_alpha,synthetic,knn__k3,knn,idw,{'power': 1.5},instant,10pct,0.10526315789473684,2,"1,5",64,0.06794335449516377,0.23656969020023877,-0.2814725555544463
synthetic_alpha,synthetic,knn__k3,knn,spherical_spline,{},instant,10pct,0.10526315789473684,2,"1,5",64,0.12872670133024242,0.49314064610302816,-6.6578978975262295
synthetic_alpha,synthetic,knn__k3,knn,rbfi_tps,{},instant,10pct,0.10526315789473684,2,"1,5",64,0.10047799782934122,0.37645188117464595,-4.309783483945088
synthetic_alpha,synthetic,knn__k3,knn,rbfi_mq,{},instant,10pct,0.10526315789473684,2,"1,5",64,0.10725127982196608,0.40893540146138013,-5.012648408959949
synthetic_alpha,synthetic,knn__k3,knn,spline_surface,{},instant,10pct,0.10526315789473684,2,"1,5",64,0.7876553370189988,2.8584386082813418,-21.63942866011535
synthetic_alpha,synthetic,knn__k3,knn,gsp,{},instant,10pct,0.10526315789473684,2,"1,5",64,0.08902056695891294,0.3196040144264898,-2.917124227456674
synthetic_alpha,synthetic,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,10pct,0.10526315789473684,2,"1,5",64,0.16329893040895735,0.3207277449359888,14.987516024247105
synthetic_alpha,synthetic,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,10pct,0.10526315789473684,2,"1,5",64,0.48904149054193136,0.6051981596226668,2.1885219249528696
synthetic_alpha,synthetic,knn__k3,knn,gsmooth,"{'lam': 0.3, 'n_iter': 30}",instant,10pct,0.10526315789473684,2,"1,5",64,0.0698136539798278,0.24398614455919582,-0.5393935525025457
synthetic_alpha,synthetic,knn__k3,knn,puy,{'alpha': 0.1},instant,10pct,0.10526315789473684,2,"1,5",64,0.35836606547834754,0.466229003144228,5.255926014424482
synthetic_alpha,synthetic,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,10pct,0.10526315789473684,2,"1,5",64,0.5404450055420734,0.612071892856549,1.3505943576545831
synthetic_alpha,synthetic,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,10pct,0.10526315789473684,2,"1,5",64,0.33763284863236326,0.420093088454299,5.738801018297583
synthetic_alpha,synthetic,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,10pct,0.10526315789473684,2,"1,5",64,0.08710988198122618,0.3108751139499301,-2.6765141523216753
synthetic_alpha,synthetic,knn__k3,knn,tv,"{'lam': 0.4, 'n_iter': 30}",tv_time,10pct,0.10526315789473684,2,"1,5",64,0.06772389745560348,0.2369215410143102,-0.23429672790319428
synthetic_alpha,synthetic,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,10pct,0.10526315789473684,2,"1,5",64,0.3892291066923094,0.4472391631075554,4.350125935491437
synthetic_alpha,synthetic,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,10pct,0.10526315789473684,2,"1,5",64,0.0744889274788058,0.25741264317580864,-1.0358993406741408
synthetic_alpha,synthetic,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,10pct,0.10526315789473684,2,"1,5",64,,,
synthetic_alpha,synthetic,knn__k3,knn,wavelet_temporal,"{'alpha': 0.7, 'wavelet_level': 2}",tv_time,10pct,0.10526315789473684,2,"1,5",64,0.08175667325880993,0.23462745233331272,20.36027666015586
synthetic_alpha,synthetic,knn__k3,knn,directed_tv,"{'alpha': 0.5, 'beta': 0.2, 'n_iter': 15}",tv_time,10pct,0.10526315789473684,2,"1,5",64,0.08992189942625506,0.3121451978045105,-2.627777411665735
synthetic_alpha,synthetic,knn__k3,knn,linear,{},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.17579964457103328,0.4478435456675492,-2.542995576652542
synthetic_alpha,synthetic,knn__k3,knn,nearest,{},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.17314051853354984,0.46301998050201304,-3.053519518792906
synthetic_alpha,synthetic,knn__k3,knn,mean,{},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.14647208287448638,0.366572004593164,-0.8689040698212755
synthetic_alpha,synthetic,knn__k3,knn,idw,{'power': 1.5},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.14420491757248366,0.36333340632067057,-0.7722617665705305
synthetic_alpha,synthetic,knn__k3,knn,spherical_spline,{},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.23828838112431514,0.6885781897089329,-5.2741481225595965
synthetic_alpha,synthetic,knn__k3,knn,rbfi_tps,{},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.17668720990702413,0.4840904316327151,-3.015219798733371
synthetic_alpha,synthetic,knn__k3,knn,rbfi_mq,{},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.18977837875164064,0.539997125312395,-3.5534037702504735
synthetic_alpha,synthetic,knn__k3,knn,spline_surface,{},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.20596118707913208,0.5273410589541917,-3.602167904123536
synthetic_alpha,synthetic,knn__k3,knn,gsp,{},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.15467626496184458,0.4009875446605675,-1.6611975977327316
synthetic_alpha,synthetic,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.2236703113094636,0.40440395000276513,12.998599934814186
synthetic_alpha,synthetic,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.5198470387767893,0.6370961016258082,1.6422347258944439
synthetic_alpha,synthetic,knn__k3,knn,gsmooth,"{'lam': 0.3, 'n_iter': 30}",instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.1468644685992839,0.36959428731047805,-0.9768798635219567
synthetic_alpha,synthetic,knn__k3,knn,puy,{'alpha': 0.1},instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.4020530791535151,0.5197668164948744,4.419552276369962
synthetic_alpha,synthetic,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,20pct,0.21052631578947367,4,"6,14,15,17",64,0.548731741436938,0.6254032345499182,1.2450353020872291
synthetic_alpha,synthetic,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,20pct,0.21052631578947367,4,"6,14,15,17",64,0.3783654751644537,0.48387577077543487,5.004543300997405
synthetic_alpha,synthetic,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,20pct,0.21052631578947367,4,"6,14,15,17",64,0.15000851200192233,0.38670527783631287,-1.3457741774013745
synthetic_alpha,synthetic,knn__k3,knn,tv,"{'lam': 0.4, 'n_iter': 30}",tv_time,20pct,0.21052631578947367,4,"6,14,15,17",64,0.14881206930556629,0.37311823448827997,-1.0202603472948617
synthetic_alpha,synthetic,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,20pct,0.21052631578947367,4,"6,14,15,17",64,0.4215694511239778,0.4934557537807769,3.7816042910949372
synthetic_alpha,synthetic,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.3, 'beta': 0.3, 'n_iter': 10}",tv_time,20pct,0.21052631578947367,4,"6,14,15,17",64,0.13458343263432557,0.3288146998465145,-0.07720319070547037
synthetic_alpha,synthetic,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,20pct,0.21052631578947367,4,"6,14,15,17",64,,,
synthetic_alpha,synthetic,knn__k3,knn,wavelet_temporal,"{'alpha': 0.7, 'wavelet_level': 2}",tv_time,20pct,0.21052631578947367,4,"6,14,15,17",64,0.14537198848828664,0.3277130388636365,18.617304955695452
synthetic_alpha,synthetic,knn__k3,knn,directed_tv,"{'alpha': 0.5, 'beta': 0.2, 'n_iter': 15}",tv_time,20pct,0.21052631578947367,4,"6,14,15,17",64,0.13707330587217975,0.36213768361326953,-0.5461921923985357
synthetic_alpha,synthetic,knn__k3,knn,linear,{},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.2018851730822886,0.42625020085076154,-0.292590944859552
synthetic_alpha,synthetic,knn__k3,knn,nearest,{},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.24236421816263193,0.5354233290474559,-1.6177675614520364
synthetic_alpha,synthetic,knn__k3,knn,mean,{},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.18618477869374173,0.3782671977221724,0.44385370463557666
synthetic_alpha,synthetic,knn__k3,knn,idw,{'power': 1.5},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.19122879294511216,0.3914894156571391,0.1925343401066086
synthetic_alpha,synthetic,knn__k3,knn,spherical_spline,{},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.3006982831908812,0.6635779917105502,-4.034659188446088
synthetic_alpha,synthetic,knn__k3,knn,rbfi_tps,{},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.25998653039069164,0.5656281349018688,-2.8509927588506248
synthetic_alpha,synthetic,knn__k3,knn,rbfi_mq,{},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.2684765052981312,0.5875564927695234,-3.1289126803450915
synthetic_alpha,synthetic,knn__k3,knn,spline_surface,{},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.2502299894435748,0.5617749597519566,-2.089211237938879
synthetic_alpha,synthetic,knn__k3,knn,gsp,{},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.22791893338100574,0.4862210568205447,-1.7023629066650638
synthetic_alpha,synthetic,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.2765397450083648,0.4787995657970023,11.997562259401882
synthetic_alpha,synthetic,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.5129007793902727,0.6745088127679794,2.534072611460603
synthetic_alpha,synthetic,knn__k3,knn,gsmooth,"{'lam': 0.3, 'n_iter': 30}",instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.19492918557877817,0.4002663063213452,-0.05356203834933745
synthetic_alpha,synthetic,knn__k3,knn,puy,{'alpha': 0.1},instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.41559523861205766,0.5642668674698303,4.643835379661911
synthetic_alpha,synthetic,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.5599163282341781,0.6329626657857689,1.061086311550963
synthetic_alpha,synthetic,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.40030431627503593,0.511872603661501,4.6259173375031555
synthetic_alpha,synthetic,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.22119492080044986,0.46913234255711,-1.3855717525298967
synthetic_alpha,synthetic,knn__k3,knn,tv,"{'lam': 0.4, 'n_iter': 30}",tv_time,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.1923710734839745,0.3949794587981766,0.0910803077252031
synthetic_alpha,synthetic,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.4430085933157277,0.5144451060087675,3.3539164587539743
synthetic_alpha,synthetic,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.3, 'beta': 0.3, 'n_iter': 10}",tv_time,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.19973234298085585,0.3984627364474376,-0.1011768168161686
synthetic_alpha,synthetic,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,,,
synthetic_alpha,synthetic,knn__k3,knn,wavelet_temporal,"{'alpha': 0.7, 'wavelet_level': 2}",tv_time,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.21096523024626784,0.3991589762743901,15.649374319956587
synthetic_alpha,synthetic,knn__k3,knn,directed_tv,"{'alpha': 0.5, 'beta': 0.2, 'n_iter': 15}",tv_time,30pct,0.3157894736842105,6,"1,3,5,13,15,18",64,0.2225752839726608,0.45311707325412964,-1.0967945893366375
synthetic_alpha,synthetic,knn__k3,knn,linear,{},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.3274113247696233,0.5987440484731675,-1.8775204697296248
synthetic_alpha,synthetic,knn__k3,knn,nearest,{},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.3631978643394158,0.6786050472966596,-3.0027920980533214
synthetic_alpha,synthetic,knn__k3,knn,mean,{},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.26144811819217495,0.4593987850236712,0.1358324777033252
synthetic_alpha,synthetic,knn__k3,knn,idw,{'power': 1.5},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.2754685699378412,0.4873531237377279,-0.31318483688013193
synthetic_alpha,synthetic,knn__k3,knn,spherical_spline,{},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.42406487845764834,0.8115315790615647,-4.131871040005059
synthetic_alpha,synthetic,knn__k3,knn,rbfi_tps,{},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.35931420079314,0.6690471998573786,-2.842017673064012
synthetic_alpha,synthetic,knn__k3,knn,rbfi_mq,{},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.35810690531437667,0.6672104553515195,-2.8168259003177827
synthetic_alpha,synthetic,knn__k3,knn,spline_surface,{},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.3818921691408217,0.7142443988685454,-3.320662744926544
synthetic_alpha,synthetic,knn__k3,knn,gsp,{},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.3053703052899602,0.5551267870134017,-1.3055391112589168
synthetic_alpha,synthetic,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.3470183813242436,0.5482418255377742,9.95769651335943
synthetic_alpha,synthetic,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.5396267471078001,0.6937005300777681,1.876814590946543
synthetic_alpha,synthetic,knn__k3,knn,gsmooth,"{'lam': 0.3, 'n_iter': 30}",instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.2708858246711284,0.47804422163104465,-0.16386996937535328
synthetic_alpha,synthetic,knn__k3,knn,puy,{'alpha': 0.1},instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.4722225601038971,0.624230651169672,3.679469940171176
synthetic_alpha,synthetic,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.579799040803409,0.6543362808505812,0.7982580256952722
synthetic_alpha,synthetic,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.4509820742854111,0.5679299577171144,3.7528968534113463
synthetic_alpha,synthetic,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.2994132733549726,0.538869454602339,-1.1106536418480135
synthetic_alpha,synthetic,knn__k3,knn,tv,"{'lam': 0.4, 'n_iter': 30}",tv_time,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.26766500635709817,0.4720349575259734,-0.08704970375904608
synthetic_alpha,synthetic,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.4738292808149478,0.5563364382626224,2.8686150604722704
synthetic_alpha,synthetic,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.3, 'beta': 0.3, 'n_iter': 10}",tv_time,40pct,0.42105263157894735,8,"1,2,3,7,9,11,16,17",64,0.272463468098728,0.4692075434023585,-0.16032429603632847
