method,mae_mean,dataset,scenario,family,rank
rbfi_tps,1.7885044615708724e-06,physionet_eegmmidb,10pct,instant,1
gsp,2.1070990674887133e-06,physionet_eegmmidb,10pct,instant,2
linear,2.145028409090909e-06,physionet_eegmmidb,10pct,instant,3
idw,2.182306559075866e-06,physionet_eegmmidb,10pct,instant,4
gsmooth,2.2092654994395763e-06,physionet_eegmmidb,10pct,instant,5
trss,2.106652397738832e-06,physionet_eegmmidb,10pct,tv_time,1
heat_diffusion_temporal,2.2503630865851365e-06,physionet_eegmmidb,10pct,tv_time,2
directed_tv,2.4203874229522557e-06,physionet_eegmmidb,10pct,tv_time,3
tv,2.5704412739692205e-06,physionet_eegmmidb,10pct,tv_time,4
wavelet_temporal,2.9511410417881397e-06,physionet_eegmmidb,10pct,tv_time,5
nearest,7.136363636363635e-06,physionet_eegmmidb,20pct,instant,1
linear,7.18828125e-06,physionet_eegmmidb,20pct,instant,2
mean,7.918702651515152e-06,physionet_eegmmidb,20pct,instant,3
gsmooth,8.250622702299901e-06,physionet_eegmmidb,20pct,instant,4
gsp,8.56474993218273e-06,physionet_eegmmidb,20pct,instant,5
tv,7.928642840663428e-06,physionet_eegmmidb,20pct,tv_time,1
heat_diffusion_temporal,7.995202735093342e-06,physionet_eegmmidb,20pct,tv_time,2
trss,8.356452789068547e-06,physionet_eegmmidb,20pct,tv_time,3
directed_tv,8.75277743720874e-06,physionet_eegmmidb,20pct,tv_time,4
wavelet_temporal,9.497195791090632e-06,physionet_eegmmidb,20pct,tv_time,5
linear,7.6128314393939385e-06,physionet_eegmmidb,30pct,instant,1
mean,8.674545454545455e-06,physionet_eegmmidb,30pct,instant,2
nearest,8.968607954545455e-06,physionet_eegmmidb,30pct,instant,3
gsmooth,9.22525783259976e-06,physionet_eegmmidb,30pct,instant,4
idw,9.752109266478111e-06,physionet_eegmmidb,30pct,instant,5
tv,8.686615625561696e-06,physionet_eegmmidb,30pct,tv_time,1
heat_diffusion_temporal,8.95500592122865e-06,physionet_eegmmidb,30pct,tv_time,2
directed_tv,9.887230909634104e-06,physionet_eegmmidb,30pct,tv_time,3
trss,1.0024713966465465e-05,physionet_eegmmidb,30pct,tv_time,4
wavelet_temporal,1.087620714931194e-05,physionet_eegmmidb,30pct,tv_time,5
mean,1.1139182692307691e-05,physionet_eegmmidb,40pct,instant,1
gsmooth,1.1641547592145289e-05,physionet_eegmmidb,40pct,instant,2
idw,1.2382925421587149e-05,physionet_eegmmidb,40pct,instant,3
linear,1.291010890151515e-05,physionet_eegmmidb,40pct,instant,4
gsp,1.294151868088187e-05,physionet_eegmmidb,40pct,instant,5
tv,1.1113257816523654e-05,physionet_eegmmidb,40pct,tv_time,1
heat_diffusion_temporal,1.2239099156988334e-05,physionet_eegmmidb,40pct,tv_time,2
trss,1.2370201854790251e-05,physionet_eegmmidb,40pct,tv_time,3
directed_tv,1.397495123637743e-05,physionet_eegmmidb,40pct,tv_time,4
wavelet_temporal,1.4994696350505472e-05,physionet_eegmmidb,40pct,tv_time,5
mean,0.06177090358180083,synthetic_alpha,10pct,instant,1
idw,0.06794335449516377,synthetic_alpha,10pct,instant,2
gsmooth,0.06850024272477707,synthetic_alpha,10pct,instant,3
gsp,0.08287734572191888,synthetic_alpha,10pct,instant,4
linear,0.08515177226579325,synthetic_alpha,10pct,instant,5
tv,0.06611713007766869,synthetic_alpha,10pct,tv_time,1
trss,0.07810696440684557,synthetic_alpha,10pct,tv_time,2
wavelet_temporal,0.08157638315728076,synthetic_alpha,10pct,tv_time,3
directed_tv,0.08875213408431348,synthetic_alpha,10pct,tv_time,4
heat_diffusion_temporal,0.13884880729082077,synthetic_alpha,10pct,tv_time,5
idw,0.14420491757248366,synthetic_alpha,20pct,instant,1
gsmooth,0.14595154178184488,synthetic_alpha,20pct,instant,2
mean,0.14647208287448638,synthetic_alpha,20pct,instant,3
gsp,0.1482043453725953,synthetic_alpha,20pct,instant,4
nearest,0.17314051853354984,synthetic_alpha,20pct,instant,5
trss,0.14330018533405842,synthetic_alpha,20pct,tv_time,1
directed_tv,0.14369811923605355,synthetic_alpha,20pct,tv_time,2
wavelet_temporal,0.14523615137591384,synthetic_alpha,20pct,tv_time,3
tv,0.14782990012532593,synthetic_alpha,20pct,tv_time,4
heat_diffusion_temporal,0.2633281175639224,synthetic_alpha,20pct,tv_time,5
mean,0.18618477869374173,synthetic_alpha,30pct,instant,1
