graph_method,method,mae_mean
aew,heat_diffusion_temporal,0.1231047779975913
aew,trss,0.1234118281120449
kalofolias,directed_tv,0.12353007613416114
gaussian,heat_diffusion_temporal,0.12393040196986586
aew,gsmooth,0.12429792186147906
aew,mean,0.12442214407126184
kalofolias,mean,0.12442214407126184
gaussian,mean,0.12442214407126184
knng,mean,0.12442214407126184
nnk,mean,0.12442214407126184
knn,mean,0.12442214407126184
vknng,mean,0.12442214407126184
kalofolias,tv,0.12444343507395687
gaussian,directed_tv,0.12447829902854979
gaussian,tv,0.12453359280828893
nnk,heat_diffusion_temporal,0.12455647326885382
gaussian,gsmooth,0.12472015527620348
knng,heat_diffusion_temporal,0.12475940265072884
vknng,tv,0.12488061641999135
knng,tv,0.1252486038908591
knn,heat_diffusion_temporal,0.12529575218094166
knn,tv,0.12531362959763964
vknng,heat_diffusion_temporal,0.12536838274258816
gaussian,trss,0.12547420606887014
gaussian,gsp,0.12550740263034038
knng,gsmooth,0.12577197381612243
vknng,gsmooth,0.12580511368355055
aew,tv,0.1261171313381003
knn,gsmooth,0.1261383428101766
nnk,gsmooth,0.1264157046225917
kalofolias,idw,0.12714380079598134
knng,idw,0.12714380079598134
nnk,idw,0.12714380079598134
aew,idw,0.12714380079598134
knn,idw,0.12714380079598134
vknng,idw,0.12714380079598134
gaussian,idw,0.12714380079598134
aew,wavelet_temporal,0.12750531863949432
nnk,tv,0.12759151615200812
vknng,directed_tv,0.12866604810138388
nnk,trss,0.1297492403175033
knng,directed_tv,0.1298293510496765
knn,directed_tv,0.12983561332217936
kalofolias,gsmooth,0.130580763019368
nnk,wavelet_temporal,0.1317628055283708
knng,trss,0.13178922949766395
aew,gsp,0.1319701003604741
vknng,trss,0.1328417976124797
knn,trss,0.13302782839093893
vknng,gsp,0.13425061213729866
knng,gsp,0.1343190594580894
knn,gsp,0.1347489637941573
knng,wavelet_temporal,0.13818023234830804
nnk,gsp,0.13915766476629696
knn,wavelet_temporal,0.13936227811523894
nnk,directed_tv,0.1394115042006453
vknng,wavelet_temporal,0.13944182363570165
aew,tikhonov,0.13984066641785986
aew,directed_tv,0.14128443577004493
gaussian,wavelet_temporal,0.14247912165196772
kalofolias,trss,0.14589155632320552
kalofolias,wavelet_temporal,0.1463371276607275
knn,linear,0.14709275485528048
knng,linear,0.14709275485528048
kalofolias,linear,0.14709275485528048
nnk,linear,0.14709275485528048
gaussian,linear,0.14709275485528048
aew,linear,0.14709275485528048
vknng,linear,0.14709275485528048
aew,puy,0.15314642030873324
kalofolias,gsp,0.15503721169240775
nnk,tikhonov,0.15794443906884387
knn,nearest,0.15996275862916645
knng,nearest,0.15996275862916645
nnk,nearest,0.15996275862916645
kalofolias,nearest,0.15996275862916645
aew,nearest,0.15996275862916645
gaussian,nearest,0.15996275862916645
vknng,nearest,0.15996275862916645
knng,rbfi_tps,0.16243331996106156
kalofolias,rbfi_tps,0.16243331996106156
aew,rbfi_tps,0.16243331996106156
gaussian,rbfi_tps,0.16243331996106156
nnk,rbfi_tps,0.16243331996106156
knn,rbfi_tps,0.16243331996106156
vknng,rbfi_tps,0.16243331996106156
vknng,rbfi_mq,0.17144982549441282
aew,rbfi_mq,0.17144982549441282
gaussian,rbfi_mq,0.17144982549441282
kalofolias,rbfi_mq,0.17144982549441282
nnk,rbfi_mq,0.17144982549441282
knn,rbfi_mq,0.17144982549441282
knng,rbfi_mq,0.17144982549441282
knng,tikhonov,0.17859447508552523
nnk,spherical_spline,0.17980514527106253
knn,spherical_spline,0.17980514527106253
knng,spherical_spline,0.17980514527106253
gaussian,spherical_spline,0.17980514527106253
kalofolias,spherical_spline,0.17980514527106253
vknng,spherical_spline,0.17980514527106253
aew,spherical_spline,0.17980514527106253
aew,graph_time_tikhonov,0.18736802871184444
vknng,tikhonov,0.19031573056035908
knn,tikhonov,0.19037308306224468
nnk,puy,0.20469496833164583
gaussian,tikhonov,0.21438326777298214
nnk,spline_surface,0.21661834041397796
knng,spline_surface,0.21661834041397796
gaussian,spline_surface,0.21661834041397796
aew,spline_surface,0.21661834041397796
kalofolias,spline_surface,0.21661834041397796
knn,spline_surface,0.21661834041397796
vknng,spline_surface,0.21661834041397796
nnk,graph_time_tikhonov,0.23299027015217527
aew,temporal_laplacian,0.2669274702750447
nnk,temporal_laplacian,0.2887655464773218
knng,graph_time_tikhonov,0.29303559291534903
knng,puy,0.2972066065772616
aew,sobolev,0.3048121284806435
knn,graph_time_tikhonov,0.3115489670889569
vknng,graph_time_tikhonov,0.3135435492764126
knn,puy,0.3280920425739376
knng,temporal_laplacian,0.3288939290290743
vknng,puy,0.3318928990807537
knn,temporal_laplacian,0.3427027515038546
vknng,temporal_laplacian,0.34308783218758265
gaussian,graph_time_tikhonov,0.3583689615186084
nnk,sobolev,0.3611261367361212
nnk,bgsrp,0.36528465450747016
knng,bgsrp,0.36636815922010024
vknng,bgsrp,0.3674908251369559
knn,bgsrp,0.36857727925547973
aew,bgsrp,0.37458258964901586
gaussian,bgsrp,0.378228835349244
gaussian,temporal_laplacian,0.37826796766812987
gaussian,puy,0.40297224268016935
knng,sobolev,0.4175675116299111
knn,sobolev,0.4273084588676235
vknng,sobolev,0.429439741815742
kalofolias,tikhonov,0.4479668334968127
gaussian,sobolev,0.45351732091546554
kalofolias,bgsrp,0.4558237846510342
kalofolias,graph_time_tikhonov,0.4564334104363788
kalofolias,puy,0.4577326060751481
kalofolias,sobolev,0.46341129200684117
kalofolias,temporal_laplacian,0.46693853399183494
kalofolias,heat_diffusion_temporal,1.122594311969383
aew,spline_temporal,
gaussian,spline_temporal,
kalofolias,spline_temporal,
knn,spline_temporal,
knng,spline_temporal,
nnk,spline_temporal,
vknng,spline_temporal,
