dataset,data_source,method,family,mae_mean,mae_std,rmse_mean,snr_mean,n_runs,rank
physionet_eegmmidb,real,spline_temporal,tv_time,,,,,0,0
physionet_eegmmidb,real,tv,tv_time,7.264931580326073e-06,4.133420072000144e-06,1.8102365387149245e-05,2.420982266415412,32,1
physionet_eegmmidb,real,mean,instant,7.293007691093628e-06,4.1281335990582555e-06,1.821286950815846e-05,2.3589069594425776,32,2
physionet_eegmmidb,real,idw,instant,7.2961943054007225e-06,4.4270689559069975e-06,1.8206662814473752e-05,2.979926912719081,32,3
physionet_eegmmidb,real,gsmooth,instant,7.319593635866568e-06,4.5210715447810956e-06,1.782164101285949e-05,2.986609975446954,32,4
physionet_eegmmidb,real,linear,instant,7.468022017045454e-06,5.301161747484581e-06,1.9594688037215827e-05,3.2205500028782383,32,5
physionet_eegmmidb,real,trss,tv_time,7.509585087499219e-06,4.775639352606343e-06,1.8318987112365503e-05,3.009210325149432,32,6
physionet_eegmmidb,real,heat_diffusion_temporal,tv_time,7.666984667054466e-06,4.574092096097218e-06,1.9762480656704567e-05,1.929626923057945,32,7
physionet_eegmmidb,real,gsp,instant,7.724434058849701e-06,5.11002917909379e-06,1.883096924274291e-05,2.890106390186422,32,8
physionet_eegmmidb,real,nearest,instant,7.953302556818181e-06,4.484526280712335e-06,2.274396777750518e-05,2.0708237046188502,32,9
physionet_eegmmidb,real,directed_tv,tv_time,8.584565411908399e-06,4.962850284151134e-06,2.2862851042656972e-05,0.7097380448299075,32,10
physionet_eegmmidb,real,rbfi_tps,instant,9.36004602019595e-06,6.916884899454797e-06,2.3431606279820113e-05,1.854266107185535,32,11
physionet_eegmmidb,real,wavelet_temporal,tv_time,9.395125688129118e-06,5.1209657709327585e-06,2.4513787859281854e-05,24.394809854049385,32,12
physionet_eegmmidb,real,rbfi_mq,instant,1.0604961430030309e-05,7.660251972438914e-06,2.6425927827670676e-05,0.6663834627413135,32,13
physionet_eegmmidb,real,tikhonov,instant,1.2386843683283383e-05,5.113116488382275e-06,2.1370192053731287e-05,14.674904032047639,32,14
physionet_eegmmidb,real,spherical_spline,instant,1.3575276063881622e-05,1.184703662925506e-05,3.490390183309235e-05,-0.36375822480088105,32,15
physionet_eegmmidb,real,spline_surface,instant,1.4431218520992862e-05,8.146480829644473e-06,4.0485525231832815e-05,-2.3087802145013927,32,16
physionet_eegmmidb,real,graph_time_tikhonov,tv_time,2.104826607396559e-05,4.46465816900764e-06,3.069338289014862e-05,6.456016238716828,32,17
