method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.3633,0.2181,0.4484,0.2846,0.4419,32
bgsrp,0.1,rmse,0.4389,0.2605,0.5518,0.345,0.5328,32
bgsrp,0.1,snr,3.0716,1.7401,2.7552,2.4442,3.699,32
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.3746,0.2243,0.4619,0.2937,0.4555,32
bgsrp,0.2,rmse,0.4595,0.2722,0.5782,0.3614,0.5577,32
bgsrp,0.2,snr,2.8688,1.6599,2.6005,2.2703,3.4673,32
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.3859,0.2299,0.4833,0.303,0.4688,32
bgsrp,0.3,rmse,0.4853,0.2874,0.6124,0.3817,0.5889,32
bgsrp,0.3,snr,2.8019,1.5948,2.4112,2.2269,3.3769,32
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.3987,0.2369,0.508,0.3133,0.4841,32
bgsrp,0.4,rmse,0.5143,0.3062,0.6562,0.4039,0.6247,32
bgsrp,0.4,snr,2.5285,1.2301,2.3425,2.085,2.972,32
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0629,0.0403,0.0741,0.0483,0.0774,32
directed_tv,0.1,rmse,0.2189,0.1424,0.2493,0.1675,0.2702,32
directed_tv,0.1,snr,-0.9594,1.9424,-0.0449,-1.6597,-0.2592,32
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.109,0.0676,0.1331,0.0847,0.1334,32
directed_tv,0.2,rmse,0.2783,0.1721,0.3294,0.2162,0.3404,32
directed_tv,0.2,snr,-0.5373,1.3701,-0.2792,-1.0313,-0.0433,32
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.1541,0.0907,0.2007,0.1214,0.1868,32
directed_tv,0.3,rmse,0.3172,0.1875,0.4077,0.2495,0.3848,32
directed_tv,0.3,snr,-0.0698,0.6146,-0.0523,-0.2914,0.1517,32
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.1975,0.1166,0.2606,0.1554,0.2395,32
directed_tv,0.4,rmse,0.3555,0.2095,0.4627,0.2799,0.431,32
directed_tv,0.4,snr,-0.0582,0.5403,-0.0942,-0.253,0.1366,32
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.2741,0.1939,0.3359,0.2042,0.344,32
graph_time_tikhonov,0.1,rmse,0.335,0.2202,0.4067,0.2556,0.4144,32
graph_time_tikhonov,0.1,snr,6.2042,3.6664,5.5101,4.8823,7.526,32
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.2947,0.1982,0.3687,0.2232,0.3662,32
graph_time_tikhonov,0.2,rmse,0.3659,0.2293,0.4577,0.2832,0.4486,32
graph_time_tikhonov,0.2,snr,5.6459,3.3235,5.0097,4.4476,6.8441,32
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.3219,0.2056,0.4079,0.2477,0.396,32
graph_time_tikhonov,0.3,rmse,0.4049,0.2454,0.5132,0.3164,0.4934,32
graph_time_tikhonov,0.3,snr,4.953,2.9032,4.3436,3.9063,5.9997,32
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.3418,0.2122,0.4358,0.2653,0.4183,32
graph_time_tikhonov,0.4,rmse,0.429,0.2562,0.5443,0.3367,0.5214,32
graph_time_tikhonov,0.4,snr,4.2472,2.4384,3.8248,3.368,5.1263,32
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.054,0.0327,0.0655,0.0423,0.0658,32
gsmooth,0.1,rmse,0.1837,0.1092,0.2302,0.1443,0.2231,32
gsmooth,0.1,snr,0.2719,0.9806,-0.0559,-0.0817,0.6254,32
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.0966,0.0569,0.1244,0.0761,0.1172,32
gsmooth,0.2,rmse,0.2445,0.1436,0.3234,0.1927,0.2963,32
gsmooth,0.2,snr,0.8934,1.7589,0.1329,0.2593,1.5276,32
