method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4843,0.0542,0.4622,0.4615,0.5072,24
bgsrp,0.1,rmse,0.5852,0.0466,0.5627,0.5655,0.6049,24
bgsrp,0.1,snr,2.1959,0.8626,2.515,1.8317,2.5602,24
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4995,0.0525,0.4749,0.4773,0.5217,24
bgsrp,0.2,rmse,0.6127,0.0439,0.598,0.5942,0.6313,24
bgsrp,0.2,snr,2.0339,0.8194,2.3694,1.6879,2.38,24
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5145,0.047,0.4944,0.4947,0.5344,24
bgsrp,0.3,rmse,0.6471,0.0457,0.64,0.6278,0.6664,24
bgsrp,0.3,snr,2.0537,0.9677,2.1992,1.645,2.4623,24
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5316,0.0437,0.5257,0.5131,0.55,24
bgsrp,0.4,rmse,0.6857,0.0609,0.6797,0.66,0.7114,24
bgsrp,0.4,snr,2.0093,0.897,2.0577,1.6305,2.3881,24
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0838,0.0188,0.076,0.0759,0.0918,24
directed_tv,0.1,rmse,0.2918,0.0716,0.2571,0.2616,0.3221,24
directed_tv,0.1,snr,-1.4973,1.9691,-0.606,-2.3288,-0.6658,24
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1454,0.0254,0.1383,0.1347,0.1561,24
directed_tv,0.2,rmse,0.371,0.0635,0.3435,0.3442,0.3978,24
directed_tv,0.2,snr,-1.0272,1.2363,-0.4264,-1.5492,-0.5051,24
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2054,0.0086,0.2026,0.2018,0.2091,24
directed_tv,0.3,rmse,0.4229,0.0276,0.4126,0.4112,0.4345,24
directed_tv,0.3,snr,-0.3051,0.5273,-0.1463,-0.5277,-0.0824,24
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2633,0.0155,0.2701,0.2567,0.2698,24
directed_tv,0.4,rmse,0.4739,0.0243,0.4754,0.4637,0.4842,24
directed_tv,0.4,snr,-0.2832,0.4269,-0.1942,-0.4634,-0.1029,24
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3654,0.1258,0.3657,0.3123,0.4186,24
graph_time_tikhonov,0.1,rmse,0.4466,0.1154,0.4368,0.3979,0.4954,24
graph_time_tikhonov,0.1,snr,5.7866,3.9547,4.9013,4.1166,7.4565,24
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3929,0.1126,0.387,0.3454,0.4405,24
graph_time_tikhonov,0.2,rmse,0.4878,0.0937,0.4741,0.4483,0.5274,24
