method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.5266,0.0873,0.5337,0.435,0.6182,6
bgsrp,0.1,rmse,0.6228,0.0724,0.6306,0.5468,0.6988,6
bgsrp,0.1,snr,1.5882,1.3888,1.435,0.1308,3.0457,6
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.5409,0.0769,0.5541,0.4602,0.6216,6
bgsrp,0.2,rmse,0.6504,0.0463,0.6567,0.6018,0.699,6
bgsrp,0.2,snr,1.3939,1.2203,1.2268,0.1133,2.6745,6
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5568,0.0681,0.5804,0.4853,0.6282,6
bgsrp,0.3,rmse,0.6884,0.0394,0.6919,0.647,0.7297,6
bgsrp,0.3,snr,1.4816,1.6339,0.875,-0.233,3.1962,6
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5654,0.053,0.5725,0.5098,0.621,6
bgsrp,0.4,rmse,0.7208,0.0282,0.7187,0.6912,0.7503,6
bgsrp,0.4,snr,1.7102,1.7977,1.4288,-0.1764,3.5968,6
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0814,0.0183,0.0777,0.0623,0.1006,6
directed_tv,0.1,rmse,0.283,0.0674,0.2622,0.2123,0.3538,6
directed_tv,0.1,snr,-1.2724,1.8983,-0.6968,-3.2646,0.7197,6
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1447,0.0274,0.1335,0.116,0.1735,6
directed_tv,0.2,rmse,0.3682,0.0714,0.346,0.2933,0.4432,6
directed_tv,0.2,snr,-1.0213,1.3712,-0.6934,-2.4602,0.4176,6
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2095,0.0132,0.2044,0.1957,0.2234,6
directed_tv,0.3,rmse,0.4321,0.0405,0.4233,0.3897,0.4746,6
directed_tv,0.3,snr,-0.4929,0.7616,-0.0965,-1.2922,0.3064,6
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2655,0.0153,0.2688,0.2494,0.2815,6
directed_tv,0.4,rmse,0.4782,0.0317,0.4793,0.4449,0.5114,6
directed_tv,0.4,snr,-0.3904,0.617,-0.1114,-1.0379,0.2572,6
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.4231,0.1999,0.4158,0.2133,0.6329,6
graph_time_tikhonov,0.1,rmse,0.5113,0.1927,0.5094,0.3091,0.7135,6
graph_time_tikhonov,0.1,snr,4.8168,4.8949,4.8252,-0.3201,9.9536,6
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.4455,0.1783,0.4435,0.2584,0.6327,6
graph_time_tikhonov,0.2,rmse,0.5477,0.1552,0.5469,0.3848,0.7107,6
graph_time_tikhonov,0.2,snr,4.3772,4.455,4.3141,-0.298,9.0524,6
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4746,0.1485,0.4731,0.3188,0.6305,6
graph_time_tikhonov,0.3,rmse,0.5917,0.1159,0.5983,0.4701,0.7134,6
graph_time_tikhonov,0.3,snr,3.798,3.8653,3.7747,-0.2584,7.8544,6
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4952,0.1281,0.4981,0.3607,0.6296,6
graph_time_tikhonov,0.4,rmse,0.6147,0.0914,0.6139,0.5188,0.7106,6
graph_time_tikhonov,0.4,snr,3.2774,3.3547,3.1802,-0.2431,6.7979,6
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0734,0.0105,0.0687,0.0624,0.0844,6
gsmooth,0.1,rmse,0.2494,0.0236,0.241,0.2246,0.2742,6
gsmooth,0.1,snr,-0.3288,0.4018,-0.3608,-0.7505,0.0928,6
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1319,0.0073,0.1314,0.1242,0.1396,6
gsmooth,0.2,rmse,0.3328,0.01,0.3305,0.3223,0.3433,6
gsmooth,0.2,snr,-0.2879,0.2976,-0.4234,-0.6003,0.0244,6
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2117,0.0077,0.2095,0.2036,0.2198,6
gsmooth,0.3,rmse,0.4307,0.0158,0.4275,0.4141,0.4473,6
gsmooth,0.3,snr,-0.637,0.3146,-0.6117,-0.9672,-0.3069,6
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2683,0.024,0.2769,0.2432,0.2935,6
gsmooth,0.4,rmse,0.4819,0.0276,0.4868,0.453,0.5109,6
gsmooth,0.4,snr,-0.5069,0.2625,-0.4565,-0.7824,-0.2314,6
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0857,0.0152,0.0845,0.0697,0.1016,6
gsp,0.1,rmse,0.2986,0.0512,0.2955,0.2448,0.3523,6
gsp,0.1,snr,-1.7686,1.3198,-1.5084,-3.1536,-0.3836,6
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1549,0.0297,0.1505,0.1237,0.186,6
gsp,0.2,rmse,0.404,0.0676,0.3852,0.333,0.4749,6
gsp,0.2,snr,-1.8328,1.1778,-1.518,-3.0688,-0.5968,6
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.2403,0.0303,0.2318,0.2086,0.2721,6
gsp,0.3,rmse,0.503,0.0657,0.4864,0.4341,0.572,6
gsp,0.3,snr,-1.893,1.0303,-1.6952,-2.9743,-0.8118,6
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.3037,0.0622,0.2895,0.2384,0.3689,6
gsp,0.4,rmse,0.5577,0.1031,0.5324,0.4495,0.6658,6
gsp,0.4,snr,-1.6562,1.3208,-1.3282,-3.0423,-0.2701,6
