method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.3,mae,0.5145,0.047,0.4944,0.4947,0.5344,24
bgsrp,0.3,rmse,0.6471,0.0457,0.64,0.6278,0.6664,24
bgsrp,0.3,snr,2.0537,0.9677,2.1992,1.645,2.4623,24
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5316,0.0437,0.5257,0.5131,0.55,24
bgsrp,0.4,rmse,0.6857,0.0609,0.6797,0.66,0.7114,24
bgsrp,0.4,snr,2.0093,0.897,2.0577,1.6305,2.3881,24
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.3,mae,0.2054,0.0086,0.2026,0.2018,0.2091,24
directed_tv,0.3,rmse,0.4229,0.0276,0.4126,0.4112,0.4345,24
directed_tv,0.3,snr,-0.3051,0.5273,-0.1463,-0.5277,-0.0824,24
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2633,0.0155,0.2701,0.2567,0.2698,24
directed_tv,0.4,rmse,0.4739,0.0243,0.4754,0.4637,0.4842,24
directed_tv,0.4,snr,-0.2832,0.4269,-0.1942,-0.4634,-0.1029,24
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4292,0.0945,0.4263,0.3892,0.4691,24
graph_time_tikhonov,0.3,rmse,0.5398,0.0717,0.5274,0.5096,0.5701,24
graph_time_tikhonov,0.3,snr,4.5179,3.078,3.8782,3.2182,5.8176,24
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4557,0.0807,0.4467,0.4216,0.4898,24
graph_time_tikhonov,0.4,rmse,0.572,0.0558,0.559,0.5485,0.5956,24
graph_time_tikhonov,0.4,snr,3.9218,2.6542,3.4964,2.8011,5.0426,24
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.3,mae,0.2082,0.0075,0.2048,0.2051,0.2114,24
gsmooth,0.3,rmse,0.4243,0.0159,0.417,0.4176,0.4311,24
gsmooth,0.3,snr,-0.4705,0.3276,-0.4385,-0.6089,-0.3322,24
gsmooth,0.3,dtw,,,,,,0
