dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,knn__k3,mean,0.1,0,1.302518555612275e-06,9.58424566602215e-06,17.086907257598877,3.4810900218583854e-05,{},,2,0.003829373999906238
bci_iv2a_real_s1,knn__k3,nearest,0.1,0,1.370843251546224e-06,1.1299375316389981e-05,18.943749086561077,3.7591485036886706e-05,{},,2,0.0052189529999395745
bci_iv2a_real_s1,knn__k3,tikhonov,0.1,0,4.574866341042775e-06,1.1611047064243244e-05,14.666669768821743,4.749338281466955e-05,"{""alpha"": 0.1}",,2,0.012799767999922551
bci_iv2a_real_s1,knn__k3,tv,0.1,0,1.3024464293092591e-06,9.584054283788978e-06,17.08789207236443,3.481030357392741e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.3068652709998787
bci_iv2a_real_s1,knn__k3,trss,0.1,0,9.15253457092828e-07,6.52383074057206e-06,19.9515690297575,2.51039936280471e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.0347961209999994
bci_iv2a_real_s1,knn__k3,graph_time_tikhonov,0.1,0,9.333080645401722e-06,1.9158250473118722e-05,9.661012569609953,8.256790328467304e-05,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.01610282699994059
bci_iv2a_real_s1,knn__k3,temporal_laplacian,0.1,0,1.4248210347080753e-05,2.6101744202904227e-05,3.5487284783214057,0.00015703987724459794,"{""alpha"": 0.5, ""beta"": 0.5}",,2,7.262506960999872
bci_iv2a_real_s1,knn__k3,mean,0.1,1,1.2371831951719343e-06,8.803374847809536e-06,17.037335721614458,3.707961847476971e-05,{},,2,0.0036501739998584526
bci_iv2a_real_s1,knn__k3,nearest,0.1,1,1.2545013427734374e-06,1.0322921615394744e-05,18.13410391000613,4.212206469292778e-05,{},,2,0.005127453000113746
bci_iv2a_real_s1,knn__k3,tikhonov,0.1,1,4.527648343444427e-06,1.1018065081083841e-05,14.71006159359474,4.860318817336059e-05,"{""alpha"": 0.1}",,2,0.013292001000081655
bci_iv2a_real_s1,knn__k3,tv,0.1,1,1.2371171765586735e-06,8.803194999867228e-06,17.038377007019424,3.7078115422285905e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.3053148419999161
bci_iv2a_real_s1,knn__k3,trss,0.1,1,8.438957079420025e-07,5.845710950178186e-06,20.17344426878302,2.696449053430188e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.032107939999832524
