dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
iv100hz_mat,knn__k3,mean,0.1,0,20.300082859848484,92.6319736128069,13.487728325859882,524.8877708742538,{},,2,0.003716554999982691
iv100hz_mat,knn__k3,nearest,0.1,0,32.924869791666666,132.59273337068035,9.288840930491547,855.7829514352608,{},,2,0.005147861000068588
iv100hz_mat,knn__k3,tikhonov,0.1,0,82.81340095344575,127.89512806613382,13.200655187986698,739.5679736107822,"{""alpha"": 0.1}",,2,0.012947610999844983
iv100hz_mat,knn__k3,tv,0.1,0,16.144188499833536,79.70714137802864,15.77443410918486,430.20400398327456,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.29150500600007945
iv100hz_mat,knn__k3,trss,0.1,0,15.72296840791599,67.96599092497078,15.544968867000733,401.2520949638347,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.03358953700012535
iv100hz_mat,knn__k3,graph_time_tikhonov,0.1,0,158.63957401618717,205.9726975251861,13.18669235452252,1031.3516568387233,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.016414953999856152
iv100hz_mat,knn__k3,temporal_laplacian,0.1,0,194.59094631606055,254.51301996808007,6.439172437764832,1579.8566982388475,"{""alpha"": 0.5, ""beta"": 0.5}",,2,7.342315565000035
iv100hz_mat,knn__k3,mean,0.1,1,20.536801609848485,91.85533458788372,13.65542531119184,470.66235979472134,{},,2,0.00363148600013119
iv100hz_mat,knn__k3,nearest,0.1,1,33.57265625,135.12099708841208,9.368187826324137,783.3641620637915,{},,2,0.005098257999861744
iv100hz_mat,knn__k3,tikhonov,0.1,1,83.40780126848973,130.21753756556652,13.245960791613689,712.3750227016984,"{""alpha"": 0.1}",,2,0.012956937000126345
iv100hz_mat,knn__k3,tv,0.1,1,18.592109627983085,90.1876862277472,15.106977250245128,408.67635351127365,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.2920776500000102
iv100hz_mat,knn__k3,trss,0.1,1,16.440296422322216,70.62668924711014,15.766067719422871,384.69559871062165,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.032828680999955395
iv100hz_mat,knn__k3,graph_time_tikhonov,0.1,1,158.58464171848297,206.4181482308712,13.181033391099882,1028.8718918663888,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.016514606000100684
iv100hz_mat,knn__k3,temporal_laplacian,0.1,1,194.2924397617103,254.052943210672,6.4930936728391835,1561.8450076109718,"{""alpha"": 0.5, ""beta"": 0.5}",,2,7.251138664999871
iv100hz_mat,knn__k3,mean,0.1,2,19.9141571969697,91.28029238878054,13.808047847672697,493.49889338761176,{},,2,0.0035656340000969067
iv100hz_mat,knn__k3,nearest,0.1,2,33.71302083333333,135.92638843475783,9.4746909104795,844.1762658924159,{},,2,0.004992110999864963
iv100hz_mat,knn__k3,tikhonov,0.1,2,83.02460547345396,129.43999370604604,13.296711471372271,744.259371931971,"{""alpha"": 0.1}",,2,0.013002039999946646
iv100hz_mat,knn__k3,tv,0.1,2,17.272434311733754,83.5083701739582,15.075852658875142,450.138087418562,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.28936006799995084
iv100hz_mat,knn__k3,trss,0.1,2,16.10981901837642,69.66359504121175,15.572616177482944,426.67880849758603,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.03262782799993147
iv100hz_mat,knn__k3,graph_time_tikhonov,0.1,2,158.37705266995445,206.11064062966827,13.318970476433059,1035.5972937708755,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.01624488599986762
iv100hz_mat,knn__k3,temporal_laplacian,0.1,2,194.5798330604688,254.6481032042595,6.4676360546475005,1560.3901951159423,"{""alpha"": 0.5, ""beta"": 0.5}",,2,7.273328355000103
iv100hz_mat,knn__k3,mean,0.1,3,20.582350852272725,94.5741271518626,13.858371158440008,516.2273250230354,{},,2,0.003573298999981489
iv100hz_mat,knn__k3,nearest,0.1,3,33.446223958333334,134.87720736917834,9.43145799225515,850.8953290010173,{},,2,0.005074434000107431
iv100hz_mat,knn__k3,tikhonov,0.1,3,83.17782028524856,130.50047256437153,13.14914288353471,745.8380438971767,"{""alpha"": 0.1}",,2,0.01275295899995399
iv100hz_mat,knn__k3,tv,0.1,3,17.550192937901944,85.9034827985494,14.581685057986784,500.69499815671975,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.3036050000000614
iv100hz_mat,knn__k3,trss,0.1,3,16.050269592568817,69.58516885019908,15.611267955079379,414.1349151106695,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.03164691999995739
iv100hz_mat,knn__k3,graph_time_tikhonov,0.1,3,158.64539927707574,206.6302857783683,13.232249523139686,1046.8091040142187,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.016207045999863112
iv100hz_mat,knn__k3,temporal_laplacian,0.1,3,195.05900047937922,255.54006449644484,6.437213856998444,1583.2774213581126,"{""alpha"": 0.5, ""beta"": 0.5}",,2,7.271840031000011
iv100hz_mat,knn__k3,mean,0.1,4,20.273544034090907,93.36787178144333,13.718387127408983,556.4485262414577,{},,2,0.003585161999808406
iv100hz_mat,knn__k3,nearest,0.1,4,32.69153645833333,132.18887262880716,9.44695803944169,872.7209462541183,{},,2,0.005082219000087207
iv100hz_mat,knn__k3,tikhonov,0.1,4,82.95384625130541,128.52939521778757,13.346018467325072,763.9369768363526,"{""alpha"": 0.1}",,2,0.012806018999981461
