method,mae_mean,mae_std,mae_median,time_mean_sec
trss,5.649530537393003e-06,1.0438098755091161e-06,5.099971186816175e-06,0.02094805937485944
rbfi_tps,5.691620032471166e-06,5.2914723771374775e-08,5.701679403905436e-06,0.03444502812499195
rbfi_mq,6.000225881908493e-06,4.96249352364318e-08,5.9876826845584934e-06,0.03313631562446062
spline_surface,6.143188754502473e-06,3.7703347192156404e-08,6.14637428801549e-06,0.0420004312495621
idw,6.462192028056823e-06,1.1097184701614417e-07,6.413348854369281e-06,0.015589034374670518
gsp,6.833916800779616e-06,1.4342292152948024e-06,6.145542006876021e-06,0.005565018749393857
spherical_spline,7.895151165011218e-06,7.891183106521088e-08,7.908232854526938e-06,0.29675409062519975
gsmooth,7.936260290861708e-06,7.947625611042798e-07,7.563174181065698e-06,0.05149582500007455
tv,9.17443112789542e-06,1.776283218599045e-07,9.173526604168844e-06,0.1794814375000442
linear,9.231373000372024e-06,6.317800066303981e-08,9.229714161706347e-06,0.0017742062500474276
mean,9.263663194444444e-06,1.477684982083428e-07,9.251927083333333e-06,0.002325646874623999
nearest,1.046318359375e-05,9.464728786517117e-08,1.0461458333333333e-05,0.008738806251358255
tikhonov,1.087510074448211e-05,4.092355828957113e-06,9.3231938291268e-06,0.006880393749270297
spline_temporal,1.1654829380302845e-05,2.7209503884245993e-06,1.1134885641167803e-05,0.007638431250143185
heat_diffusion_temporal,1.4080247908455694e-05,3.8884035844731e-06,1.2813644102202036e-05,0.04360974687574526
bgsrp,1.4568092865200776e-05,2.753816344437098e-06,1.3414550775172143e-05,0.023433215625345838
wavelet_temporal,1.524101043027496e-05,2.0362684312340692e-07,1.5231150185981402e-05,0.007548259374971167
directed_tv,1.5253893871950795e-05,1.8362986752554508e-08,1.5262909027416495e-05,0.3693412531249578
graph_time_tikhonov,1.5423521399337542e-05,4.121259092247125e-06,1.4487493167154157e-05,0.009337674999869705
puy,1.637666574771199e-05,4.806986597669981e-06,1.5438136428886333e-05,0.006962418749481003
sobolev,3.067406526850881e-05,9.373691176767641e-07,3.052956787801979e-05,0.00555582812467037
temporal_laplacian,3.324789348435615e-05,4.146358263443777e-06,3.3461879187076525e-05,1.574830868749359
