dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,mean,0.2,0,4.1027343749999996e-06,1.2723943657038881e-05,12.607840552159239,8.528107809412185e-05,{},,5,0.003236049999941315
physionet_eegmmidb_real,knn__k3,tikhonov,0.2,0,5.552986901138474e-06,9.28847273006515e-06,16.036878151142535,6.718043900701e-05,"{""alpha"": 0.1}",,5,0.009821492999890324
physionet_eegmmidb_real,knn__k3,tv,0.2,0,4.008073239670032e-06,1.2449215108386551e-05,12.8132483280073,8.379795962759039e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.23808006300009765
physionet_eegmmidb_real,knn__k3,trss,0.2,0,1.9701054999556253e-06,6.366169015640101e-06,18.813178467224358,4.699566391951415e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02993699600006039
physionet_eegmmidb_real,knn__k3,mean,0.2,1,4.053854166666666e-06,1.2562885618045056e-05,12.771545140918112,8.14038183392027e-05,{},,5,0.003222600000071907
physionet_eegmmidb_real,knn__k3,tikhonov,0.2,1,5.5282953589722206e-06,9.197986120720166e-06,16.216950268893417,6.3344462568287e-05,"{""alpha"": 0.1}",,5,0.009578605999877254
physionet_eegmmidb_real,knn__k3,tv,0.2,1,3.956001283198891e-06,1.2276794768429361e-05,12.990674430801766,7.931911002793638e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.23979660299983152
physionet_eegmmidb_real,knn__k3,trss,0.2,1,1.9551257033746426e-06,6.300972301324405e-06,18.916721628960026,4.1637623240966297e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.029777895000052013
physionet_eegmmidb_real,knn__k3,mean,0.4,0,9.219644097222222e-06,1.9095515534849188e-05,9.283725370028163,0.00012225408634858057,{},,10,0.0032014280000112194
physionet_eegmmidb_real,knn__k3,tikhonov,0.4,0,8.328306600790128e-06,1.3747683959389519e-05,12.566476588085564,9.340363502726997e-05,"{""alpha"": 0.1}",,10,0.009692217999827335
physionet_eegmmidb_real,knn__k3,tv,0.4,0,9.053678010413866e-06,1.8777537566923555e-05,9.438769282793135,0.00012082985704425468,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.2380286249999699
physionet_eegmmidb_real,knn__k3,trss,0.4,0,5.089423933590765e-06,1.1054507346921676e-05,14.105716408128517,7.917954811807199e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.03135035700006483
physionet_eegmmidb_real,knn__k3,mean,0.4,1,9.477855902777778e-06,1.950164055598913e-05,9.043851701942744,0.00012459347622736046,{},,10,0.0031982939999579685
physionet_eegmmidb_real,knn__k3,tikhonov,0.4,1,8.52280837748629e-06,1.3936272885276569e-05,12.270164293743369,9.65883801817958e-05,"{""alpha"": 0.1}",,10,0.009610453000050256
physionet_eegmmidb_real,knn__k3,tv,0.4,1,9.311170668546325e-06,1.9186178329663155e-05,9.197323054678172,0.000122603461345539,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.23660212499999034
physionet_eegmmidb_real,knn__k3,trss,0.4,1,5.1720280755361525e-06,1.107628588961983e-05,13.888320248120019,7.945390697189155e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.031165617000169732
physionet_eegmmidb_real,gaussian__sigma1.0,mean,0.2,0,4.1027343749999996e-06,1.2723943657038881e-05,12.607840552159239,8.528107809412185e-05,{},,5,0.003171693000012965
physionet_eegmmidb_real,gaussian__sigma1.0,tikhonov,0.2,0,1.782833280731211e-05,2.295832329106201e-05,8.611306795465746,0.00015208855127660792,"{""alpha"": 0.1}",,5,0.009643213999879663
