method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4692,0.0329,0.4517,0.4347,0.5036,6
bgsrp,0.1,rmse,0.5735,0.0308,0.5562,0.5412,0.6058,6
bgsrp,0.1,snr,2.3934,0.5633,2.6661,1.8023,2.9845,6
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.482,0.0368,0.4645,0.4435,0.5206,6
bgsrp,0.2,rmse,0.5981,0.0385,0.5778,0.5577,0.6385,6
bgsrp,0.2,snr,2.2672,0.568,2.5871,1.6712,2.8633,6
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.4941,0.0273,0.4802,0.4654,0.5227,6
bgsrp,0.3,rmse,0.6256,0.0347,0.6124,0.5892,0.662,6
bgsrp,0.3,snr,2.2663,0.4662,2.4112,1.777,2.7555,6
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5117,0.0383,0.5057,0.4715,0.5518,6
bgsrp,0.4,rmse,0.6706,0.0496,0.6634,0.6185,0.7226,6
bgsrp,0.4,snr,2.2868,0.3309,2.3526,1.9396,2.634,6
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0805,0.0123,0.076,0.0676,0.0934,6
directed_tv,0.1,rmse,0.2786,0.0438,0.2551,0.2326,0.3245,6
directed_tv,0.1,snr,-1.2052,1.5814,-0.606,-2.8648,0.4543,6
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.145,0.0242,0.1398,0.1197,0.1704,6
directed_tv,0.2,rmse,0.3669,0.0553,0.3423,0.3088,0.425,6
directed_tv,0.2,snr,-1.0261,1.0285,-0.4159,-2.1054,0.0532,6
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2021,0.0023,0.2011,0.1997,0.2045,6
directed_tv,0.3,rmse,0.412,0.0031,0.4126,0.4087,0.4153,6
directed_tv,0.3,snr,-0.1951,0.1491,-0.1854,-0.3516,-0.0387,6
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2617,0.0185,0.2724,0.2422,0.2811,6
directed_tv,0.4,rmse,0.4705,0.0184,0.4754,0.4513,0.4898,6
directed_tv,0.4,snr,-0.2387,0.0407,-0.2354,-0.2814,-0.196,6
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3589,0.0207,0.3657,0.3372,0.3806,6
graph_time_tikhonov,0.1,rmse,0.4307,0.0219,0.4368,0.4077,0.4537,6
graph_time_tikhonov,0.1,snr,5.0945,0.5655,4.9013,4.501,5.688,6
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3864,0.0176,0.3865,0.368,0.4049,6
graph_time_tikhonov,0.2,rmse,0.4708,0.0163,0.4713,0.4536,0.4879,6
graph_time_tikhonov,0.2,snr,4.6095,0.4903,4.5126,4.095,5.124,6
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4226,0.0149,0.4232,0.407,0.4381,6
graph_time_tikhonov,0.3,rmse,0.522,0.0175,0.5224,0.5037,0.5403,6
graph_time_tikhonov,0.3,snr,3.9793,0.4194,3.8782,3.5392,4.4195,6
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4497,0.015,0.4442,0.4339,0.4654,6
graph_time_tikhonov,0.4,rmse,0.557,0.0157,0.559,0.5405,0.5735,6
graph_time_tikhonov,0.4,snr,3.4722,0.3513,3.4964,3.1036,3.8408,6
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0716,0.0097,0.0657,0.0614,0.0818,6
gsmooth,0.1,rmse,0.2434,0.0214,0.232,0.2209,0.2659,6
gsmooth,0.1,snr,-0.1284,0.3235,-0.1225,-0.468,0.2111,6
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1285,0.0039,0.1286,0.1243,0.1326,6
gsmooth,0.2,rmse,0.3245,0.0031,0.3258,0.3212,0.3277,6
gsmooth,0.2,snr,-0.0633,0.3202,0.048,-0.3994,0.2727,6
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2074,0.0074,0.2031,0.1996,0.2151,6
gsmooth,0.3,rmse,0.4224,0.0172,0.4162,0.4043,0.4404,6
gsmooth,0.3,snr,-0.4411,0.3044,-0.4262,-0.7606,-0.1216,6
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2634,0.0205,0.2702,0.2419,0.2849,6
gsmooth,0.4,rmse,0.4737,0.0218,0.476,0.4508,0.4966,6
gsmooth,0.4,snr,-0.3563,0.1781,-0.2842,-0.5432,-0.1694,6
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0784,0.0072,0.0803,0.0709,0.086,6
gsp,0.1,rmse,0.2717,0.0184,0.2826,0.2524,0.291,6
gsp,0.1,snr,-1.0744,0.4201,-0.9199,-1.5152,-0.6335,6
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1396,0.0131,0.1374,0.1258,0.1534,6
gsp,0.2,rmse,0.361,0.0243,0.3496,0.3355,0.3866,6
gsp,0.2,snr,-0.9191,0.4801,-0.8598,-1.4229,-0.4153,6
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.2177,0.0106,0.2152,0.2066,0.2288,6
gsp,0.3,rmse,0.452,0.023,0.451,0.4278,0.4762,6
gsp,0.3,snr,-1.0166,0.4576,-1.144,-1.4968,-0.5363,6
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.2805,0.0263,0.2912,0.2529,0.308,6
gsp,0.4,rmse,0.52,0.0327,0.5307,0.4857,0.5543,6
