dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,0,3.222142378477255e-06,1.3873430249504602e-05,11.68771790008748,8.662751309173255e-05,{},,2,0.03991340000084165
physionet_eegmmidb_real,knn__k3,trss,0.1,0,9.70341502555548e-07,4.532470328157765e-06,22.13019757837057,3.174646485539685e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.02070850000018254
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,0,3.2840652521596324e-06,1.4120818468179343e-05,11.273114228860436,8.134118340901219e-05,{},,2,0.3186513999999079
physionet_eegmmidb_real,knn__k3,tv,0.1,0,2.0331355005330663e-06,9.158034546562262e-06,15.972388227309521,5.912795372334639e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.14965329999995447
physionet_eegmmidb_real,knn__k3,mean,0.1,0,2.0891927083333334e-06,9.382006650523193e-06,15.715258986505807,6.056819904662732e-05,{},,2,0.002069300000584917
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,1,3.2490763974883655e-06,1.3866307466262307e-05,11.697404696051066,8.65075956281556e-05,{},,2,0.04015310000067984
physionet_eegmmidb_real,knn__k3,trss,0.1,1,9.422752705045932e-07,4.4070866236355856e-06,22.301688944873078,3.058833105422294e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017455900000641122
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,1,3.3086918838945245e-06,1.4113277147702711e-05,11.214044247149374,8.054901253654468e-05,{},,2,0.3180510999991384
physionet_eegmmidb_real,knn__k3,tv,0.1,1,1.993362537215892e-06,8.602641364004525e-06,16.19147553062678,5.478927017800428e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.15520980000019335
physionet_eegmmidb_real,knn__k3,mean,0.1,1,2.049550189393939e-06,8.827531969830222e-06,15.952146395128615,5.5931068574689876e-05,{},,2,0.0019538000005923095
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,2,3.2607331476879183e-06,1.4261583370572413e-05,11.731149028541992,8.198461369446239e-05,{},,2,0.036831599999459286
physionet_eegmmidb_real,knn__k3,trss,0.1,2,9.73209529821889e-07,4.5782582342041635e-06,22.175118631959155,2.6094331434030158e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017095999999583
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,2,3.353112029835787e-06,1.4514553083977458e-05,11.217758558664423,8.129562686445883e-05,{},,2,0.32044590000077733
physionet_eegmmidb_real,knn__k3,tv,0.1,2,2.0435181253114972e-06,9.063818886002277e-06,16.00707046772196,5.309902560592301e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.16416320000007545
physionet_eegmmidb_real,knn__k3,mean,0.1,2,2.096176609848485e-06,9.277391782081692e-06,15.787328039875183,5.419412769740566e-05,{},,2,0.001960999999937485
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,3,3.058839576606214e-06,1.3541654531728824e-05,11.930074987452407,8.265322077823387e-05,{},,2,0.03503949999958422
physionet_eegmmidb_real,knn__k3,trss,0.1,3,9.221674400166835e-07,4.209256096181043e-06,22.466907553003846,2.9358342823228595e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.018542900000284135
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,3,3.1083975540206667e-06,1.3626745819157844e-05,11.486665158482479,7.778516385165204e-05,{},,2,0.3135488999996596
physionet_eegmmidb_real,knn__k3,tv,0.1,3,1.9338783161863874e-06,8.592046340500795e-06,15.919150550737863,5.686349574527977e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.15078279999943334
physionet_eegmmidb_real,knn__k3,mean,0.1,3,1.9872395833333332e-06,8.810995587939464e-06,15.679338522686903,5.8127388741106736e-05,{},,2,0.0019591999998738174
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,4,3.1912732707811605e-06,1.3770532750431461e-05,11.757149670793005,7.900204884007208e-05,{},,2,0.034977400000570924
physionet_eegmmidb_real,knn__k3,trss,0.1,4,9.066064055618519e-07,4.238922710819304e-06,22.424705510462232,2.887435174586016e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01660470000024361
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,4,3.3893958166703946e-06,1.4481552496148821e-05,11.170441575688068,7.705886950580116e-05,{},,2,0.3089175000004616
physionet_eegmmidb_real,knn__k3,tv,0.1,4,2.0935950524180857e-06,9.110598337787702e-06,15.59557564156477,5.6473105869818533e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.15194090000022697
physionet_eegmmidb_real,knn__k3,mean,0.1,4,2.153338068181818e-06,9.343665955701517e-06,15.353379463166766,5.785967932796195e-05,{},,2,0.0023528000001533655
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,5,3.2257051496950513e-06,1.360202498160014e-05,11.994046832392781,8.820764227018195e-05,{},,2,0.04524920000039856
physionet_eegmmidb_real,knn__k3,trss,0.1,5,9.72686443004015e-07,4.5824038008388334e-06,22.423122599310176,3.1539110784619404e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.016823500000100466
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,5,3.299692339757389e-06,1.4030425521848602e-05,11.361320992833877,8.553579191595169e-05,{},,2,0.3506083000002036
physionet_eegmmidb_real,knn__k3,tv,0.1,5,2.0192452732830097e-06,8.99016368185268e-06,15.983479645852642,5.515254607894315e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.1626535999994303
physionet_eegmmidb_real,knn__k3,mean,0.1,5,2.074159564393939e-06,9.204500677968156e-06,15.73651006655382,5.624240578971696e-05,{},,2,0.003003499999977066
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,0,6.440996400177259e-06,1.971852953168645e-05,8.472857615208472,0.00011869738153668821,{},,5,0.03743349999967904
physionet_eegmmidb_real,knn__k3,trss,0.2,0,1.9701054999556253e-06,6.366169015640101e-06,18.813178467224358,4.699566391951415e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01854760000060196
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,0,6.557214390798237e-06,1.982526857017854e-05,8.203847145248,0.00011775928586357699,{},,5,0.3397497999994812
physionet_eegmmidb_real,knn__k3,tv,0.2,0,4.008073239670033e-06,1.2449215108386555e-05,12.813248328007296,8.379795962759041e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15927749999991647
physionet_eegmmidb_real,knn__k3,mean,0.2,0,4.1027343749999996e-06,1.2723943657038881e-05,12.607840552159239,8.528107809412185e-05,{},,5,0.0029666999998880783
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,1,6.4669925246131736e-06,1.9873950856691474e-05,8.466193301018071,0.0001137188491100364,{},,5,0.038397400000576454
physionet_eegmmidb_real,knn__k3,trss,0.2,1,1.9551257033746426e-06,6.300972301324405e-06,18.916721628960026,4.1637623240966297e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017681700000139244
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,1,6.698862576104793e-06,2.0281427588612535e-05,7.984300279999871,0.00011044332688803467,{},,5,0.33316980000017793
physionet_eegmmidb_real,knn__k3,tv,0.2,1,3.956001283198891e-06,1.227679476842936e-05,12.990674430801766,7.931911002793643e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15517889999955514
physionet_eegmmidb_real,knn__k3,mean,0.2,1,4.053854166666666e-06,1.2562885618045056e-05,12.771545140918112,8.14038183392027e-05,{},,5,0.0019468000000415486
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,2,6.483992373055198e-06,2.038748542492068e-05,8.397912985526814,0.00011284514449605583,{},,5,0.03708150000056776
physionet_eegmmidb_real,knn__k3,trss,0.2,2,1.872280714415089e-06,6.0374603962048525e-06,19.328920578982082,4.414412450610963e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.0180700999999317
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,2,6.522107537810211e-06,1.9978365954271475e-05,8.177299946678213,0.00010793211306555916,{},,5,0.3067229000007501
physionet_eegmmidb_real,knn__k3,tv,0.2,2,3.950691444583709e-06,1.221492364563592e-05,12.931526056805346,8.096268420347364e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1556086000000505
physionet_eegmmidb_real,knn__k3,mean,0.2,2,4.047565104166667e-06,1.2495214292213372e-05,12.718900992918591,8.25926193848159e-05,{},,5,0.002299499999935506
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,3,6.44973616286318e-06,1.98106311298693e-05,8.474581487909761,0.00012409930180539577,{},,5,0.03740229999948497
physionet_eegmmidb_real,knn__k3,trss,0.2,3,2.000141337676211e-06,6.421307648636834e-06,18.944888298573726,4.5857473293058863e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017914099999870814
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,3,6.667641069341813e-06,2.0127135666723416e-05,8.091387988203993,0.00011721451107975212,{},,5,0.3228060999999798
physionet_eegmmidb_real,knn__k3,tv,0.2,3,4.155839831964093e-06,1.2837370834257786e-05,12.766643555295557,8.284178442655308e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15211420000014186
physionet_eegmmidb_real,knn__k3,mean,0.2,3,4.255390625e-06,1.3115560643357313e-05,12.55415591295484,8.44777263812765e-05,{},,5,0.0019480999999359483
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,4,6.276905706129063e-06,1.9770413205719802e-05,8.505349717330533,0.00011552883155106299,{},,5,0.036479500000496046
physionet_eegmmidb_real,knn__k3,trss,0.2,4,1.985393197090735e-06,6.3875571748878535e-06,18.712395820782746,4.632997177259784e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017388200000823417
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,4,6.482718104024952e-06,1.9803130608308623e-05,8.199890649770127,0.00011232615498923326,{},,5,0.30291660000057163
physionet_eegmmidb_real,knn__k3,tv,0.2,4,3.895674122926195e-06,1.222744203923021e-05,12.966715893845972,8.099009406881325e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1485411000003296
physionet_eegmmidb_real,knn__k3,mean,0.2,4,3.990989583333333e-06,1.2505831348148484e-05,12.753878543874729,8.280576284185242e-05,{},,5,0.0025206999998772517
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,5,6.748200509680131e-06,2.065194332471364e-05,8.207408889031448,0.00012599334734642495,{},,5,0.03795799999988958
physionet_eegmmidb_real,knn__k3,trss,0.2,5,1.968434453082338e-06,6.410975975357247e-06,19.011099351847584,4.5750866492399676e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018174800000451796
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,5,6.816283626692352e-06,2.0389298415073536e-05,7.9663976710532625,0.00011658876517157229,{},,5,0.31326029999945604
physionet_eegmmidb_real,knn__k3,tv,0.2,5,3.9339919201992665e-06,1.237095241567275e-05,12.949969503822913,7.967038114319987e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1455380999996123
physionet_eegmmidb_real,knn__k3,mean,0.2,5,4.0310156249999994e-06,1.2648401527383476e-05,12.726165040680167,8.101441133187724e-05,{},,5,0.0019499999998515705
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,0,1.1659801044230245e-05,2.740933434388021e-05,5.653050908979225,0.0001596115287787567,{},,7,0.038392499999645224
physionet_eegmmidb_real,knn__k3,trss,0.3,0,3.753552884392599e-06,9.246672472358959e-06,15.75067116253067,6.639129117768415e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01772979999987001
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,0,1.1673401936535661e-05,2.6439862090041788e-05,5.7042731366939,0.0001471191385126794,{},,7,0.3082174000001032
physionet_eegmmidb_real,knn__k3,tv,0.3,0,6.996939847836412e-06,1.6563145862324366e-05,10.509899613167393,0.00011370226499779858,"{""lam"": 0.2, ""n_iter"": 30}",,7,0.15571209999961866
physionet_eegmmidb_real,knn__k3,mean,0.3,0,7.14086243872549e-06,1.6879876492740663e-05,10.334159919279605,0.00011577510482550073,{},,7,0.0019850999997288454
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,1,1.192126737807544e-05,2.8901911162690376e-05,5.29724297847009,0.0001654499174755125,{},,7,0.039239400000042224
physionet_eegmmidb_real,knn__k3,trss,0.3,1,3.762646235400758e-06,9.245189671823856e-06,15.725061441778507,6.580740202713936e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.018785399999615038
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,1,1.1814026426849377e-05,2.7177728638892695e-05,5.5095758966917785,0.00015255679985581196,{},,7,0.31927379999979166
physionet_eegmmidb_real,knn__k3,tv,0.3,1,7.154417267267271e-06,1.6890377142365653e-05,10.333584027902996,0.00010904935430446724,"{""lam"": 0.2, ""n_iter"": 30}",,7,0.15397089999987656
physionet_eegmmidb_real,knn__k3,mean,0.3,1,7.2999923406862756e-06,1.720047330711857e-05,10.157726808401891,0.00011080339590910041,{},,7,0.0019705999993675505
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,2,1.2194740212756617e-05,2.9195874870674604e-05,5.096849085936323,0.00018097505765973646,{},,7,0.039756600000146136
physionet_eegmmidb_real,knn__k3,trss,0.3,2,3.8279807149834465e-06,9.315659237872894e-06,15.61641724308688,6.96452757481261e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.018944599999485945
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,2,1.203344104251425e-05,2.7355552113643173e-05,5.437099813979805,0.00015578680028017016,{},,7,0.31146499999977095
physionet_eegmmidb_real,knn__k3,tv,0.3,2,7.038726688491074e-06,1.659777127294506e-05,10.475172795498812,0.00010959601649323733,"{""lam"": 0.2, ""n_iter"": 30}",,7,0.15152990000024147
physionet_eegmmidb_real,knn__k3,mean,0.3,2,7.182023590686274e-06,1.6903466620948126e-05,10.300628041721442,0.00011133855972950277,{},,7,0.0019640000000435975
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,3,1.173404891129721e-05,2.854858489901687e-05,5.289935297639368,0.00016820281063092643,{},,7,0.03860609999992448
physionet_eegmmidb_real,knn__k3,trss,0.3,3,3.69274361766518e-06,8.974548909598289e-06,15.743181810430068,6.793279495720962e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01883520000046701
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,3,1.1752747567090925e-05,2.7047306354546126e-05,5.526580311140957,0.0001454993604299467,{},,7,0.321274099999755
physionet_eegmmidb_real,knn__k3,tv,0.3,3,6.9927621449843235e-06,1.6437714563070507e-05,10.353397220698193,0.00010971934611157238,"{""lam"": 0.2, ""n_iter"": 30}",,7,0.15260469999975612
physionet_eegmmidb_real,knn__k3,mean,0.3,3,7.144891237745098e-06,1.675488079345747e-05,10.177096336836291,0.00011144789813675973,{},,7,0.0019611000006989343
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,4,1.1822764799145487e-05,2.7906659342212396e-05,5.414845609656985,0.00015684816185326887,{},,7,0.03926279999996041
physionet_eegmmidb_real,knn__k3,trss,0.3,4,3.7728394927684624e-06,9.16653459794152e-06,15.695648659178056,6.537794614081502e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.0180623000005653
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,4,1.1739540293542166e-05,2.682255642375819e-05,5.528326137330555,0.0001500836000480626,{},,7,0.31815130000086356
physionet_eegmmidb_real,knn__k3,tv,0.3,4,7.0215126492668595e-06,1.6457169767635295e-05,10.457737138758581,0.00010859160194729089,"{""lam"": 0.2, ""n_iter"": 30}",,7,0.17503889999989042
physionet_eegmmidb_real,knn__k3,mean,0.3,4,7.161864276960784e-06,1.676565374266179e-05,10.287606372292414,0.00011051373469637895,{},,7,0.0032055000001491862
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,5,1.1723088126795455e-05,2.8109681987139845e-05,5.607021002919386,0.00016505686659251326,{},,7,0.04484560000037163
physionet_eegmmidb_real,knn__k3,trss,0.3,5,3.833585825629667e-06,9.331618105443106e-06,15.6486659465802,6.608891620742036e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.018077699999594188
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,5,1.1648970703292704e-05,2.6868396204399497e-05,5.594271351929771,0.00014981992297466882,{},,7,0.33242729999983567
