dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,lambda
physionet_eegmmidb_real,knn__k3,tv,0.2,0,3.796784584889404e-06,1.1824918642003073e-05,13.289897109820416,8.008524379896955e-05,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.15270170000076178,0.05
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.2,0,5.20507952958879e-06,8.515249020943439e-06,16.39159948088943,6.253763455179058e-05,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.00918320000073436,0.05
physionet_eegmmidb_real,knn__k3,trss,0.2,0,1.4599435117057874e-06,4.972022330899302e-06,21.30890555552746,3.768368689650731e-05,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01967659999991156,0.05
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.2,0,1.4401582806561432e-05,1.931122008719366e-05,9.088877814423986,0.00013768705458004136,"{""alpha"": 0.05, ""beta"": 0.5}",,5,1.4776774000001751,0.05
physionet_eegmmidb_real,knn__k3,tv,0.2,1,3.7331029693482393e-06,1.1627758358358045e-05,13.502327997174982,7.456793774800297e-05,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.15701239999998506,0.05
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.2,1,5.187585516541562e-06,8.42038004232808e-06,16.556301823892795,5.915405844959481e-05,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.007831500000065716,0.05
physionet_eegmmidb_real,knn__k3,trss,0.2,1,1.41591482599936e-06,4.739650342898789e-06,21.39542692558255,3.291235605591292e-05,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017645799999627343,0.05
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.2,1,1.4426071075518305e-05,1.9426741406194498e-05,9.010276517863295,0.00013694419413974568,"{""alpha"": 0.05, ""beta"": 0.5}",,5,1.5824660000007498,0.05
physionet_eegmmidb_real,knn__k3,tv,0.2,2,3.734976186892242e-06,1.1580142512136199e-05,13.427855738245688,7.686184744554548e-05,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.15165299999989656,0.05
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.2,2,5.1673724775370696e-06,8.291521347734612e-06,16.6382900685822,6.142894144641334e-05,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.008409300000494113,0.05
physionet_eegmmidb_real,knn__k3,trss,0.2,2,1.315996248849236e-06,4.504561247925852e-06,21.822067089523063,3.1703129544088304e-05,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01713560000007419,0.05
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.2,2,1.437547048546739e-05,1.930495366193809e-05,9.11417458869621,0.00013453015517949827,"{""alpha"": 0.05, ""beta"": 0.5}",,5,1.5705047000001287,0.05
physionet_eegmmidb_real,knn__k3,tv,0.2,3,3.9266098050492005e-06,1.2202257670600261e-05,13.263108161283336,7.873571015606518e-05,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.14441579999947862,0.05
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.2,3,5.2606262337193705e-06,8.635749088243594e-06,16.41892327316667,6.128193573360521e-05,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.008275600000160921,0.05
