dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,0,3.2840652521596324e-06,1.4120818468179343e-05,11.273114228860436,8.134118340901219e-05,{},,2,0.5081742999991548
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,1,3.3086918838945245e-06,1.4113277147702711e-05,11.214044247149374,8.054901253654468e-05,{},,2,0.5199761999992916
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,2,3.353112029835787e-06,1.4514553083977458e-05,11.217758558664423,8.129562686445883e-05,{},,2,0.497534999999516
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,3,3.1083975540206667e-06,1.3626745819157844e-05,11.486665158482479,7.778516385165204e-05,{},,2,0.519649699999718
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,4,3.3893958166703946e-06,1.4481552496148821e-05,11.170441575688068,7.705886950580116e-05,{},,2,0.5185504000000947
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,5,3.299692339757389e-06,1.4030425521848602e-05,11.361320992833877,8.553579191595169e-05,{},,2,0.526708299999882
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,0,6.557214390798237e-06,1.982526857017854e-05,8.203847145248,0.00011775928586357699,{},,5,0.5247498999997333
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,1,6.698862576104793e-06,2.0281427588612535e-05,7.984300279999871,0.00011044332688803467,{},,5,0.542167700000391
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,2,6.522107537810211e-06,1.9978365954271475e-05,8.177299946678213,0.00010793211306555916,{},,5,0.540797499999826
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,3,6.667641069341813e-06,2.0127135666723416e-05,8.091387988203993,0.00011721451107975212,{},,5,0.5072323000003962
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,4,6.482718104024952e-06,1.9803130608308623e-05,8.199890649770127,0.00011232615498923326,{},,5,0.44602190000023256
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,5,6.816283626692352e-06,2.0389298415073536e-05,7.9663976710532625,0.00011658876517157229,{},,5,0.3491954999999507
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,0,1.1673401936535661e-05,2.6439862090041788e-05,5.7042731366939,0.0001471191385126794,{},,7,0.5054801999995107
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,1,1.1814026426849377e-05,2.7177728638892695e-05,5.5095758966917785,0.00015255679985581196,{},,7,0.5029078000006848
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,2,1.203344104251425e-05,2.7355552113643173e-05,5.437099813979805,0.00015578680028017016,{},,7,0.4465618000003815
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,3,1.1752747567090925e-05,2.7047306354546126e-05,5.526580311140957,0.0001454993604299467,{},,7,0.37342830000034155
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,4,1.1739540293542166e-05,2.682255642375819e-05,5.528326137330555,0.0001500836000480626,{},,7,0.3315930999997363
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,5,1.1648970703292704e-05,2.6868396204399497e-05,5.594271351929771,0.00014981992297466882,{},,7,0.3504984000001059
physionet_eegmmidb_real,knn__k3,directed_tv,0.4,0,1.526079488368833e-05,3.081752192782537e-05,4.44342466752012,0.00016677731621497552,{},,10,0.3850038000000495
physionet_eegmmidb_real,knn__k3,directed_tv,0.4,1,1.5259129179714246e-05,3.087894384246312e-05,4.390975477730325,0.00016780238119233612,{},,10,0.3693916000001991
physionet_eegmmidb_real,knn__k3,directed_tv,0.4,2,1.5265308217824026e-05,3.0789822516400956e-05,4.45858375281431,0.0001684999987926471,{},,10,0.32760309999957826
physionet_eegmmidb_real,knn__k3,directed_tv,0.4,3,1.5220594856912894e-05,3.069597073960677e-05,4.430319929564143,0.00016823655589232812,{},,10,0.36430229999950825
physionet_eegmmidb_real,knn__k3,directed_tv,0.4,4,1.5188404072751962e-05,3.065366681067227e-05,4.428629664860108,0.00016895769270224882,{},,10,0.36653800000021874
physionet_eegmmidb_real,knn__k3,directed_tv,0.4,5,1.5224746805516902e-05,3.081437654207941e-05,4.488429531658057,0.000168677592342386,{},,10,0.3309895000002143
physionet_eegmmidb_real,gaussian__sigma1.0,directed_tv,0.1,0,3.285888997917591e-06,1.4133579266531093e-05,11.26788565630647,8.148313198855251e-05,{},,2,0.44761560000006284
physionet_eegmmidb_real,gaussian__sigma1.0,directed_tv,0.1,1,3.3087857996443357e-06,1.4122728870462442e-05,11.211099065904937,8.049448105088701e-05,{},,2,0.4509431999995286
physionet_eegmmidb_real,gaussian__sigma1.0,directed_tv,0.1,2,3.3547761071150947e-06,1.4526895144826314e-05,11.211009071267256,8.140530168687485e-05,{},,2,0.4454776000002312
physionet_eegmmidb_real,gaussian__sigma1.0,directed_tv,0.1,3,3.1091232548907376e-06,1.363699906581627e-05,11.481501944413617,7.782099266437818e-05,{},,2,0.4051763999996183
