dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,trss,0.1,0,9.70341502555548e-07,4.532470328157765e-06,22.13019757837057,3.174646485539685e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.018863299999793526
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,0,3.222142378477255e-06,1.3873430249504602e-05,11.68771790008748,8.662751309173255e-05,{},,2,0.04149689999940165
physionet_eegmmidb_real,knn__k3,tv,0.1,0,2.0331355005330663e-06,9.158034546562262e-06,15.972388227309521,5.912795372334639e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.17243080000025657
physionet_eegmmidb_real,knn__k3,trss,0.1,1,9.422752705045932e-07,4.4070866236355856e-06,22.301688944873078,3.058833105422294e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.018674400000236346
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,1,3.2490763974883655e-06,1.3866307466262307e-05,11.697404696051066,8.65075956281556e-05,{},,2,0.03926289999981236
physionet_eegmmidb_real,knn__k3,tv,0.1,1,1.993362537215892e-06,8.602641364004525e-06,16.19147553062678,5.478927017800428e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.1761982000007265
physionet_eegmmidb_real,knn__k3,trss,0.1,2,9.73209529821889e-07,4.5782582342041635e-06,22.175118631959155,2.6094331434030158e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.020071099999768194
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,2,3.2607331476879183e-06,1.4261583370572413e-05,11.731149028541992,8.198461369446239e-05,{},,2,0.039558800000122574
physionet_eegmmidb_real,knn__k3,tv,0.1,2,2.0435181253114972e-06,9.063818886002277e-06,16.00707046772196,5.309902560592301e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.17452959999991435
physionet_eegmmidb_real,knn__k3,trss,0.1,3,9.221674400166835e-07,4.209256096181043e-06,22.466907553003846,2.9358342823228595e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.021103799999764306
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,3,3.058839576606214e-06,1.3541654531728824e-05,11.930074987452407,8.265322077823387e-05,{},,2,0.03868089999923541
physionet_eegmmidb_real,knn__k3,tv,0.1,3,1.9338783161863874e-06,8.592046340500795e-06,15.919150550737863,5.686349574527977e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.17065929999989748
physionet_eegmmidb_real,knn__k3,trss,0.1,4,9.066064055618519e-07,4.238922710819304e-06,22.424705510462232,2.887435174586016e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01843490000010206
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,4,3.1912732707811605e-06,1.3770532750431461e-05,11.757149670793005,7.900204884007208e-05,{},,2,0.043477100000018254
physionet_eegmmidb_real,knn__k3,tv,0.1,4,2.0935950524180857e-06,9.110598337787702e-06,15.59557564156477,5.6473105869818533e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.17073220000020228
physionet_eegmmidb_real,knn__k3,trss,0.1,5,9.72686443004015e-07,4.5824038008388334e-06,22.423122599310176,3.1539110784619404e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.018687499999941792
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,5,3.2257051496950513e-06,1.360202498160014e-05,11.994046832392781,8.820764227018195e-05,{},,2,0.042098599999917496
physionet_eegmmidb_real,knn__k3,tv,0.1,5,2.0192452732830097e-06,8.99016368185268e-06,15.983479645852642,5.515254607894315e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.18543189999945753
physionet_eegmmidb_real,knn__k3,trss,0.1,6,1.0093237605314325e-06,4.596995128764873e-06,22.026574743592107,3.267859309479369e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.020403800000167394
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,6,3.1173779670657317e-06,1.3397757135219597e-05,11.906793839920816,8.033489827646917e-05,{},,2,0.04091939999943861
physionet_eegmmidb_real,knn__k3,tv,0.1,6,2.024616141063951e-06,8.869937767540981e-06,15.942303787715915,5.649094569501946e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.1931945000005726
