dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,0,6.440996400177259e-06,1.971852953168645e-05,8.472857615208472,0.00011869738153668821,{},,5,0.054456500000014785
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,1,6.4669925246131736e-06,1.9873950856691474e-05,8.466193301018071,0.0001137188491100364,{},,5,0.05636770000000979
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,2,6.483992373055198e-06,2.038748542492068e-05,8.397912985526814,0.00011284514449605583,{},,5,0.05453180000040447
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,3,6.44973616286318e-06,1.98106311298693e-05,8.474581487909761,0.00012409930180539577,{},,5,0.0577344000002995
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,4,6.276905706129063e-06,1.9770413205719802e-05,8.505349717330533,0.00011552883155106299,{},,5,0.05496599999969476
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,0,1.1659801044230245e-05,2.740933434388021e-05,5.653050908979225,0.0001596115287787567,{},,7,0.0429959000002782
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,1,1.192126737807544e-05,2.8901911162690376e-05,5.29724297847009,0.0001654499174755125,{},,7,0.04321280000021943
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,2,1.2194740212756617e-05,2.9195874870674604e-05,5.096849085936323,0.00018097505765973646,{},,7,0.04481229999964853
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,3,1.173404891129721e-05,2.854858489901687e-05,5.289935297639368,0.00016820281063092643,{},,7,0.05028719999972964
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,4,1.1822764799145487e-05,2.7906659342212396e-05,5.414845609656985,0.00015684816185326887,{},,7,0.04594189999988885
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,0,4.751631213851836e-06,1.4679541901834012e-05,11.280113517728234,9.468189971582127e-05,{},,5,0.04265769999983604
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,1,4.749381507308875e-06,1.4852518292596386e-05,11.207152732092107,8.521967060895378e-05,{},,5,0.04605230000015581
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,2,4.659392239493814e-06,1.4766521734477074e-05,11.343559754218127,8.902652707909983e-05,{},,5,0.04177220000019588
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,3,4.7806533479320845e-06,1.4820880748033567e-05,11.325965711362791,9.138042140895624e-05,{},,5,0.04894309999963298
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,4,4.517640027338792e-06,1.430207138257233e-05,11.518824030486678,8.947072911383834e-05,{},,5,0.04354940000030183
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,0,8.589644131118344e-06,2.026408673988801e-05,8.518632941945862,0.00012239031837606623,{},,7,0.04711169999973208
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,1,8.862248667474117e-06,2.134328287475019e-05,8.140144036214357,0.00012697121772965633,{},,7,0.05014800000026298
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,2,8.976001378763313e-06,2.1214520756679634e-05,8.123594431286365,0.00013151122590038014,{},,7,0.06018419999963953
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,3,8.674390716309401e-06,2.103552305791292e-05,8.136038157488564,0.00012462524218230387,{},,7,0.04559510000035516
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,4,8.66319022979854e-06,2.025900613024135e-05,8.38252222402617,0.00012245804472381323,{},,7,0.05442410000068776
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,0,4.436326369780546e-06,1.3705548467661131e-05,11.934273759451749,9.105618294004594e-05,{},,5,0.04604600000038772
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,1,4.427965097905745e-06,1.3706907620542458e-05,11.964625575960008,8.614898402784916e-05,{},,5,0.04392519999964861
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,2,4.38172171644112e-06,1.3596656674180822e-05,11.985246778638398,8.628910116071982e-05,{},,5,0.04505539999991015
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,3,4.595085072077092e-06,1.4122537011935985e-05,11.837272400472012,8.984467041995631e-05,{},,5,0.04480039999998553
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,4,4.325483110497595e-06,1.3518795445516858e-05,12.064463398609881,8.698067791695369e-05,{},,5,0.043286199999784
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,0,7.663363684138419e-06,1.8092549435483895e-05,9.69701690339601,0.00011968149257581143,{},,7,0.04489610000018729
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,1,7.843235997772794e-06,1.8551115964606782e-05,9.44656902539173,0.00011651744003712177,{},,7,0.04915999999957421
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,2,7.819172317041828e-06,1.8373013129972195e-05,9.55301178817764,0.00011816369121666179,{},,7,0.049641699999483535
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,3,7.683939774298709e-06,1.807336018009875e-05,9.52810379457348,0.00011585716012387541,{},,7,0.048262899999826914
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,4,7.706512554110398e-06,1.804107274954237e-05,9.585375797210196,0.00011681980681726332,{},,7,0.0505764999998064
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,0,4.4426935301578775e-06,1.3724883180922175e-05,11.921525935043263,9.115720236566682e-05,{},,5,0.044699799999762035
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,1,4.434303459573805e-06,1.3725041713039644e-05,11.952546957067469,8.627133095030991e-05,{},,5,0.05076219999955356
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,2,4.388470052799177e-06,1.3615077154056882e-05,11.971879198773896,8.642246323523752e-05,{},,5,0.04256719999921188
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,3,4.60182085465522e-06,1.4142660625981144e-05,11.824179802353262,8.995991591798372e-05,{},,5,0.04384500000014668
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,4,4.331820221539693e-06,1.3538040470540212e-05,12.050821245382034,8.711465025570676e-05,{},,5,0.04393400000026304
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,0,7.671828962234876e-06,1.8110240929212735e-05,9.687966267093342,0.00011985271981015667,{},,7,0.04742350000014994
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,1,7.851239867730752e-06,1.8566508665410582e-05,9.438545452879106,0.00011664501560318669,{},,7,0.054417100000137
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,2,7.825577856254377e-06,1.8386892807703842e-05,9.5457487671297,0.00011824219807505215,{},,7,0.06194099999993341
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,3,7.693270692697667e-06,1.809086390025982e-05,9.518829316313644,0.00011598271365258359,{},,7,0.060514599999805796
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,4,7.713801628162027e-06,1.8058085400461817e-05,9.577416586327601,0.00011691990707833545,{},,7,0.06915490000028512
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.2,0,5.5674842029522265e-06,1.7083560924943943e-05,9.914661010169366,0.00010942024240811846,{},,5,0.05588839999927586
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.2,1,5.5837753455928405e-06,1.7383750396638693e-05,9.76961237038593,0.00010123246774102887,{},,5,0.0650244999997085
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.2,2,5.515575261778213e-06,1.7254636620841663e-05,9.885703826221388,0.00010028990619171775,{},,5,0.058766900000591704
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.2,3,5.684412281783624e-06,1.752138638445827e-05,9.776922874446141,0.00010710187527526427,{},,5,0.07087899999987712
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.2,4,5.423210209200785e-06,1.6982713259646893e-05,9.986691015588834,0.00010222561485885859,{},,5,0.05578319999949599
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.3,0,9.58031324632938e-06,2.251575685301673e-05,7.636861279605522,0.00013577870329693436,{},,7,0.048700299999836716
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.3,1,9.745830638493989e-06,2.3124094743249417e-05,7.377211220214477,0.00013678975784574065,{},,7,0.04381530000046041
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.3,2,9.827701749277244e-06,2.3113270356715172e-05,7.41286594541199,0.00014062683757314344,{},,7,0.045714800000496325
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.3,3,9.589500789287638e-06,2.2721267017307795e-05,7.4728164764503235,0.00013254533937716144,{},,7,0.04419210000014573
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.3,4,9.619718812873087e-06,2.252750478709064e-05,7.4918016468662705,0.00013585918432291135,{},,7,0.04437770000004093
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.2,0,3.989561181113918e-06,1.937233790669922e-05,9.595657296547172,8.347809498506917e-05,{},,5,0.05982579999999871
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.2,1,4.151166539391136e-06,2.151130028419735e-05,9.417381930797639,8.678178527451113e-05,{},,5,0.05051980000007461
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.2,2,3.9401442642305414e-06,1.9492057353466146e-05,9.545383955945477,7.800191682622236e-05,{},,5,0.05002879999938159
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.2,3,3.9159476141493075e-06,2.0425149180185747e-05,9.555302393910623,7.629454456462087e-05,{},,5,0.04543740000008256
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.2,4,3.870515066626104e-06,1.9348617916463363e-05,9.456610923677875,8.942109161799663e-05,{},,5,0.0425587000008818
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.3,0,6.679708082616318e-06,2.446334022442585e-05,7.385960700448737,9.461411866630425e-05,{},,7,0.041422599999350496
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.3,1,6.803195957968911e-06,2.5860975111692018e-05,7.272436669988177,9.54525255208748e-05,{},,7,0.041870099999869126
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.3,2,6.804639947871034e-06,2.4932802681315435e-05,7.161874206746442,9.467133103451462e-05,{},,7,0.04734069999994972
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.3,3,6.59251884112116e-06,2.484149319271267e-05,7.029391977987743,9.395286998875982e-05,{},,7,0.041549700000359735
bci_iv2a_real_s1,knn__k3,heat_diffusion_temporal,0.3,4,6.506314109367608e-06,2.4642036629483903e-05,7.483369845676531,9.321879224025592e-05,{},,7,0.04088529999989987
bci_iv2a_real_s1,knn__k5,heat_diffusion_temporal,0.2,0,3.2475966655017265e-06,1.6037747135218746e-05,11.663099490740246,6.629561137297185e-05,{},,5,0.039557300000524265
bci_iv2a_real_s1,knn__k5,heat_diffusion_temporal,0.2,1,3.361725868187953e-06,1.8074449955579256e-05,11.523698434063128,7.224228203427856e-05,{},,5,0.03949130000000878
